--------------------
BDMEP - INMET
--------------------
Estação           : RONDONOPOLIS - MT (OMM: 83410)
Latitude  (graus) : -16.45
Longitude (graus) : -54.56
Altitude  (metros): 284.00
Estação Operante
Inicio de operação: 01/01/1992
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83410;31/01/1995;0000;9;0.382609;2.3;113.7;;;;8.296703;;;;979.556522;32.419355;25.603226;21.903226;85.137097;;
83410;28/02/1995;0000;5;0.338095;1;86.4;;;;8.457831;20;320.3;;978.764286;31.292857;25.044286;21.614286;88.4375;;
83410;31/03/1995;0000;9;0.225;0.7;133.7;;;;7.505495;9;103.9;;977.07957;33.593548;25.934839;21.612903;82.830645;;
83410;30/04/1995;0000;23;0.258889;1.4;159.4;;;;6.188889;4;137.8;;977.698889;31.046667;24.467333;19.963333;82.241667;;
83410;31/05/1995;0000;5;0.206452;1.2;160.9;;;;4.096774;3;154.1;;979.430108;30.496774;22.902581;17.651613;80.129032;;
83410;30/06/1995;0000;23;0.16;0.6;218.6;;;;3.322222;4;41.3;;980.341111;30.64;22.007333;15.63;75.883333;;
83410;31/07/1995;0000;9;0.211828;0.7;269.1;;;;2.795699;;0;;979.456989;32.870968;23.147742;15.887097;63.379032;;
83410;31/08/1995;0000;0;0.353763;0.9;250;;;;1.365591;1;0.5;;978.837634;34.245161;23.829677;15.187097;53.395161;;
83410;30/09/1995;0000;14;0.368539;0.9;289.4;;;;2.94382;3;38.2;;977.704494;36.353333;27.041379;19.443333;51.991379;;
83410;31/10/1995;0000;27;0.310753;1;175.1;;;;4.580645;12;153.2;;975.767742;33.870968;25.683226;20.229032;73.717742;;
83410;30/11/1995;0000;23;0.385057;1.2;168.1;;;;4.850575;12;121.9;;974.98;32.973333;25.866;20.903333;75.666667;;
83410;31/12/1995;0000;9;0.368817;1.5;84.2;;;;6.473118;18;384.1;;975.196774;31.987097;25.347742;21.406452;85.217742;;
83410;28/02/1998;0000;23;0.174074;0.8;81.9;;;;6.012346;17;259;;977.335802;33.107143;26.047407;22.557143;88.490741;;
83410;31/05/1998;0000;23;0.201087;0.6;159.4;;;;3.173913;4;21.1;;980.054348;30.909677;22.875484;16.745161;75.040323;;
83410;31/07/1998;0000;;0.242391;;291;;;;;;0;;981.076087;34.954839;23.938065;15.248387;54.685484;;
83410;31/08/1998;0000;;0.237634;;277.5;;;;;2;15.4;;978.93871;35.43871;25.230323;17.974194;60.919355;;
83410;30/09/1998;0000;;0.274713;;292.6;;;;;7;55.7;;977.904444;35.246667;25.88;19.39;63.862069;;
83410;31/10/1998;0000;;0.227957;;218;;;;;8;172.4;;977.489247;34.264516;26.38129;20.925806;71.701613;;
83410;30/11/1998;0000;;0.357778;;150.9;;;;;5;37.4;;975.418889;34.24;26.862;21.856667;76.383333;;
83410;31/12/1998;0000;;0.236559;;100.3;;;;;21;274.1;;975.908602;32.922581;25.602581;21.506452;85.846774;;
83410;31/01/1999;0000;;0.294624;;100;;;;;20;413.8;;975.952688;32.735484;25.390323;20.516129;86.153226;;
83410;28/02/1999;0000;;0.247619;;115.7;;;;;14;81;;976.772619;34.214286;25.964286;21.485714;84.098214;;
83410;31/03/1999;0000;;0.203226;;104.3;;;;;13;86.4;;976.360215;33.232258;25.498065;21.409677;88.120968;;
83410;30/04/1999;0000;;0.18;;156.9;;;;;3;26.5;;978.871111;34.013333;24.616;18.53;75.225;;
83410;31/05/1999;0000;;0.177419;;171.6;;;;;1;3.9;;980.416129;32.264516;22.176129;14.851613;69.274194;;
83410;30/06/1999;0000;;0.153333;;185.4;;;;;1;1.4;;980.112222;32.893333;22.762;15.473333;68.591667;;
83410;31/07/1999;0000;;0.210753;;240.2;;;;;;0;;981.194624;32.983871;22.927742;15.180645;59;;
83410;31/08/1999;0000;;0.216304;;;;;;;;0;;980.560215;33.675;23.40375;14.41875;43.725806;;
83410;30/09/1999;0000;;0.355556;;;;;;;5;109.5;;976.502222;35.866667;27.188667;20.58;61.775;;
83410;31/10/1999;0000;;0.555914;;;;;;;8;57.9;;977.129032;;;;68.25;;
83410;30/11/1999;0000;;0.362222;;;;;;;10;13.5;;975.964444;33.27;25.912667;20.823333;75.391667;;
83410;31/12/1999;0000;;0.365591;;;;;;;16;43.8;;975.453763;33.309677;26.348387;21.777419;81.959677;;
83410;31/01/2000;0000;5;0.343902;5.8;108.1;;;;5.797468;17;160.4;;974.632099;32.842857;26.316296;22.207143;82.221154;;
83410;29/02/2000;0000;23;0.269767;0.8;89.9;;;;6.732558;20;22.9;;977.023256;31.827586;25.351724;21.368966;88.206897;;
