--------------------
BDMEP - INMET
--------------------
Estação           : ALTAMIRA - PA (OMM: 82353)
Latitude  (graus) : -3.21
Longitude (graus) : -52.21
Altitude  (metros): 74.04
Estação Operante
Inicio de operação: 24/04/1927
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82353;31/01/1961;0000;;;;;;;;0.63871;15;64.9;;;29.574194;;20.496774;;;
82353;28/02/1961;0000;;;;;;;;0.669048;17;126.8;;;28.771429;;20.739286;;;
82353;31/03/1961;0000;;;;;;;;0.655914;19;145.3;;;29.867742;;21.235484;;;
82353;30/04/1961;0000;;;;;;;;0.646667;12;139.8;;;30.066667;;21.083333;;;
82353;31/05/1961;0000;;;;;;;;0.627957;12;71;;;30.180645;;21.3;;;
82353;30/06/1961;0000;;;;;;;;0.628986;6;24.5;;;30.584211;;20.842105;;;
82353;31/07/1961;0000;;;;;;;;0.67963;;0;;;;;;;;
82353;31/08/1961;0000;;;;;;;;0.555914;2;7.2;;;31.629032;;19.9;;;
82353;30/09/1961;0000;;;;;;;;0.583333;2;7.4;;;31.92;;20.503333;;;
82353;31/10/1961;0000;;;;;;;;0.622581;8;33.2;;;31.441935;;21.1;;;
82353;30/11/1961;0000;;;;;;;;0.584444;5;15.6;;;31.22;;20.703333;;;
82353;31/12/1961;0000;;;;;;;;0.621505;15;80.9;;;29.983871;;20.719355;;;
82353;31/01/1962;0000;;;;;;;;0.660215;15;120.2;;;30.241935;;20.787097;;;
82353;28/02/1962;0000;;;;;;;;0.672619;13;155;;;29.496429;;21.125;;;
82353;31/03/1962;0000;;;;;;;;0.673973;16;255.4;;;30.6875;;21.475;;;
82353;30/06/1962;0000;;;;;;;;0.622078;6;42.8;;;29.958333;;20.454167;;;
82353;31/07/1962;0000;;;;;;;;0.508602;4;40.4;;;30.219355;;19.625806;;;
82353;31/08/1962;0000;;;;;;;;0.568478;4;27.2;;;30.906452;;19.390323;;;
82353;30/09/1962;0000;;;;;;;;0.587778;6;48.1;;;31.053333;;20.22;;;
82353;31/03/1963;0000;;;;;;;;0.683696;22;239.8;;;29.196774;;20.603226;;;
82353;30/04/1963;0000;;;;;;;;0.664444;15;142.3;;;29.36;;20.81;;;
82353;31/05/1963;0000;;;;;;;;0.639189;4;29.8;;;29.958333;;20.679167;;;
82353;31/08/1963;0000;;;;;;;;;;0;;;;;;;;
82353;30/09/1963;0000;;;;;;;;0.582222;0;0;;;30.983333;;20.19;;;
82353;31/10/1963;0000;;;;;;;;0.587097;1;3;;;31.090323;;20.019355;;;
82353;30/11/1963;0000;;;;;;;;0.643333;5;38;;;31.13;;20.73;;;
82353;31/12/1963;0000;;;;;;;;0.591398;5;55.3;;;30.654839;;20.419355;;;
82353;31/01/1964;0000;;;;;;;;;18;231.6;;;;;;;;
82353;30/04/1964;0000;;;;;;;;0.67191;18;155.2;;;29.023333;;20.01;;;
82353;31/05/1964;0000;;;;;;;;0.641935;20;126.2;;;29.33871;;19.941935;;;
82353;30/06/1964;0000;;;;;;;;0.556667;11;53.6;;;29.64;;19.03;;;
82353;31/07/1964;0000;;;;;;;;0.522581;3;7;;;30.264516;;18.764516;;;
82353;31/08/1964;0000;;;;;;;;0.536559;1;3.2;;;30.596774;;18.548387;;;
82353;30/09/1964;0000;;;;;;;;0.591111;2;8.2;;;30.69;;19.346667;;;
82353;30/11/1964;0000;;;;;;;;0.58427;3;41.9;;;30.336667;;20.26;;;
82353;28/02/1965;0000;;;;;;;;;21;309.6;;;;;;;;
82353;31/03/1965;0000;;;;;;;;;27;496.5;;;;;;;;
82353;30/04/1965;0000;;;;;;;;0.705618;18;310.6;;;29.493333;;19.653333;;;
82353;31/05/1965;0000;;;;;;;;0.624138;14;250;;;29.972414;;20.455172;;;
82353;30/06/1965;0000;;;;;;;;0.56;8;91.3;;;29.45;;19.586667;;;
82353;31/07/1965;0000;;;;;;;;0.710638;;18.1;;;;;;;;
82353;31/08/1965;0000;;;;;;;;0.717021;;9.1;;;;;;;;
82353;30/09/1965;0000;;;;;;;;0.598889;2;5.2;;;30.45;;20.205882;;;
82353;31/10/1965;0000;;;;;;;;0.554839;3;3.6;;;33.312903;;20.767742;;;
82353;30/11/1965;0000;;;;;;;;0.657778;1;1;;;31.753333;;21.58;;;
82353;31/01/1966;0000;;;;;;;;0.686957;17;158.3;;;30.009677;;20.86129;;;
82353;28/02/1966;0000;;;;;;;;0.660714;22;315.6;;;28.710714;;20.603571;;;
82353;31/03/1966;0000;;;;;;;;0.651613;27;496.5;;;28.819355;24.757419;21.23871;;;
82353;30/04/1966;0000;;;;;;;;0.632222;20;311.4;;;29.206667;24.964138;21.513333;;;
82353;31/05/1966;0000;;;;;;;;0.598925;10;197.5;;;29.712903;25.23871;21.567742;93.120968;;
82353;30/06/1966;0000;;;;;;;;0.543333;8;135.2;;;29.71;24.778;20.683333;;;
82353;31/07/1966;0000;;;;;;;;0.535484;6;92.8;;;30.380645;24.30129;16.980645;;;
82353;31/08/1966;0000;;;;;;;;0.501075;1;3;;;31.351613;25.596774;19.945161;;;
82353;30/09/1966;0000;;;;;;;;0.61;7;65.2;;;31.113333;25.879333;20.923333;;;
82353;31/10/1966;0000;0;1.094565;9.3;;;;;0.555914;2;34.8;;;31.522581;26.250323;21.054839;;;
82353;30/11/1966;0000;0;1.077778;8;;;;;0.655556;5;85;;;30.606897;26.071034;21.47931;;;
82353;31/12/1966;0000;0;1.096774;8;;;;;0.71129;12;233.7;;;29.83871;25.400645;21.454839;;;
82353;31/01/1967;0000;0;0.88172;8;;;;;0.752174;20;265;;;29.867742;25.429677;21.448387;;;
82353;28/02/1967;0000;0;0.714286;5;;;;;0.754762;15;269.2;;;28.792857;24.676429;21.039286;90.392857;;
82353;31/03/1967;0000;0;1.043011;5;;;;;0.762366;18;355.4;;;28.890323;24.865806;21.480645;89.758065;;
82353;30/04/1967;0000;0;1.066667;5;;;;;0.717778;16;324.3;;;29.186667;25.115333;21.49;89.741667;;
82353;31/05/1967;0000;0;0.88172;5;;;;;0.669892;13;192.4;;;29.212903;25.156774;21.383871;87.709677;;
82353;30/06/1967;0000;14;1.188889;5;;;;;0.561111;3;82.8;;;29.88;25.062667;20.183333;86.1;;
82353;31/07/1967;0000;14;1.462366;5;;;;;0.535484;1;5;;;30.832258;25.116129;19.354839;82.733871;;
82353;31/08/1967;0000;9;2.075269;8;;;;;0.548387;0;0;;;31.567742;25.577419;19.690323;80.612903;;
82353;30/09/1967;0000;5;1.766667;5;;;;;0.538889;1;12.2;;;31.686667;26.372667;20.82;78.275;;
82353;31/10/1967;0000;5;2.301075;7;;;;;0.644706;3;16.2;;;31.426087;26.066087;20.926087;79.826087;;
82353;30/11/1967;0000;0;2.1;10;;;;;0.658889;5;72.2;;;30.92;26.245333;21.283333;79.516667;;
82353;31/12/1967;0000;0;1.774194;8;;;;;0.625806;7;104.7;;;31.270968;26.408387;21.43871;79.258065;;
82353;31/01/1968;0000;0;1.526882;5;;;;;0.62043;12;183.8;;;29.767742;25.14129;20.590323;83.790323;;
82353;29/02/1968;0000;0;1.287356;5;;;;;0.688506;15;257;;;29.603448;25.122069;21.206897;87.293103;;
82353;31/03/1968;0000;0;1.354839;5;;;;;0.66129;18;419.1;;;29.348387;24.878065;20.816129;86.193548;;
82353;30/04/1968;0000;36;2.160494;8;;;;;0.687654;12;223.5;;;29.359259;24.982222;20.481481;89.175926;;
82353;31/05/1968;0000;0;1.305376;9;;;;;0.695699;17;253.7;;;28.683871;24.663226;20.883871;89.201613;;
82353;30/06/1968;0000;0;1.233333;5;;;;;0.617778;5;52.3;;;29.566667;24.902667;20.316667;88.35;;
82353;31/07/1968;0000;14;1.365591;5;;;;;0.589247;5;57.8;;;30.483871;25.083871;19.396774;83.725806;;
82353;31/08/1968;0000;0;1.451613;5;;;;;0.595699;4;14.2;;;31.222581;25.853548;20.2;79.701613;;
82353;30/09/1968;0000;5;2.055556;10;;;;;0.642222;2;16;;;31.473333;26.338667;20.71;79.5;;
82353;31/10/1968;0000;5;2.55914;10;;;;;0.66129;3;30.4;;;31.870968;26.631613;21.341935;79.491935;;
82353;30/11/1968;0000;5;1.722222;8;;;;;0.717778;9;136.7;;;30.35;26.062;21.006667;83.475;;
82353;31/12/1968;0000;0;1.215054;5;;;;;0.680645;12;215;;;29.977419;25.446452;21.125806;84.887097;;
82353;31/01/1969;0000;0;0.935484;5;;;;;0.689247;12;250.2;;;30.119355;25.489032;20.841935;83.766129;;
82353;28/02/1969;0000;0;1.22619;3;;;;;0.719048;17;219.4;;;30.403571;25.950714;21.246429;85.3125;;
82353;31/03/1969;0000;0;1.311828;8;;;;;0.692473;19;274.3;;;30.358065;26.034194;21.709677;90.951613;;
82353;30/04/1969;0000;0;1.222222;5;;;;;0.722222;14;230.4;;;30.35;25.907333;21.313333;90.708333;;
82353;31/05/1969;0000;0;1;5;;;;;0.68172;18;307;;;30.251613;25.987742;22.329032;89.556452;;
82353;30/06/1969;0000;0;1.011111;5;;;;;0.602222;5;85.6;;;30.6;26.227333;22.33;88.8;;
82353;31/07/1969;0000;0;1.236559;5;;;;;0.598925;11;123.2;;;30.396774;25.645161;21.819355;87.032258;;
82353;31/08/1969;0000;5;2.397849;10;;;;;0.604301;4;40;;;31.570968;26.867097;22.432258;90.193548;;
82353;30/09/1969;0000;5;1.777778;8;;;;;0.694444;3;25.1;;;32.063333;26.807333;22.396667;91.5;;
82353;31/10/1969;0000;9;1.806452;9;;;;;0.711828;3;16.1;;;32.267742;26.754194;22.732258;90.580645;;
82353;30/11/1969;0000;9;1.577778;7;;;;;0.614607;2;7.2;;1006.24;33.055172;27.382759;22.78;82.233333;;
82353;31/12/1969;0000;0;1.505618;8;;;;;0.570968;6;60.6;;1007.34086;32.358065;26.723226;22.309677;77.701613;;
82353;31/01/1970;0000;0;1.032258;9;;;;;0.592473;12;328.9;;;31.248387;25.983871;21.219355;82.395161;;
82353;28/02/1970;0000;0;0.964286;8;;;;;0.604762;18;361.9;;;30.835714;25.21;20.748148;85.142857;;
82353;31/03/1970;0000;0;1.344086;5;;;;122.1;0.576344;22;297.8;;;31.506452;25.590323;20.783333;88.822581;;
82353;30/04/1970;0000;0;1.277778;5;;;;;0.584444;20;306.4;;;31.393333;25.769333;20.926667;86.383333;;
82353;31/05/1970;0000;5;0.892473;5;;;;180.7;0.577419;14;194.6;;;31.887097;25.702581;20.196774;89.967742;;
82353;30/06/1970;0000;5;0.744444;3;48.4;;;;0.54;14;131;;;31.49;25.466667;19.876667;90.966667;;
82353;31/07/1970;0000;0;0.612903;1;47.5;;;;0.521505;3;32.6;;;32.093548;25.283226;18.558065;90.620968;;
82353;31/08/1970;0000;5;0.677419;3;53.1;;;;0.533333;3;49.4;;;32.858065;25.660645;18.843333;86.58871;;
82353;30/09/1970;0000;5;0.833333;3;;;;;0.532941;4;19.4;;;32.91;26.067333;19.4;89.25;;
82353;31/10/1970;0000;5;0.903226;3;87.4;;;;0.64086;0;0;;;34.087097;26.630323;19.780645;79.645161;;
82353;31/01/1971;0000;0;0.913043;4;50;;;104.9;0.697826;21;400.2;;;29.190323;24.826452;21.696774;86.967742;;
82353;28/02/1971;0000;0;0.630952;6;33.9;;;82.9;0.853571;21;235;;;28.992857;24.421429;21.385714;87.446429;;
82353;31/03/1971;0000;0;0.645161;5;42.9;;;84.7;0.865591;22;375.6;;;29.470968;24.704516;22.087097;88.798387;;
82353;30/04/1971;0000;0;0.322222;4;47;;;;0.887778;16;654.2;;1001.01;29.58;24.636;22.043333;89.633333;;
82353;31/05/1971;0000;0;0.290323;5;45;;;;0.830108;18;261.7;;;29.119355;24.706452;22.129032;87.637097;;
82353;31/12/1971;0000;36;1.445652;5;;;;;0.58587;;96.9;;998.622826;30.890323;26.005806;19.958065;83.564516;;
82353;31/01/1972;0000;;;;;;;;0.890625;;;;;;;;;;
82353;29/02/1972;0000;;;;;;;;0.9;;;;;;;;;;
82353;31/03/1972;0000;0;0.902174;4;53.3;;;96.5;0.715217;25;473.7;;998.690217;29.048387;24.98129;22.219355;87.822581;;
82353;30/04/1972;0000;0;1.322222;4;51.2;;;95.1;0.63;26;286.6;;999.1;29.32;25.330667;22.64;88.258333;;
82353;31/05/1972;0000;5;1.569892;4;57.4;;;139.1;0.629032;23;242.5;;999.175269;30.032258;25.68;22.593548;87.862903;;
82353;30/06/1972;0000;9;1.388889;5;66.5;;;47.9;0.544444;15;95.4;;;29.913333;25.340667;22.13;86.416667;;
82353;31/07/1972;0000;5;1.408602;5;33.1;;;152.8;0.509677;;80.3;;;30.216129;25.341935;21.770968;86.137097;;
82353;31/08/1972;0000;5;1.731183;5;75.2;;;181.9;0.498925;;55;;999.989247;30.967742;25.789032;21.735484;82.935484;;
82353;30/09/1972;0000;5;1.944444;5;74.8;;;169.6;0.485556;;30.1;;999.686667;31.58;26.184667;22.226667;81.858333;;
82353;31/10/1972;0000;5;2.247312;5;104.3;;;104.4;0.510753;;8.2;;999.574194;32.309677;27.004516;22.664516;76.709677;;
82353;30/11/1972;0000;5;2.233333;7;82.3;;;25.2;0.552222;;0.5;;998.307778;32.53;27.341333;23.086667;75.691667;;
82353;31/12/1972;0000;5;2.354839;5;107.6;;;67.4;0.605376;16;59.6;;998.732258;31.806452;26.876129;23.206452;78.41129;;
82353;31/01/1973;0000;36;1.770115;5;43.1;;;86.3;0.726087;24;215.4;;;30.346429;25.940714;23.12069;85.241071;;
82353;28/02/1973;0000;36;1.869048;7;37.3;;;77.8;0.647619;21;305.2;;999.739286;29.664286;25.457143;22.878571;88.5;;
82353;31/03/1973;0000;36;1.72043;4;45.1;;;58.8;0.748387;28;336.8;;999.651613;29.754839;25.582581;23.203226;89.403226;;
82353;30/04/1973;0000;5;1.438202;3;50.3;;;65.5;0.702222;22;373.4;;999.574157;29.572414;25.341379;22.77;88.862069;;
82353;31/05/1973;0000;5;1.688172;5;53.3;;;149.4;0.612903;25;295.8;;;30.083871;25.585161;22.83871;89.16129;;
82353;30/06/1973;0000;5;1.444444;3;50.8;;;83.2;0.546667;20;142.1;;;30.576667;25.736;22.676667;87.891667;;
82353;31/07/1973;0000;36;1.419355;6;54.1;;;156.1;0.462366;15;286.8;;;30.248387;25.299355;21.841935;87.314516;;
82353;31/08/1973;0000;5;1.731183;8;53.9;;;230.7;0.415054;;26;;;31.690323;25.806452;21.512903;83.233871;;
82353;30/09/1973;0000;36;1.844444;7;81.7;;;178.5;0.498889;;29.6;;;32.09;26.452;22.286667;80.883333;;
82353;31/10/1973;0000;5;1.623656;6;87.9;;;153.4;0.545161;;183.7;;998.26129;31.551613;26.408387;22.529032;81.266129;;
82353;30/11/1973;0000;5;1.977778;5;87.7;;;122.4;0.512222;;59.5;;998.517778;31.61;26.644;23.006667;81.4;;
82353;31/12/1973;0000;5;1.473118;6;22.4;;;107;0.598925;21;267.5;;999.132258;30.067742;25.325806;21.864516;86.274194;;
82353;31/01/1974;0000;0;1.236559;5;45.1;;;93.5;0.616129;19;306.6;;998.865591;29.825806;25.107097;21.909677;88.354839;;
82353;28/02/1974;0000;5;1.083333;3;34.1;;;77.2;0.705952;22;320.4;;998.667857;29.15;24.884286;22.175;88.625;;
82353;31/03/1974;0000;36;1.634409;5;38.8;;;49.2;0.793548;29;682.9;;999.170968;28.63871;24.456774;22.383333;89.895161;;
82353;30/04/1974;0000;5;1.444444;5;39.8;;;86.5;0.664444;23;420.7;;999.966667;28.943333;25.114;22.623333;89.625;;
82353;31/05/1974;0000;5;1.268817;7;51.8;;;125.4;0.648387;22;273.9;;1000.87957;29.093548;25.025806;22.293548;89.91129;;
82353;30/06/1974;0000;0;1.222222;3;37.2;;;38.1;0.556667;;151.6;;;30.173333;25.190667;21.663333;85.575;;
82353;31/07/1974;0000;9;1.494624;7;89.6;;;218.6;0.421505;;31.7;;;30.654839;24.727097;20.325806;82.879032;;
82353;31/08/1974;0000;9;1.849462;5;95.4;;;228.4;0.464516;;22.3;;;31.451613;25.61871;21;83.967742;;
82353;30/09/1974;0000;5;1.755556;10;82.1;;;158.3;0.542222;;61.1;;;31.16;25.820667;21.98;84.808333;;
82353;31/10/1974;0000;5;1.870968;7;91.8;;;123.6;0.491398;;68.6;;999.215054;31.509677;26.181935;22.193548;81.959677;;
82353;30/11/1974;0000;36;1.655556;7;79.6;;;83.5;0.507778;;63;;998.095556;31.236667;26.247333;22.413333;82.158333;;
82353;31/12/1974;0000;0;1.322581;5;41.3;;;43;0.686022;22;238.4;;998.816129;29.929032;25.472258;22.545161;85.766129;;
82353;31/01/1975;0000;5;1.505376;5;53.4;;;58.1;0.662366;21;419.3;;999.295699;29.216129;24.930323;21.970968;87.822581;;
82353;28/02/1975;0000;5;1.666667;5;42.9;;;31.5;0.719048;19;298.9;;;29.007143;24.956429;22.217857;87.285714;;
82353;31/03/1975;0000;36;1.247312;5;39.6;;;72;0.724731;27;366.7;;;29.051613;25.004516;22.422581;88.540323;;
82353;30/04/1975;0000;5;1.344444;7;44.7;;;90.5;0.708889;28;257.3;;999.35;29.27;25.482;22.876667;87.616667;;
82353;31/05/1975;0000;5;1.258065;5;51.2;;;78.9;0.615054;18;307.3;;1000.06129;29.593548;25.491613;22.725806;85.862903;;
82353;30/06/1975;0000;9;1.388889;5;47.4;;;181.1;0.563333;19;204.6;;;30.07;25.405333;22.12;85.108333;;
82353;31/07/1975;0000;9;1.268817;5;71.3;;;192.1;0.51828;;84.1;;;30.016129;24.731613;20.754839;85.145161;;
82353;31/08/1975;0000;5;1.354839;5;70;;;236.9;0.411828;;27.4;;;31.712903;25.705806;21.316129;81.967742;;
82353;30/09/1975;0000;9;2.155556;5;108;;;149.6;0.488889;;60;;999.926667;31.933333;26.419333;21.94;79.366667;;
82353;31/10/1975;0000;5;1.483871;5;112.8;;;17.8;0.508602;;44.9;;999.104301;31.883871;26.513548;22.4;80.629032;;
82353;30/11/1975;0000;5;1.1;3;114.6;;;12.6;0.641111;;145.5;;998.602222;31.11;26.234667;22.606667;82.691667;;
82353;31/12/1975;0000;5;1.290323;3;48.4;;;114.2;0.624731;;169.4;;998.508602;30.4;25.742581;22.187097;83.669355;;
82353;31/01/1976;0000;36;1.27957;5;43.8;;;87;0.680645;22;316.9;;998.876344;29.541935;24.986452;22.103226;86.629032;;
82353;29/02/1976;0000;36;1.218391;6;41.9;;;69.3;0.774713;26;489.3;;999.35977;29.434483;24.824828;22.144828;87.482759;;
82353;31/03/1976;0000;5;1.225806;5;50.3;;;84.3;0.727848;27;375.9;;998.723656;30.322581;25.527742;22.583871;87.040323;;
82353;30/04/1976;0000;5;1.022222;3;48.7;;;94.1;0.662222;20;276;;999.603333;30.466667;25.67;22.473333;86.825;;
82353;31/05/1976;0000;5;1.086022;3;69.5;;;186.9;0.55914;;194.2;;;30.874194;25.881935;22.722581;85.145161;;
82353;30/06/1976;0000;9;0.933333;3;72;;;203.2;0.474444;;55.8;;;31.176667;25.718;21.85;83.008333;;
82353;31/07/1976;0000;0;1.096774;3;56.6;;;244.1;0.450538;;112.9;;;31.354839;25.364516;20.76129;81.612903;;
82353;31/08/1976;0000;5;1.333333;3;82;;;198.6;0.503226;;9.8;;;32.070968;26.031613;21.206452;79.306452;;
82353;30/09/1976;0000;5;1.311111;3;95.8;;;39.5;0.492222;;16.8;;;32.72;26.549333;21.563333;75.466667;;
82353;31/10/1976;0000;5;1.537634;5;103.3;;;89.4;0.655914;;77.9;;999.102151;32.096774;26.782581;22.829032;77.669355;;
82353;30/11/1976;0000;5;1.377778;3;;;;7.1;0.603333;;27;;998.573333;31.24;26.406667;22.426667;79.308333;;
82353;31/12/1976;0000;5;1.655914;3.3;;;;37.4;0.64086;15;175.1;;997.889247;31.435484;26.411613;22.8;81.580645;;
82353;31/01/1977;0000;5;1.003226;2.1;39;;;69.9;0.835484;28;466.4;;999.262366;29.7;25.252258;22.593548;87.774194;;
82353;28/02/1977;0000;5;1.480952;6.6;33.2;;;61.4;0.728571;25;427.2;;;29.35;24.992143;22.2;89.303571;;
82353;31/03/1977;0000;5;0.989247;3.8;33.9;;;56.8;0.776344;30;500.7;;999.421505;29.5;25.330968;22.780645;88.935484;;
82353;30/04/1977;0000;5;1.122222;5.6;32.8;;;47.5;0.758889;27;286.3;;999.65;29.723333;25.59;22.746667;87.633333;;
82353;31/05/1977;0000;0;1.020652;4.6;43.9;;;125.4;0.625806;19;149.5;;;30.116129;25.658065;22.509677;86.475806;;
82353;30/06/1977;0000;0;1.104444;5;48.2;;;139.5;0.538889;15;151.8;;;30.74;25.506;21.926667;85.083333;;
82353;31/07/1977;0000;0;1.011828;4.1;65;;;238.1;0.450538;7;60.3;;;31.364516;25.582581;21.158065;81.395161;;
