--------------------
BDMEP - INMET
--------------------
Estação           : CONCEICAO DO ARAGUAIA - PA (OMM: 82861)
Latitude  (graus) : -8.26
Longitude (graus) : -49.26
Altitude  (metros): 156.85
Estação Operante
Inicio de operação: 19/03/1920
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82861;31/01/1961;0000;0;0.112903;3;;;;;0.61828;17;293.4;;992.302151;30.941935;24.543871;18.63871;86.564516;;
82861;28/02/1961;0000;0;0.089286;3;;;;;0.521429;14;211.3;;993.616667;30.985714;24.382857;18.228571;84.919643;;
82861;31/03/1961;0000;0;0.241935;7;;;;;0.539785;15;182.4;;992.867742;31.990323;25.376774;18.845161;84.604839;;
82861;30/04/1961;0000;0;0.016667;1;;;;;0.492222;10;128.2;;992.874444;32.143333;25.277333;18.62;83.4;;
82861;31/05/1961;0000;0;0;0;;;;;0.449462;14;178.7;;994.130108;32.267742;25.374839;18.496774;82.524194;;
82861;30/06/1961;0000;0;0.05;3;;;;;0.126667;0;0;;995.082222;32.823333;23.930667;15.333333;74.108333;;
82861;31/07/1961;0000;0;0.048387;3;;;;;0.156989;0;0;;994.917204;33.93871;23.291613;13.141935;63.556452;;
82861;31/08/1961;0000;0;0.096774;3;;;;;0.168817;;0;;994.519355;35.248387;24.829677;14.193548;58.790323;;
82861;30/09/1961;0000;0;0.25;5;;;;;0.255556;2;6.8;;992.638889;35.033333;26.555333;17.606667;64.333333;;
82861;31/10/1961;0000;0;0.145161;5;;;;;0.464516;6;102.2;;992.101075;33.077419;25.34;17.96129;76.290323;;
82861;30/11/1961;0000;0;0.1;3;;;;;0.484444;8;55.2;;991.9;33.17;25.508667;18.253333;79.9;;
82861;31/12/1961;0000;0;0.112903;7;;;;;0.583871;19;205;;992.629032;31.312903;24.290968;18.174194;87.862903;;
82861;31/01/1962;0000;0;0.354839;7;;;;;0.578495;20;176.8;;993.773118;32.270968;24.865161;18.422581;87.056452;;
82861;28/02/1962;0000;0;0.053571;3;;;;;0.592857;19;125.7;;993.278571;31.792857;25.052143;18.607143;85.1875;;
82861;31/03/1962;0000;0;0;0;;;;;0.590323;24;265;;993.350538;31.154839;24.72;18.696774;87.451613;;
82861;30/04/1962;0000;0;0;0;;;;;0.723596;18;300.8;;993.445556;32.006667;24.920667;18.646667;87.391667;;
82861;31/05/1962;0000;0;0;0;;;;;0.424731;0;0;;994.28172;33.216129;25.136774;17.225806;75.459677;;
82861;30/06/1962;0000;0;0.066667;3;;;;;0.291111;3;27.2;;995.131111;32.65;24.025333;15.553333;73.2;;
82861;31/07/1962;0000;0;0.274194;3;;;;;0.13871;;0;;996.198925;34.280645;24.3;14.483871;62.209677;;
82861;31/08/1962;0000;0;0.112903;3;;;;;0.216129;0;0;;994.560215;35.887097;25.755484;15.154839;58.887097;;
82861;30/09/1962;0000;0;0.35;5;;;;;0.331111;3;25.5;;993.577778;35.36;26.686;17.626667;63.575;;
82861;31/10/1962;0000;0;0.129032;5;;;;;0.477419;11;186.9;;993.350538;32.967742;25.383226;18.458065;78.572581;;
82861;30/11/1962;0000;0;0.016667;1;;;;;0.59;15;203.8;;992.592222;31.796667;24.908667;18.62;85.183333;;
82861;31/12/1962;0000;0;0.032258;1;;;;;0.575269;16;301.6;;992.736559;31.354839;24.810968;18.477419;85.782258;;
82861;31/01/1963;0000;0;0.016129;1;;;;;0.532258;17;197.2;;992.645161;31.425806;24.476129;17.987097;85.258065;;
82861;28/02/1963;0000;0;0.035714;1;;;;;0.64881;16;294;;993.545238;30.107143;24.221429;18.428571;89.401786;;
82861;31/03/1963;0000;0;0.177419;5;;;;;0.604301;18;262.4;;993.566667;31.070968;24.308387;18.251613;88.040323;;
82861;30/04/1963;0000;0;0.083333;5;;;;;0.575556;11;161.8;;992.935556;30.713333;24.527333;18.393333;88.191667;;
82861;31/05/1963;0000;0;0.145161;3;;;;;0.36129;3;50.2;;994.782796;31.667742;24.175484;16.541935;78.693548;;
82861;30/06/1963;0000;0;0.1;3;;;;;0.19;;0;;995.517778;33.356667;23.596;14.733333;69.408333;;
82861;31/07/1963;0000;0;0.129032;3;;;;;0.104301;0;0;;995.372043;34.106452;23.252258;13.206452;64.403226;;
82861;31/08/1963;0000;0;0.225806;3;;;;;0.106452;0;0;;993.917204;35.529032;24.852903;14.03871;55.419355;;
82861;30/09/1963;0000;0;0.283333;5;;;;;0.097778;1;3;;992.732222;36.15;26.531333;16.83;62.425;;
82861;31/10/1963;0000;0;0.056452;1;;;;;0.290323;8;104.4;;993.011828;34.209677;26.281935;18.035484;71.064516;;
82861;30/11/1963;0000;0;0.033333;1;;;;;0.432222;14;209.9;;992.343333;32.573333;25.412;18.186667;80.466667;;
82861;31/12/1963;0000;0;0.169355;9;;;;;0.591398;15;271.8;;993.192473;30.612903;24.596774;18.483871;84.701613;;
82861;31/01/1964;0000;0;0.080645;3;;;;;0.606452;26;648.4;;993.910753;29.819355;24.230323;18.777419;90.330645;;
82861;29/02/1964;0000;0;0.034483;1;;;;;0.588506;21;396;;992.629885;30.110345;24.511724;19.131034;90.603448;;
82861;31/03/1964;0000;0;0.145161;9;;;;;0.547312;21;313.4;;993.669892;29.229032;24.244516;18.696774;90.516129;;
82861;30/04/1964;0000;0;0.05;3;;;;;0.455556;14;191.4;;993.637778;30.17;24.418;18.42;87.8;;
82861;31/05/1964;0000;0;0;0;;;;;0.375269;8;72.2;;994.506452;30.690323;24.56129;18.019355;85.153226;;
82861;30/06/1964;0000;0;0.033333;1;;;;;0.27;2;15.8;;994.854444;31.51;23.595333;15.686667;74.316667;;
82861;31/07/1964;0000;0;0.129032;3;;;;;0.203226;2;0.6;;995.208602;32.770968;23.81871;14.56129;69.016129;;
82861;31/08/1964;0000;0;0.129032;3;;;;;0.162366;;0;;994.595699;34.403226;25.03871;14.890323;56.112903;;
82861;30/09/1964;0000;0;0.333333;3;;;;;0.267778;2;26.5;;993.518889;34.915385;25.853077;16.606667;61.9;;
82861;31/10/1964;0000;0;0.241935;3;;;;;0.45914;13;225.1;;993.376344;31.843333;24.696;17.925806;80.951613;;
82861;30/11/1964;0000;0;0.016667;1;;;;;0.468889;12;133.6;;992.837778;31.15;24.783333;18.386667;83.175;;
82861;31/12/1964;0000;0;0.145161;3;;;;;0.530108;13;198.8;;991.982796;30.567742;24.207742;17.754839;85.669355;;
82861;31/01/1965;0000;0;0.112903;3;;;;;0.645161;19;282.6;;993.323656;29.941935;23.92;17.787097;86.991935;;
82861;28/02/1965;0000;;;;;;;;0.547619;15;297.8;;992.59881;29.314286;23.922857;18.185714;90;;
