--------------------
BDMEP - INMET
--------------------
Estação           : OBIDOS - PA (OMM: 82178)
Latitude  (graus) : -1.91
Longitude (graus) : -55.51
Altitude  (metros): 37.00
Estação Operante
Inicio de operação: 01/01/1927
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82178;30/11/1970;0000;9;2.325287;6.7;90.2;;;;0.542697;13;341.5;;;33.968421;27.396842;22.13;81.35;;
82178;31/12/1970;0000;9;2.602151;6.7;119.7;;;;0.491398;9;69;;;34.135484;27.490323;21.987097;77.854839;;
82178;31/01/1971;0000;9;2.588043;6.7;96.1;;;;0.523656;15;188.7;;1006.48913;32.716129;26.329032;21.793548;83.370968;;
82178;28/02/1971;0000;9;1.816867;6.7;60.3;;;;0.615476;19;257;;;31.753571;25.522143;21.089286;86.116071;;
82178;31/03/1971;0000;9;2.068478;6.7;65.4;;;;0.637634;24;320.7;;;32.080645;25.21871;21.303846;85.556452;;
82178;30/04/1971;0000;9;2.138889;6.7;55.1;;;;0.603333;23;373.8;;;30.896667;25.166667;19.965517;87.891667;;
82178;31/05/1971;0000;9;2.36129;6.7;62.2;;;;0.576344;17;157.7;;;31.419355;25.672903;20.112903;86.096774;;
82178;30/06/1971;0000;9;2.723333;6.7;72.6;;;;0.566667;;116.6;;;31.63;25.998;20.603333;83.816667;;
82178;31/07/1971;0000;9;2.71828;6.7;98.1;;;;0.526882;;52.8;;;32.083871;26.143226;20.43871;81.741935;;
82178;31/08/1971;0000;9;2.423656;6.7;127.5;;;;0.46129;;16.2;;;33.509677;26.884516;19.909677;76.16129;;
82178;30/09/1971;0000;14;2.633333;6.7;152.3;;;;0.48;;6.8;;;34.97;27.566;19.533333;71.625;;
82178;31/10/1971;0000;9;2.459783;6.7;142.3;;;;0.553763;;52.2;;;34.590323;27.389032;19.206452;73.370968;;
82178;30/11/1971;0000;9;2.562222;6.7;130.3;;;;0.508889;;142.6;;1006.6;34.546667;27.117333;18.616667;75.016667;;
82178;31/12/1971;0000;9;2.546237;6.7;153.2;;;;0.502151;;25.6;;;35.432258;27.550968;18.274194;70.516129;;
82178;31/01/1972;0000;9;1.744086;6.7;97.8;;;;0.605376;17;260.6;;;33.203226;25.605161;17.445161;81.217742;;
82178;29/02/1972;0000;9;1.843678;6.7;74.2;;;;0.61954;17;117.1;;;31.755172;24.989655;16.906897;83.956897;;
82178;31/03/1972;0000;9;2.032609;6.7;67.3;;;;0.63871;18;290.3;;;31.36129;24.827742;16.677419;85.693548;;
82178;30/04/1972;0000;9;1.68;4.4;55.9;;;;0.626667;19;302.2;;;30.823333;24.829333;16.85;87.241667;;
82178;31/05/1972;0000;9;2.322581;6.7;74;;;;0.55914;;59.4;;;32.087097;25.647097;16.219355;83.943548;;
82178;30/06/1972;0000;9;2.353333;6.7;90.5;;;;0.523333;;45;;;31.896667;25.584;15.593333;80.833333;;
82178;31/07/1972;0000;9;2.73871;6.7;104.4;;;;0.519355;;34.4;;;32.229032;25.474194;15.187097;79.766129;;
82178;31/08/1972;0000;9;2.410753;6.7;112;;;;0.517204;;92.2;;;32.232258;25.687742;15.064516;78.604839;;
82178;30/09/1972;0000;9;2.288889;6.7;127.4;;;;0.488889;;15.8;;;33.186667;26.439333;15.413333;74.975;;
82178;31/10/1972;0000;9;2.416129;6.7;166.2;;;;0.525806;;11.8;;;34.351613;27.169677;15.332258;71.5;;
82178;30/11/1972;0000;9;2.397778;6.7;154.3;;;;0.532222;;4.2;;;35.14;27.535333;15.243333;68.883333;;
82178;31/12/1972;0000;9;1.872043;6.7;138.1;;;;0.58172;;148.5;;;34.23871;26.685161;15.1;76.524194;;
82178;31/01/1973;0000;14;1.519355;4.4;89.8;;;;0.612903;16;192.4;;;31.825806;24.623226;12.964286;82.629032;;
82178;28/02/1973;0000;9;1.546429;4.4;74;;;;0.65;;186.4;;;31.507143;26.162857;20.825926;84.3125;;
82178;31/03/1973;0000;9;1.798925;6.7;63.4;;;;0.663441;26;444.1;;;30.964516;26.690968;23.796774;86.491935;;
82178;30/04/1973;0000;9;1.873333;6.7;63.9;;;;0.643333;20;336.6;;;30.36;26.411333;23.42;85.841667;;
82178;31/05/1973;0000;9;1.882796;6.7;59.9;;;;0.65914;19;357;;1009.12043;30.545161;26.595484;23.777419;87.040323;;
82178;30/06/1973;0000;5;1.961111;6.7;68.9;;;;0.64;;79;;;31.183333;26.232;19.82;83.241667;;
82178;31/07/1973;0000;9;1.930108;6.7;84.9;;;;0.596774;;72.6;;1009.61828;31.009677;26.633548;23.019355;83.983871;;
82178;31/08/1973;0000;14;2.289247;6.7;110.9;;;;0.54086;;3.8;;;33.193548;27.936774;23.564516;77.314516;;
82178;30/09/1973;0000;9;2.006667;6.7;105.4;;;;0.626667;;56.9;;;33.513333;27.718;23.393333;78.575;;
82178;31/10/1973;0000;9;1.724731;6.7;110.2;;;;0.575269;;177;;999.927957;33.390323;28.116129;24.154839;78.346774;;
82178;30/11/1973;0000;9;1.61;4.4;114.6;;;;0.545556;;139.6;;;33.043333;28.150667;24.003333;78.3;;
82178;31/12/1973;0000;9;1.630108;4.4;60.4;;;;0.624731;;183.4;;;31.967742;26.73871;23.180645;83.258065;;
82178;31/01/1974;0000;9;1.327957;4.4;58;;;;0.625806;16;157.4;;;31.012903;26.211613;22.948387;84.306452;;
82178;28/02/1974;0000;5;1.611905;6.7;48.7;;;;0.652381;18;423.4;;;29.967857;25.435714;22.422222;87.821429;;
82178;31/03/1974;0000;9;1.832258;4.4;58.6;;;;0.64086;18;309.8;;1005.57957;29.951613;25.192258;22.785714;87.25;;
82178;30/04/1974;0000;9;1.806667;6.7;57.8;;;;0.608889;18;326.6;;;30.273333;26.025333;23.3;87.658333;;
82178;31/05/1974;0000;5;1.960215;6.7;59.2;;;;0.62043;16;238.6;;;29.980645;26.036774;23.006452;87.862903;;
82178;30/06/1974;0000;9;2.057778;6.7;70.8;;;;0.61;;78.3;;;30.393333;26.386;23.003333;84.133333;;
82178;31/07/1974;0000;9;2.384946;6.7;99.9;;;;0.537634;;42.3;;;31.203226;26.696774;22.612903;80.064516;;
82178;31/08/1974;0000;9;2.389247;6.7;111.1;;;;0.54086;;70.8;;;32.616129;27.617419;23.119355;77.25;;
82178;30/09/1974;0000;9;2.237778;6.7;110.6;;;;0.591111;;70.1;;;32.516667;27.372667;23.116667;77.841667;;
82178;31/10/1974;0000;9;2.005376;4.4;119.1;;;;0.555914;;139;;;33.483871;28.089032;23.574194;75.362903;;
82178;30/11/1974;0000;9;2.122222;6.7;121.7;;;;0.584444;;114;;;33.536667;28.156;23.803448;76.116667;;
82178;31/12/1974;0000;5;1.856989;4.4;87.7;;;;0.650538;;183.9;;;31.66129;26.734194;22.922581;82.209677;;
82178;31/01/1975;0000;9;1.549462;4.4;74;;;;0.64086;16;224.5;;;31.1;26.387742;22.741935;85.104839;;
82178;28/02/1975;0000;5;1.369048;4.4;50;;;;0.680952;17;315.3;;;30.360714;25.900714;22.610714;86.5;;
82178;31/03/1975;0000;5;1.601075;4.4;45.2;;;;0.676344;21;422.5;;;31.190323;26.306452;22.770968;85.298387;;
82178;30/04/1975;0000;9;1.673333;4.4;31.5;;;;0.68;16;366.4;;;31.136667;26.304667;23.086667;86.425;;
82178;31/05/1975;0000;5;1.756989;4.4;41;;;;0.63871;19;361.1;;;30.606452;26.166452;23.06;86.951613;;
82178;30/06/1975;0000;5;2.156667;6.7;66.6;;;;0.581111;;51.8;;;30.643333;26.301333;22.623333;84.516667;;
82178;31/07/1975;0000;9;1.943011;6.7;65.7;;;;0.592473;;56.6;;;31.083871;26.328387;22.116129;81.274194;;
82178;31/08/1975;0000;9;1.972043;6.7;99.7;;;;0.548387;;10.2;;;33.409677;27.795484;22.83871;77.524194;;
82178;30/09/1975;0000;9;1.637778;4.4;112.5;;;;0.43;;7.6;;;35.183333;28.246;22.653333;76.241667;;
82178;31/10/1975;0000;9;1.306452;4.4;139.9;;;;0.391398;;80.2;;;35.941935;28.772258;22.854839;76.475806;;
82178;30/11/1975;0000;9;1.415556;4.4;136;;;;0.376667;;41.2;;;34.89;28.374667;22.613333;76.475;;
82178;31/12/1975;0000;0;1.106452;2.4;80.1;;;;0.45914;;176;;;33.390323;26.872258;22.032258;83.451613;;
82178;31/01/1976;0000;0;0.876344;4.4;62;;;;0.504301;19;229.3;;;31.554839;25.814839;21.383871;87.233871;;
82178;29/02/1976;0000;0;1.309195;7;55.3;;;;0.567816;18;362.2;;;30.606897;25.496552;21.058621;88.12931;;
82178;31/03/1976;0000;0;1.466667;6;53.4;;;144.8;0.61828;21;423.5;;;29.690323;25.446452;22.051613;88.298387;;
82178;30/04/1976;0000;0;1.788889;6;56.2;;;203.1;0.533333;;294.7;;;30.13;25.962;22.323333;86.7;;
82178;31/05/1976;0000;0;1.924731;8;59.9;;;224.9;0.515054;;110.8;;;30.26129;26.142581;22.53871;86.379032;;
82178;30/06/1976;0000;0;1.744444;9;63.5;;;179.8;0.583333;;117.5;;;30.006667;25.756667;22.28;87.65;;
82178;31/07/1976;0000;5;2.182796;8;101.3;;;283.8;0.410753;;33.5;;1007.52043;30.903226;26.107097;22.080645;85.233871;;
82178;31/08/1976;0000;5;2.129032;7;70.6;;;304.9;0.354839;;16.6;;;32.054839;26.890323;22.196774;81.524194;;
82178;30/09/1976;0000;14;2.266667;7;106.2;;;274.9;0.387778;;4.5;;;33.066667;27.504;22.486667;82.65;;
82178;31/10/1976;0000;9;2.505376;9;69.8;;;260.6;0.480645;;15.6;;;33.558065;28.38;23.13871;80.314516;;
82178;30/11/1976;0000;9;2.088889;8;71.2;;;220.8;0.56;;72.2;;;32.9;28.029333;23.16;81.358333;;
82178;31/12/1976;0000;14;1.623656;7;87.1;;;245.3;0.584946;;106.2;;;32.583871;27.816129;23.125806;81.516129;;
82178;31/01/1977;0000;0;1.182796;7;56.8;;;163.1;0.674194;20;252.4;;;30.483871;26.254194;22.525806;87.024194;;
82178;28/02/1977;0000;0;0.964286;4;48;;;115.3;0.678571;24;358.9;;;29.010714;25.221429;22.457143;89.892857;;
82178;31/03/1977;0000;0;0.892473;9;55;;;113.7;0.656989;24;241.2;;1004.01828;29.290323;25.607742;22.583871;89.241935;;
82178;30/04/1977;0000;5;1.1;7;52.4;;;127.4;0.638889;21;337.6;;;29.816667;25.712667;22.326667;89.25;;
82178;31/05/1977;0000;14;1.516129;7;69.4;;;200;0.595699;21;224.2;;;29.787097;26.094839;22.625806;87.58871;;
82178;30/06/1977;0000;5;1.433333;5;73.7;;;214.5;0.551111;13;84.1;;;30.093333;25.886;22.293333;86.766667;;
82178;31/08/1977;0000;14;2.141304;9;123.1;;;293.2;0.515217;4;6.6;;;32.509677;27.125806;22.419355;82.193548;;
82178;30/09/1977;0000;5;1.866667;8;119;;;243.9;0.534444;6;209.2;;;32.633333;27.432;22.523333;81.75;;
82178;31/10/1977;0000;14;1.774194;7;109.4;;;238.4;0.578495;6;59.7;;;32.493548;27.610968;22.967742;80.943548;;
82178;30/11/1977;0000;14;1.977778;9;141.9;;;238.3;0.538889;1;2.2;;;33.516667;28.324667;23.07;79.8;;
82178;31/12/1977;0000;5;1.451613;7;77.8;;;148.9;0.648387;22;192.2;;;30.99;26.462667;22.756667;86.691667;;
