--------------------
BDMEP - INMET
--------------------
Estação           : PORTO DE MOZ - PA (OMM: 82184)
Latitude  (graus) : -1.73
Longitude (graus) : -52.23
Altitude  (metros): 15.93
Estação Operante
Inicio de operação: 23/04/1928
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82184;31/05/1963;0000;;;2;;;;;;11;90.6;;;25.690476;;;;;
82184;30/06/1963;0000;5;1.011111;4;;;;;5.411111;18;138;;;25.976667;;;;;
82184;31/07/1963;0000;5;1.064516;4;;;;;4.892473;13;95.7;;;26.163333;;;;;
82184;31/08/1963;0000;5;0.956989;2;;;;;4;6;25.3;;;26.409677;;;;;
82184;30/09/1963;0000;5;1.033333;4;;;;;4.3;8;28.3;;;26.856667;;;;;
82184;31/10/1963;0000;5;1.086022;2;;;;;3.752688;5;6.8;;;27.364516;;;;;
82184;30/11/1963;0000;5;1.055556;2;;;;;5.122222;7;77.8;;;27.356667;;;;;
82184;31/12/1963;0000;0;0.569892;4;;;;;6.698925;19;270.6;;;25.677419;;;;;
82184;31/01/1964;0000;0;0.634409;4;;;;;6.473118;18;244.9;;;25.351613;;;;;
82184;29/02/1964;0000;0;0.448276;2;;;;;7.321839;21;255.2;;;24.810345;;;;;
82184;31/03/1964;0000;0;0.430108;2;;;;;7.967742;28;524.6;;;24.435484;;;;;
82184;30/04/1964;0000;0;0.611111;4;;;;;7.377778;24;421.4;;;25.343333;;;;;
82184;31/05/1964;0000;0;0.741935;4;;;;;6.913978;25;574.7;;;25.035484;;;;;
82184;31/12/1964;0000;0;0.782609;4;;;;;5.945652;13;88.6;;;27.009677;;;;;
82184;31/01/1965;0000;0;0.591398;4;;;;;6.096774;19;125.5;;;26.229032;;;;;
82184;28/02/1965;0000;5;0.571429;2;;;;;6.988095;20;155.5;;;26.246429;;;;;
82184;31/03/1965;0000;0;0.537634;2;;;;;6.623656;22;304.7;;;25.951613;;;;;
82184;30/04/1965;0000;0;0.5;2;;;;;7.133333;22;326.1;;;25.5;;;;;
82184;31/05/1965;0000;0;0.55914;4;;;;;6.752688;25;392;;;25.53871;;;;;
82184;30/06/1965;0000;5;0.877778;4;;;;;5.244444;21;177.8;;;25.746667;;;;;
82184;31/07/1965;0000;5;0.817204;4;;;;;4.612903;12;57.4;;;26.190323;;;;;
82184;31/08/1965;0000;5;0.892473;4;;;;;4.258065;12;49.6;;;26.429032;;;;;
82184;30/09/1965;0000;5;0.977778;2;;;;;3.977778;6;24.8;;;26.883333;;;;;
82184;31/10/1965;0000;5;1;2;;;;;3.634409;4;6.3;;;27.483871;;;;;
82184;30/11/1965;0000;5;1.022222;2;;;;;4.388889;4;62.7;;;27.943333;;;;;
82184;28/02/1966;0000;5;0.915663;4;;;;;0.742169;22;268;;;29.371429;;;;;
82184;31/03/1966;0000;5;0.774194;2;;;;;0.76129;27;470.9;;;29.458065;;;;;
82184;30/04/1966;0000;5;1.011111;4;;;;;0.707778;26;468.8;;;30.036667;;;;;
82184;31/05/1966;0000;5;0.817204;4;;;;;0.602151;20;309.6;;;30.251613;;;;;
82184;30/06/1966;0000;0;0.733333;4;;;;;0.573333;18;411.9;;;30.37;;;;;
82184;31/07/1966;0000;5;0.775269;2;;;;;0.52043;16;228.5;;;30.416129;;;;;
82184;31/08/1966;0000;5;0.892473;4;;;;;0.475269;13;75;;;31.209677;;;;;
82184;30/09/1966;0000;5;0.922222;2;;;;;0.456667;9;42.7;;;31.326667;;;;;
82184;31/10/1966;0000;5;0.913978;4;;;;;0.402151;4;13.4;;;32.351613;;;;;
82184;30/11/1966;0000;5;0.844444;4;;;;;0.518889;7;85.8;;;31.61;;;;;
82184;31/12/1966;0000;5;0.655914;1;;;;;0.607527;11;59;;;31.1;;;;;
82184;31/01/1967;0000;5;0.655914;2;;;;;0.701075;25;250.9;;;30.206452;;30.206452;;;
82184;28/02/1967;0000;5;0.607143;2;;;;;0.771429;22;208.3;;;30.232143;;30.232143;;;
82184;31/03/1967;0000;5;0.677419;2;;;;;0.748387;22;252.7;;;30.296774;;30.296774;;;
82184;30/04/1967;0000;5;0.833333;4;;;;;0.66;20;164.2;;;30.46;;;;;
82184;31/05/1967;0000;0;0.72043;2;;;;;0.669892;18;252.9;;;30.158065;;;;;
82184;30/06/1967;0000;5;0.844444;4;;;;;0.6;;;;;30.93;;;;;
82184;31/08/1967;0000;5;0.891304;2;;;;;0.444565;8;57.4;;;31.487097;;;;;
82184;30/09/1967;0000;5;1;2;;;;;0.453333;7;29.1;;;32.496667;;;;;
82184;31/10/1967;0000;5;0.956989;2;;;;;0.507527;5;40.7;;;32.36129;;;;;
82184;30/11/1967;0000;5;0.9;2;;;;;0.397778;4;133.5;;;32.526667;;;;;
82184;31/12/1967;0000;5;0.784946;2;;;;;0.487097;6;171.9;;;32.009677;;;;;
82184;31/01/1968;0000;5;0.935484;4;;;;;0.62043;20;291.5;;;30.419355;;;;;
82184;29/02/1968;0000;5;0.781609;4;;;;;0.703448;22;167.4;;;30.265517;;19.37931;;;
82184;31/03/1968;0000;5;0.763441;4;;;;;0.697849;21;376.4;;;30.345161;;19.890323;;;
82184;30/04/1968;0000;5;0.8;4;;;;;0.684444;20;386.6;;;29.99;;19.873333;;;
82184;31/05/1968;0000;0;0.645161;4;;;;;0.749462;21;423;;;29.777419;;19.825806;;;
82184;30/06/1968;0000;0;0.677778;2;;;;;0.662222;22;309.8;;;29.78;;20.666667;;;
82184;31/07/1968;0000;5;0.924731;2;;;;;0.491398;14;154.8;;;30.916129;;21.519355;;;
