--------------------
BDMEP - INMET
--------------------
Estação           : SAO FELIX DO XINGU - PA (OMM: 82668)
Latitude  (graus) : -6.63
Longitude (graus) : -51.96
Altitude  (metros): 206.00
Estação Operante
Inicio de operação: 07/07/1972
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82668;30/09/1972;0000;0;0.662921;5;78;;;;0.6;;51.8;;989.941573;32.543333;25.528667;20.256667;88.208333;;
82668;31/10/1972;0000;0;0.586957;5;72;;;;0.568817;;84.5;;989.327957;32.932258;25.595484;20.56129;86.927419;;
82668;30/11/1972;0000;0;0.711111;9;67;;;;0.59;;112;;989.001111;33.416667;26.146667;21.086667;87.008333;;
82668;31/12/1972;0000;0;1.236559;7;30;;;;0.543011;16;232.6;;988.791398;31.751613;25.646452;21.467742;90.104839;;
82668;31/01/1973;0000;0;1.096774;7;59;;;;0.607527;16;184.7;;990.187097;30.990323;25.137419;20.983871;91.612903;;
82668;28/02/1973;0000;0;0.964286;5;34.5;;;;0.605952;20;352.5;;990.42381;30.596429;25.21;21.003571;91.910714;;
82668;31/03/1973;0000;0;1;5;42.5;;;;0.523656;23;362.3;;990.517204;31.270968;25.349677;20.887097;91.806452;;
82668;30/04/1973;0000;0;1.322222;7;43;;;;0.728889;19;195.9;;990.394444;30.973333;25.134;20.72;92.708333;;
82668;31/05/1973;0000;0;1.053763;5;51;;;;0.678495;;112;;990.892473;31.812903;25.027097;20.064516;92.83871;;
82668;30/06/1973;0000;0;1.422222;7;72;;;;0.718889;;119.7;;990.527778;31.69;24.66;19.03;89.866667;;
82668;31/07/1973;0000;0;0.870968;3;77.9;;;;0.756989;;18.1;;991.365591;31.712903;24.132258;17.664516;89.056452;;
82668;31/08/1973;0000;0;1.376344;5;88.1;;;;0.84086;;158.4;;991.210753;32.609677;24.28129;17.280645;87.612903;;
82668;30/09/1973;0000;0;1.6;5;76.6;;;;0.804444;;123.3;;991.217778;32.53;24.764;18.18;85.2;;
82668;31/10/1973;0000;9;2.053763;7;52;;;;0.806452;19;184.2;;989.406452;31.009677;24.552903;18.722581;88.266129;;
82668;30/11/1973;0000;0;1.044444;3;52.7;;;;0.677778;15;132.9;;989.458889;31.66;25.322667;18.966667;88.133333;;
82668;31/12/1973;0000;0;0.989247;3;60.2;;;;0.778495;16;174;;989.970968;30.148387;24.064516;18.067742;90.330645;;
82668;31/01/1974;0000;0;0.709677;3;43.3;;;0;0.813978;22;244.9;;990.196774;29.774194;23.924516;17.803226;92.612903;;
