--------------------
BDMEP - INMET
--------------------
Estação           : JOAO PESSOA - PB (OMM: 82798)
Latitude  (graus) : -7.1
Longitude (graus) : -34.86
Altitude  (metros): 7.43
Estação Operante
Inicio de operação: 01/01/1912
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82798;31/01/1961;0000;14;3.719101;7;106.5;;;;5.932584;13;273.4;;;29.446667;26.341333;23.51;83.441667;;
82798;28/02/1961;0000;14;3.541667;7;85.9;;;;5.809524;13;57.3;;;29.707692;26.530769;22.832143;92.258929;;
82798;31/03/1961;0000;14;2.548387;5;32.5;;;;6.397849;21;191.2;;;30.319355;26.532258;22.922581;86.419355;;
82798;30/04/1961;0000;14;3.122222;8;65;;;;6.233333;20;511.4;;;29.543333;25.824667;22.37;88.725;;
82798;31/05/1961;0000;14;2.924731;7;78.1;;;;6.043011;23;276.5;;;28.974194;25.387097;22.025806;89.41129;;
82798;30/06/1961;0000;14;2.944444;7;85.3;;;;5.644444;22;324.9;;;28.35;24.933333;21.33;87.366667;;
82798;31/07/1961;0000;14;3.322581;9;78.4;;;;6.129032;27;320.9;;;27.333333;23.94;20.254839;83.887097;;
82798;31/08/1961;0000;14;3.709677;9;101.9;;;;5.354839;24;90.6;;;27.483333;24.278;20.358065;81.75;;
82798;30/09/1961;0000;14;3.744444;7;102.7;;;;5.455556;21;82.4;;;28.366667;25.074;20.636667;79.25;;
82798;31/10/1961;0000;14;3.946237;7;118;;;;5.795699;26;72.6;;;28.3;25.156129;22.309677;79.358333;;
82798;30/11/1961;0000;14;4.233333;7;;;;;4.466667;13;8;;1008.01;29.516667;26.465333;22.623333;73.591667;;
82798;31/12/1961;0000;14;3.625806;9;;;;;4.612903;14;13.2;;;30.219355;27.159355;23.622581;74.16129;;
82798;31/01/1963;0000;14;4.673913;7;136.7;;;;4.478261;14;30.2;;;30.664516;27.426;23.376667;74.782258;;
82798;28/02/1963;0000;14;4.170238;7;102.7;;;229;5.083333;17;189.1;;1006.56506;30.667857;27.42;23.517857;77.87963;;
82798;31/03/1963;0000;14;3.666667;7;72.2;;;157.5;6.311828;25;302.3;;;29.087097;26.176129;22.754839;83.798387;;
82798;30/04/1963;0000;9;3.022222;7;55.1;;;180.2;5.455556;21;286.8;;;29.08;25.724;22.076667;85.358333;;
82798;31/05/1963;0000;14;4.290323;9;80.3;;;187.4;5.086022;21;177;;;28.319355;25.013333;21.348387;84.324074;;
82798;30/06/1963;0000;18;5.2;7;72.5;;;170.4;5.488889;24;146.3;;;27.18;23.873793;20.782759;87.066667;;
82798;31/07/1963;0000;18;5.870968;7;70.7;;;;5.817204;26;363;;;26.612903;23.240645;20.170968;85.443548;;
82798;31/08/1963;0000;14;5.197849;8;81.6;;;;4.88172;18;147.5;;;26.635484;23.659333;19.66129;82.525;;
82798;30/09/1963;0000;14;5.455556;8;;;;235.4;4.011111;21;26.1;;;28.34;25.212667;20.796667;77.916667;;
82798;31/10/1963;0000;14;4.752688;7;;;;260.2;4.548387;9;5.6;;1009.48;30.490323;26.866;21.645161;78.410714;;
82798;31/01/1964;0000;14;4.347826;7;;;;;5.597826;20;270;;;30.274194;27.219355;22.829032;77.541667;;
82798;29/02/1964;0000;14;4.137931;7;;;;;5.724138;20;306;;;30.965517;27.514483;23.117241;79.692308;;
82798;31/03/1964;0000;9;2.698925;5;;;;;4.827957;25;312.1;;1007.145;30.63871;27.455333;22.713333;82.921053;;
82798;30/04/1964;0000;14;2.785714;7;;;;;6.261905;21;631.1;;;29.907407;26.854783;22.773077;76.479167;;
82798;31/05/1964;0000;14;2.83871;7;;;;;5.215054;28;701.6;;;29.614286;26.695714;22.66129;75.346774;;
