--------------------
BDMEP - INMET
--------------------
Estação           : SAO GONCALO - PB (OMM: 82689)
Latitude  (graus) : -6.75
Longitude (graus) : -38.21
Altitude  (metros): 233.06
Estação Operante
Inicio de operação: 08/10/1938
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82689;31/01/1961;0000;0;7.2;127.5;;;242;4.891304;9;180;;;;;21.548387;65.653226;;
82689;28/02/1961;0000;0;3.1;74.1;;;203.5;5.928571;13;225.9;;;31.075;25.535;21.171429;77.821429;;
82689;31/03/1961;0000;0;5.8;94.5;;;228.8;6.322581;11;329.2;;;32.070968;25.959355;21.203226;73.112903;;
82689;30/04/1961;0000;0;3.9;87.9;;;251.1;5.277778;11;136.7;;;31.886667;26.210667;21.35;72.125;;
82689;31/05/1961;0000;0;7.6;103.5;;;271.3;4.096774;7;71.3;;;32.1;26.006452;20.470968;69.919355;;
82689;30/06/1961;0000;14;6.4;153.7;;;252;3.355556;4;4.9;;;32.293333;25.796;19.49;66.283333;;
82689;31/07/1961;0000;18;6.5;188.5;;;273;2.365591;2;12.9;;;32.441935;25.632903;18.222581;62.217742;;
82689;31/08/1961;0000;14;8.7;230.2;;;326.4;0.849462;1;0.2;;;33.348387;26.250323;19.506452;57.766129;;
82689;30/09/1961;0000;9;6;230.9;;;299.2;0.833333;1;2.3;;;34.72;27.123333;20.44;56.216667;;
82689;31/10/1961;0000;9;12.5;269.9;;;;1.946237;1;0.3;;;34.977419;27.866452;20.8;52.677419;;
82689;30/11/1961;0000;9;8.7;245.8;;;311.8;2;1;16.6;;;35.46;28.153333;20.793333;50.758333;;
82689;31/12/1961;0000;9;13.8;204.5;;;283;3.677419;0;0;;;34.867742;28.194194;22.103226;55.612903;;
82689;31/01/1962;0000;9;12.5;172.8;;;279.6;3.591398;6;46.9;;;34.83871;28.210323;21.848387;59.806452;;
82689;28/02/1962;0000;9;4.6;69.2;;;229.7;4.916667;10;179.7;;;33.103571;27.227857;22.017857;68.6875;;
82689;31/03/1962;0000;0;12.5;49.3;;;237.7;5.913978;16;244.3;;;32.119355;26.563871;21.483871;73.91129;;
82689;30/04/1962;0000;0;14;59.2;;;243.7;4.922222;15;147.9;;;32.046667;26.252;20.933333;75.591667;;
82689;31/05/1962;0000;0;5.8;126.6;;;236.2;4.655914;8;30.6;;;32.516129;26.147742;19.506452;71.379032;;
82689;30/06/1962;0000;0;6;138.3;;;243.1;4.211111;4;7.7;;;31.616667;25.748;19.313333;65.708333;;
82689;31/07/1962;0000;0;6.4;207.2;;;269.3;2.913978;4;10.6;;;32.012903;25.532258;18.825806;58.362903;;
82689;31/08/1962;0000;9;7.2;258.2;;;291;2.268817;0;0;;;33.612903;26.667097;19.116129;54.217742;;
82689;30/09/1962;0000;9;6.5;239.1;;;287.2;1.388889;0;0;;;34.8;27.050667;20.066667;56.833333;;
82689;31/10/1962;0000;0;6.4;251.3;;;314.8;1.752688;0;0;;;35.393548;27.841935;20.035484;50.475806;;
82689;30/11/1962;0000;0;4.8;181.6;;;273.3;5.1;6;5.5;;;35.353333;28.098;21.806667;55.908333;;
82689;31/12/1962;0000;0;6.5;192.1;;;282.2;4.612903;1;28.2;;;34.980645;28.309032;22.067742;55.096774;;
82689;31/01/1963;0000;0;4.9;131.7;;;260.7;6.010753;10;127.1;;;33.825806;27.276129;21.470968;65.741935;;
82689;28/02/1963;0000;0;6;70.3;;;199.8;6.77381;16;366.4;;;31.867857;26.037143;20.839286;76.75;;
82689;31/03/1963;0000;0;5.6;71.3;;;200.2;6.763441;19;396.8;;;31.587097;25.949032;21.241935;78.483871;;
82689;30/04/1963;0000;0;3.6;63.1;;;224.7;5.477778;11;167.3;;;31.5;25.956667;21.106667;74.15;;
