--------------------
BDMEP - INMET
--------------------
Estação           : CABROBO - PE (OMM: 82886)
Latitude  (graus) : -8.51
Longitude (graus) : -39.33
Altitude  (metros): 341.46
Estação Operante
Inicio de operação: 17/10/1927
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82886;31/01/1961;0000;14;1.261957;4.4;;;;;6.521739;6;83.7;;946.945161;34.027586;28.474483;23.1;60.508065;;
82886;28/02/1961;0000;14;1.32619;4.4;;;;;6.380952;5;76.5;;;;;21.85;54.446429;;
82886;31/03/1961;0000;14;2.094624;9.3;;;;;6.021505;10;100.7;;947.062366;33.165517;28.530345;21.36129;47.895161;;
82886;30/04/1961;0000;14;2.425556;9.3;;;;;4.866667;0;0;;947.377778;;;21.403333;44.733333;;
82886;31/05/1961;0000;14;2.373118;6.7;;;;;4.462366;2;3.4;;947.42043;;;21.564516;49.5;;
82886;30/06/1961;0000;14;2.266667;9.3;;;;;4.577778;6;9.8;;947.585556;;;20.526667;55.391667;;
82886;31/07/1961;0000;14;2.768817;9.3;;;;;4.645161;1;4;;948.992473;;;19.035484;71.830645;;
82886;31/08/1961;0000;14;3.160215;9.3;;;;;4.935484;0;0;;949.450538;;;18.296774;60.362903;;
82886;30/09/1961;0000;14;2.708889;9.3;;;;;4.544444;0;0;;948.967778;;;20.553333;53.416667;;
82886;31/10/1961;0000;14;3.306452;9.3;;;;;5.075269;0;0;;947.997849;;;20.13871;55.040323;;
82886;30/11/1961;0000;14;2.175556;9.3;;;;;5.211111;0;0;;947.833333;;;21.71;43.733333;;
82886;31/12/1961;0000;14;1.595699;6.7;;;;;4.333333;0;0;;947.73871;;;21.345161;43.951613;;
82886;31/01/1962;0000;0;0.706452;2.4;;;;;6.763441;8;144.6;;947.625806;;;22.380645;53.532258;;
82886;28/02/1962;0000;0;0.995238;4.4;;;;;6.119048;5;89.6;;947.611905;;;21.507143;54.616071;;
82886;31/03/1962;0000;14;1.446237;4.4;;;;;5.27957;5;37.8;;947.772043;;;21.390323;47.596774;;
82886;30/04/1962;0000;14;1.166667;2.4;;;;;5.066667;4;15;;948.337778;;;20.686667;54.05;;
82886;31/05/1962;0000;14;1.444086;2.4;;;;;5.892473;8;63.8;;947.765591;;;20.370968;66.008065;;
82886;30/06/1962;0000;14;2.176667;6.7;;;;;6.433333;5;17.3;;948.483333;;;20.013333;76.133333;;
82886;31/07/1962;0000;14;2.5;6.7;;;;;5.784946;4;20.1;;948.4;;;19.541935;75.233871;;
82886;31/08/1962;0000;14;2.731183;9.3;;;;;5.247312;0;0;;948.44086;;;19.741935;67.798387;;
82886;30/09/1962;0000;14;1.885556;6.7;;;;;4.811111;0;0;;947.814444;;;21.310345;50.608333;;
82886;31/10/1962;0000;;;4.4;;;;;;;0;;947.669231;;;21.43125;41.5;;
82886;28/02/1963;0000;;;7;;;;;;3;71.2;;;31.72;26.22;20.353333;64.633333;;
82886;31/03/1963;0000;14;2;7;;;;206.6;5.924731;5;39.4;;;32.53871;26.501935;20.16129;62.08871;;
82886;30/04/1963;0000;14;1.944444;5;142.1;;;173;6.9;4;30.7;;;32.056667;26.619333;20.603333;59.45;;
82886;31/05/1963;0000;14;2.419355;7;252.1;;;207.5;6.526882;5;34.6;;;29.854839;25.140645;19.267742;61.209677;;
82886;30/06/1963;0000;14;2.347778;9;136.8;;;;5.033333;4;8.3;;;29.256667;24.036;18.456667;63.941667;;
82886;31/07/1963;0000;14;1.634409;7;116.3;;;224.6;4.666667;3;2.3;;;28.941935;23.92129;19.003226;62.669355;;
82886;31/08/1963;0000;14;2.010753;7;177.6;;;272.4;4.72043;0;0;;;29.816129;25.232258;18.622581;55.330645;;
82886;30/09/1963;0000;14;1.966667;7;250.5;;;215.5;4.322222;0;0;;;30.436667;25.876;19.023333;49.875;;
82886;31/10/1963;0000;14;1.935484;7;211.2;;;253.5;4.55914;1;14;;;33.587097;27.539355;19.106452;48;;
82886;30/11/1963;0000;5;1.966667;5;163.2;;;250.8;4.877778;0;0;;;32.383333;27.948667;19.473333;48.775;;
82886;31/12/1963;0000;14;1.806452;5;160;;;196.8;7.021505;12;237.8;;;30.609677;26.381935;20.677419;56.572581;;
82886;31/01/1964;0000;14;1.677419;7;133.6;;;202.1;6.064516;6;35.9;;;29.883871;26.102581;20.551613;57.669355;;
82886;29/02/1964;0000;14;1.574713;5;152.6;;;227.4;4.873563;6;108.4;;;31.244828;27.257241;19.337931;60.594828;;
82886;31/03/1964;0000;14;2.150538;6;;;;;6.11828;6;33.7;;;31.851613;27.237419;20.277419;57.548387;;
82886;30/04/1964;0000;14;1.544444;5;;;;133.6;4.822222;11;151.6;;;30.74;26.455333;19.556667;58.5;;
82886;31/05/1964;0000;14;1.956989;5;;;;;6.860215;12;167.7;;976.688043;29.090323;24.491613;18.987097;70.822581;;
82886;30/06/1964;0000;14;1.855556;7;;;;;6.677778;5;37.5;;977.812222;28.033333;23.495333;19.28;70.866667;;
82886;31/07/1964;0000;14;1.688172;5;188.7;;;;6;6;28.7;;978.491398;28.819355;23.35871;18.716129;67.41129;;
82886;31/08/1964;0000;14;2.784946;7;260;;;215.8;6.193548;6;11.2;;979.689247;29.593548;23.916129;19.112903;63.330645;;
82886;30/09/1964;0000;0;1.833333;7;354.5;;;246.4;5.3;1;1.8;;977.694444;31.253333;25.153333;19.833333;55.575;;
82886;31/10/1964;0000;14;1.430108;3;202.7;;;246.6;4.88172;2;30.2;;976.024731;33.858065;27.366452;21.43871;49.790323;;
82886;30/11/1964;0000;14;1.5;5;277.4;;;251.1;6.077778;4;18.8;;976.045556;34.126667;27.822667;21.606667;55.075;;
82886;31/12/1964;0000;14;1.870968;7;327.1;;;236;6.311828;2;10.7;;974.151613;34.432258;28.16;22.035484;46.39;;
82886;31/01/1965;0000;14;2.408602;7;;;;222.1;6.086022;3;34.5;;975.87957;33.525806;27.475484;21.419355;50.075;;
82886;28/02/1965;0000;5;2.47619;7;;;;225.7;6.095238;5;17.9;;976.591667;34.025;27.925714;21.8;51.151786;;
82886;31/03/1965;0000;14;1.913978;7;216.9;;;182.2;6.236559;10;182.1;;976.637634;32.841935;27.289032;22.912903;60.435484;;
82886;30/04/1965;0000;14;1.9;7;116.4;;;195.8;6.266667;9;183.3;;976.214444;29.223333;25.480667;21.64;68.683333;;
82886;31/05/1965;0000;14;1.817204;7;215.6;;;;5.172043;1;4;;976.972043;29.706452;25.143871;20.519355;63.564516;;
82886;30/06/1965;0000;14;2.1;7;209.1;;;40;6.022222;5;9;;978.305556;27.963333;24.088;19.843333;65.691667;;
82886;31/07/1965;0000;14;2.354839;7;265.8;;;;5.795699;4;7.4;;977.813978;28.493548;24.040645;19.119355;61.701613;;
