--------------------
BDMEP - INMET
--------------------
Estação           : OURICURI - PE (OMM: 82753)
Latitude  (graus) : -7.9
Longitude (graus) : -40.04
Altitude  (metros): 459.28
Estação Operante
Inicio de operação: 16/09/1975
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82753;31/10/1975;0000;9;5.3;331.1;;;280.6;4.065217;3;12;;;34.377419;27.436774;21.332258;43.169355;;
82753;30/11/1975;0000;9;5.5;365.9;;;288;3.677778;1;5.1;;;34.793333;28.163636;22.527586;36.2625;;
82753;31/12/1975;0000;9;6.8;324.6;;;256.7;4.967742;3;41.5;;;33.135484;;22.131579;;;
82753;31/01/1976;0000;36;6.3;334.7;;;274;6.215054;4;12.2;;;33.641935;;;49.383333;;
82753;29/02/1976;0000;36;5.8;125.2;;;185.2;7.241379;11;127.9;;;29.7;22.584828;20.194118;73.12931;;
82753;31/03/1976;0000;36;5;149.2;;;256.3;6.602151;7;153.5;;;30.187097;24.307097;19.967742;70.475806;;
82753;30/04/1976;0000;32;5.1;119.8;;;224.5;5.822222;7;58;;;29.5;23.276;19.02;74.358333;;
82753;31/05/1976;0000;;;221.3;;;260.2;4.473118;0;0;;;31.474194;24.419355;18.603226;55.717742;;
82753;30/06/1976;0000;;;257.2;;;268.6;3.955556;0;0;;;30.31;23.474667;17.513793;52.516667;;
82753;31/07/1976;0000;;;287.4;;;281.7;3.344086;3;0.8;;;29.648387;22.84;17.067742;49.532258;;
82753;31/08/1976;0000;;;322.6;;;318.4;2.548387;0;0;;;31.158065;23.545806;17.180645;44.072581;;
82753;30/09/1976;0000;;;302.4;;;270.9;3.811111;3;41.2;;;32.75;26.06;19.98;46.058333;;
82753;31/10/1976;0000;;5.1;228.8;;;245.9;5.537634;7;50.8;;;31.116129;25.333548;20.803226;59.379032;;
82753;30/11/1976;0000;5;5.3;237.2;;;235.7;5.088889;7;95.6;;957.489888;32.413333;26.161333;21.393333;57.108333;;
82753;31/12/1976;0000;14;7;260.2;;;313.1;4.204301;7;32.3;;956.333333;33.13871;26.375484;21.154839;53.306452;;
82753;31/01/1977;0000;14;6.3;204;;;159.6;7.473118;12;48.3;;957.639785;30.625806;25.100645;21.087097;66.733871;;
82753;28/02/1977;0000;14;5.5;191.5;;;167.3;6.297619;7;26.3;;958.5;30.982143;25.11;20.964286;64.830357;;
82753;31/03/1977;0000;14;5.1;189.3;;;198.4;6.215054;12;67;;957.662366;31.587097;25.616774;21.029032;66.032258;;
82753;30/04/1977;0000;14;5;118.6;;;190.9;6.666667;16;128.1;;958.322222;29.73;24.622;20.853333;76.1;;
82753;31/05/1977;0000;14;5.1;128.3;;;184.4;7.11828;13;78.4;;959.652688;28.248387;23.27871;19.258065;77.814516;;
82753;30/06/1977;0000;14;7.1;169.8;;;163.7;5.966667;13;21.2;;961.073333;27.933333;22.862;19.2;72.833333;;
82753;31/07/1977;0000;14;7.1;245.7;;;176.4;6.397849;13;24.2;;961.792473;28.46129;22.709032;18.164516;64.564516;;
82753;31/08/1977;0000;14;6.6;339.1;;;272.8;3.096774;4;1.4;;960.866667;31.048387;24.418065;18.432258;51.032258;;
82753;30/09/1977;0000;14;7.5;363.1;;;245;4.277778;3;25;;960.401111;31.856667;25.676;20.45;49.608333;;
82753;31/10/1977;0000;14;6.3;369.3;;;266.9;4.83871;5;12.4;;958.782796;33.387097;27.190323;21.977419;47.322581;;
82753;30/11/1977;0000;14;6.8;397.5;;;286.8;4.122222;6;63.4;;957.192222;34.813333;28.493333;22.746667;43.033333;;
82753;31/12/1977;0000;14;5.8;204.1;;;217.9;6.387097;8;84.8;;957.815054;30.929032;25.718065;21.867742;66.209677;;
82753;31/01/1978;0000;14;5.6;192.7;;;246.8;5.247312;7;73.1;;958.905376;31.180645;25.090323;20.712903;66.201613;;
82753;28/02/1978;0000;9;7.3;126.8;;;148.6;7.178571;17;124.3;;958.288095;30.339286;24.960714;21.442857;74.875;;
82753;31/03/1978;0000;9;5;110.4;;;171.6;7.236559;15;72.4;;959.163441;28.790323;23.569032;20.054839;81.330645;;
82753;30/04/1978;0000;14;6.6;180.4;;;;5.977778;7;52.2;;958.184444;30.813333;24.622;20.24;70.241667;;
82753;31/05/1978;0000;14;7.1;109.7;;;180.5;6.322581;13;76.4;;959.16129;28.696774;23.293548;19.532258;79.991935;;
82753;30/06/1978;0000;14;6.1;189.2;;;180.1;5.988889;9;17.6;;961.917778;28.213333;22.454;18.266667;70.616667;;
82753;31/07/1978;0000;14;6.6;235.9;;;187.6;5.655914;10;16.1;;960.554839;29.748387;20.965161;;63.741935;;
82753;31/08/1978;0000;14;7.1;343.4;;;254.5;4.107527;4;1.8;;962.04086;30.519355;23.93871;18.596774;50.475806;;
82753;30/09/1978;0000;14;8.8;379;;;239.2;4.422222;7;3.7;;960.618889;31.81;25.307333;19.54;48.083333;;
82753;31/10/1978;0000;9;7;441.1;;;266.4;4.365591;0;0;;958.369892;34.183871;27.773548;21.825806;40.306452;;
82753;30/11/1978;0000;9;5.8;418.5;;;258.4;4.311111;6;44.8;;957.588889;34.246667;27.851333;22.103333;44.3;;
82753;31/12/1978;0000;14;7;241;;;193.7;6.387097;9;36.1;;958.106452;31.822581;26.000645;21.603226;60.991935;;
82753;31/01/1979;0000;;;;;;;;11;124.8;;;31.478947;;21.573684;;;
82753;28/02/1979;0000;;4.3;95.8;;;116.2;;12;69;;951.936;28.940741;23.290588;20.655556;82.632353;;
82753;31/03/1979;0000;;;;;;156.8;;10;105.9;;;31.376923;;20.384615;;;
82753;30/04/1979;0000;;;149.3;;;181;;12;95.8;;;29.713793;;20.337931;;;
82753;31/05/1979;0000;;;121.4;;;145.8;;11;33.2;;;28.53;;19.156667;;;
82753;30/06/1979;0000;;;229.6;;;135.5;;9;14.5;;;28.544444;;18.403704;;;
82753;31/07/1979;0000;;;256.1;;;212.7;;5;3.7;;;29.884615;;17.76129;;;
82753;31/08/1979;0000;;;;;;;;2;3.2;;;30.826316;;18.915789;;;
82753;30/09/1979;0000;;;;;;;;;0;;;32.666667;;20.88;;;
82753;31/10/1979;0000;;;;;;;;;0;;;;;;;;
82753;30/11/1979;0000;;;271.1;;;215.1;;6;55.5;;;34.035714;;23.010714;;;
82753;31/12/1979;0000;;;;;;201.2;;8;18.9;;;33.588;;22.576;;;
82753;31/01/1980;0000;;6.1;;;;174.2;;8;189.3;;958.648571;29.953846;;20.746154;;;
82753;29/02/1980;0000;;4.1;;;;124.5;7.979167;17;317.6;;958.629167;28.946154;23.5075;20.573077;84.390625;;
82753;31/03/1980;0000;;5.3;102.1;;;185.9;5.705882;7;83.1;;959.186275;28.806897;23.218824;19.803448;78.735294;;
82753;30/04/1980;0000;;;175.6;;;233.7;;4;15.4;;;31.606667;;19.41;;;
82753;31/05/1980;0000;;;;;;;;1;0.5;;;;;;;;
82753;30/06/1980;0000;;;;;;146.2;;4;10.6;;;29.808;;18.7;;;
82753;31/07/1980;0000;;;235;;;229.4;;3;13;;;30.314286;;17.967857;;;
82753;31/08/1980;0000;;;282.3;;;248.7;;2;2.4;;;31.378571;;18.607143;;;
82753;30/09/1980;0000;;;288.3;;;236.6;;4;5.8;;;33.137931;;20.565517;;;
82753;31/10/1980;0000;;7.1;348.1;;;239.5;;2;7.7;;960.472727;33.537931;;21.027586;;;
82753;30/11/1980;0000;;;255.1;;;204.3;;6;39.8;;;32.796552;;22.486207;;;
82753;31/12/1980;0000;;;226.4;;;212.2;;8;60.4;;;32.621429;;21.964286;;;
82753;31/01/1981;0000;9;6.5;198.4;;;199.4;6.08046;7;30.2;;958.574713;32.237931;26.03931;21.510345;61.956522;;
82753;28/02/1981;0000;14;6.8;;;;207.4;5.173333;6;4.3;;958.017333;33.472;26.9568;21.488;;;
