--------------------
BDMEP - INMET
--------------------
Estação           : RECIFE  CURADO  - PE (OMM: 82900)
Latitude  (graus) : -8.05
Longitude (graus) : -34.95
Altitude  (metros): 10.00
Estação Operante
Inicio de operação: 07/07/1961
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82900;31/03/1961;0000;9;5;;;;;7.48913;22;348.1;;;29.087097;26.165806;22.916129;82.435484;;
82900;30/04/1961;0000;0;6;;;;;7.555556;26;424.8;;;28.493333;25.220667;22.496667;85.433333;;
82900;31/05/1961;0000;18;6;;;;157.4;7.795699;24;248;;;28.254839;24.729032;21.932258;85.322581;;
82900;30/06/1961;0000;18;6;;;;;8.166667;28;336.5;;;27.603333;24.276;21.54;84.875;;
82900;31/07/1961;0000;18;4;;;;;8.150538;25;355.2;;;26.658065;23.2;20.496774;84.75;;
82900;31/08/1961;0000;18;5;;;;;8.602151;28;243.8;;;26.587097;23.095484;20.280645;84.16129;;
82900;30/09/1961;0000;14;7;73.4;;;;8.222222;16;91.2;;;27.603333;24.284;21.066667;78.466667;;
82900;31/10/1961;0000;14;5;60.6;;;;8.010753;23;86;;;28.067742;24.952258;21.848387;79.080645;;
82900;30/11/1961;0000;14;5;69.2;;;;7.466667;5;8.5;;;29.426667;25.506;20.89;71.475;;
82900;31/12/1961;0000;9;4;79.5;;;;6.731183;7;18;;;29.722581;25.905806;20.887097;72.870968;;
82900;31/01/1962;0000;9;4;66.7;;;;6.107527;0;0;;;30.590323;26.291613;20.887097;71.193548;;
82900;28/02/1962;0000;5;4;64.8;;;250.7;7.02381;9;90.5;;;30.235714;26.757857;22.771429;71.517857;;
82900;31/03/1962;0000;9;4;54.3;;;218.7;6.795699;11;155.6;;;29.948387;26.454194;22.793548;77.66129;;
82900;30/04/1962;0000;9;4;36.3;;;199.7;7.222222;18;128;;;28.98;25.538667;22.09;81.641667;;
82900;31/05/1962;0000;0;4;35.2;;;197.5;6.956989;18;286.1;;;28.512903;24.890968;21.458065;84.096774;;
82900;30/06/1962;0000;0;4;31.4;;;137.6;7.488889;23;562.6;;;27.28;24.215333;21.103333;85.333333;;
82900;31/07/1962;0000;0;4;33;;;162.7;7.451613;23;290.7;;;26.754839;23.398065;20.393548;85.193548;;
82900;31/08/1962;0000;0;6;44.5;;;183.7;7;21;143;;;26.967742;23.514194;20.048387;81.096774;;
82900;30/09/1962;0000;9;4;47.2;;;222.7;7.044444;16;164.5;;;27.593333;23.896667;20.206667;80.35;;
82900;31/10/1962;0000;9;4;65.4;;;236.1;6.053763;7;21.8;;;29.248387;25.134839;21.041935;75.524194;;
82900;30/11/1962;0000;0;4;56.3;;;233.9;6.388889;6;6.2;;;29.53;25.522;21.063333;74.45;;
82900;31/12/1962;0000;5;6;57.5;;;233.7;5.967742;13;105.1;;;29.858065;26.111613;22.058065;75.403226;;
82900;31/01/1963;0000;5;6;60.2;;;272.8;5.612903;7;23.7;;;30.409677;26.345806;21.732258;74.024194;;
82900;28/02/1963;0000;9;6;55.5;;;207.5;5.892857;11;157.3;;;30.717857;26.492857;22.646429;75.071429;;
82900;31/03/1963;0000;0;4;42.1;;;143.9;7.397849;26;402.7;;;28.790323;25.55871;22.309677;82.862903;;
82900;30/04/1963;0000;0;4;20.9;;;170.6;7.388889;22;333.5;;;28.866667;25.37;21.866667;84.758333;;
82900;31/05/1963;0000;0;4;35;;;178.7;6.967742;20;216.9;;;28.329032;24.885806;21.474194;82.967742;;
82900;30/06/1963;0000;0;6;30;;;165.5;7.3;18;274.9;;;27.076667;23.918;20.88;86.225;;
82900;31/07/1963;0000;0;4;29.3;;;157.2;7.354839;20;213.8;;;26.690323;23.311613;20.216129;83.354839;;
82900;31/08/1963;0000;0;6;33.6;;;174;7.086022;15;168.2;;;26.909677;23.448387;19.993548;84.040323;;
82900;30/09/1963;0000;9;6;46.5;;;217.9;6.8;16;64.2;;;27.883333;24.234;20.103333;79.166667;;
82900;31/10/1963;0000;9;6;48.1;;;204.8;5.817204;5;19.1;;;29.541935;25.353548;20.890323;74.822581;;
82900;30/11/1963;0000;9;6;26.7;;;240.7;5.6;14;71.9;;;30.773333;26.216667;21.833333;76.425;;
82900;31/12/1963;0000;0;6;25.4;;;215.2;6.354839;18;98.9;;;30.503226;25.909677;22.158065;81.25;;
82900;31/01/1964;0000;0;4;25.5;;;218.8;6.978495;19;141.8;;;30.196774;26.182581;22.341935;82.41129;;
82900;29/02/1964;0000;0;5;18.8;;;189.1;7.045977;23;298.3;;;30.148276;25.850345;22.741379;83.551724;;
82900;31/03/1964;0000;0;7;29.4;;;181.5;6.827957;25;625.6;;;29.951613;26;22.490323;83.862903;;
82900;30/04/1964;0000;0;6;33.5;;;165.2;7.9;25;452.1;;;29.27;26.018667;22.46;83.6;;
82900;31/05/1964;0000;0;5;32.2;;;171.9;7.408602;26;365.1;;;28.645161;25.386452;22.158065;85.282258;;
82900;30/06/1964;0000;9;4;40.8;;;157;8.077778;24;679.5;;;27.286667;24.236667;21.4;88.691667;;
82900;31/07/1964;0000;0;4;26.4;;;151.9;7.827957;22;413.1;;;27.012903;24.216129;20.722581;86.870968;;
82900;31/08/1964;0000;0;6;39.8;;;210.8;7.301075;22;263.8;;;27.241935;24.456774;20.190323;82.459677;;
82900;30/09/1964;0000;0;6;46.1;;;183.3;6.844444;24;223.6;;;27.063333;24.195333;19.906667;82.891667;;
82900;31/10/1964;0000;0;6;53.6;;;263.9;4.752688;6;13.7;;;28.590323;25.350323;19.245161;71.782258;;
82900;30/11/1964;0000;0;6;60;;;269.5;4.122222;6;27.4;;;29.846667;25.448667;18.923333;70.566667;;
82900;31/12/1964;0000;0;7;72.2;;;260.2;4.193548;8;23.1;;;30.383871;25.75871;19.516129;70.717742;;
82900;31/01/1965;0000;0;7;56.1;;;204;6.150538;20;259.9;;;29.258065;25.261935;20.258065;76.016129;;
