--------------------
BDMEP - INMET
--------------------
Estação           : FLORIANO - PI (OMM: 82678)
Latitude  (graus) : -6.76
Longitude (graus) : -43.01
Altitude  (metros): 123.27
Estação Operante
Inicio de operação: 21/01/1968
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82678;31/10/1970;0000;0;1.184783;8;210;;;271.7;4.706522;8;43.5;;995.233696;36.164516;29.422581;24.4;54.612903;;
82678;30/11/1970;0000;0;0.988889;5;102.3;;;174.5;6.511111;14;195.5;;995.53;32.086667;26.787333;22.95;73.95;;
82678;31/12/1970;0000;0;0.967742;7;102.1;;;255.6;5.688172;10;164.3;;995.332258;32.080645;26.678065;22.741935;75.782258;;
82678;28/02/1971;0000;0;0.771084;7;56.9;;;132.5;7.542169;16;183.2;;996.355422;29.928571;24.917143;21.785714;85.160714;;
82678;31/03/1971;0000;0;0.956989;5;82.5;;;188.3;7.193548;14;64.7;;996.483871;30.958065;25.532258;21.932258;81.645161;;
82678;30/04/1971;0000;0;1.022472;5;59;;;179.1;7.744444;18;132.9;;997.142222;30.656667;25.62;22.313333;83.425;;
82678;31/05/1971;0000;14;2.204301;9;137.3;;;253.8;6.451613;3;16.5;;998.139785;31.341935;25.604516;21.319355;73.83871;;
82678;30/06/1971;0000;14;2.311111;9;185.5;;;271.5;3.988889;3;13.9;;998.74;33.54;26.446667;20.676667;60.625;;
82678;31/07/1971;0000;14;2.849462;9;302;;;309.8;3.537634;1;0.2;;998.797849;34.267742;27.067097;21.203226;50.637097;;
82678;31/08/1971;0000;14;2.935484;12;382;;;323.4;3.107527;1;3.2;;998.550538;35.212903;28.383871;22.267742;41.322581;;
