--------------------
BDMEP - INMET
--------------------
Estação           : PAULISTANA - PI (OMM: 82882)
Latitude  (graus) : -8.13
Longitude (graus) : -41.13
Altitude  (metros): 374.22
Estação Operante
Inicio de operação: 22/09/1975
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82882;30/09/1975;0000;;;;;;;;;0;;;;;;;;
82882;31/10/1975;0000;14;8.1;522;;;277.8;3.322581;7;28.9;;;35.045161;28.75871;23.416129;42.725806;;
82882;30/11/1975;0000;9;7.6;491.5;;;257.6;4.611111;5;10.7;;;34.993333;28.892667;23.496667;42.933333;;
82882;31/12/1975;0000;9;6.8;474.7;;;259.8;3.376344;9;15.1;;;34.267742;28.185806;23.209677;48.467742;;
82882;31/01/1976;0000;9;6.5;454.7;;;260.4;2.709677;8;13.1;;;34.396774;28.205806;23.03871;45.975806;;
82882;29/02/1976;0000;9;6.6;137.2;;;192.1;4.471264;17;234.3;;;29.675862;24.489655;20.558621;77;;
82882;31/03/1976;0000;9;6.5;253.1;;;272.9;4.010753;4;17.5;;;31.596774;25.68;21.116129;65.782258;;
82882;30/04/1976;0000;9;8.1;362.6;;;264.3;2.3;2;2.7;;;32.76;26.214667;21.053333;56.083333;;
82882;31/05/1976;0000;9;7;466.1;;;299.5;1.408602;0;0;;;33.322581;27.194839;21.519355;45.919355;;
82882;30/06/1976;0000;9;8.3;483.6;;;311;1.255556;0;0;;;31.933333;25.989333;20.15;46.216667;;
82882;31/07/1976;0000;9;10;528.3;;;314.7;0.408602;0;0;;;31.564516;25.500645;19.445161;43.459677;;
82882;31/08/1976;0000;9;9.1;565.7;;;338.9;0.688172;0;0;;;32.741935;26.207097;19.6;39.33871;;
82882;30/09/1976;0000;9;8.3;522.8;;;274.3;1.933333;2;30.8;;;33.816667;27.68;21.453333;44.1;;
82882;31/10/1976;0000;9;8;348.1;;;278;3.569892;6;87.9;;;32.041935;26.645806;21.23871;55.516129;;
82882;30/11/1976;0000;9;7.1;270.7;;;238.3;4.077778;9;92.3;;967.078462;32.656667;26.668;21.16;58.966667;;
82882;31/12/1976;0000;9;7;335.8;;;275.3;2.376344;8;125.9;;965.948387;33.83871;27.211613;20.912903;52.362903;;
82882;31/01/1977;0000;14;10;191.3;;;142.6;7.311828;14;117.5;;967.201075;29.932258;24.883871;20.380645;72.733871;;
82882;28/02/1977;0000;14;6.6;145;;;195.9;3.97619;8;63.4;;968.090476;30.592857;25.023571;20.139286;71.928571;;
82882;31/03/1977;0000;14;7;198.3;;;208.2;4.193548;7;54.9;;967.249462;31.887097;25.702581;20.193548;68.83871;;
