--------------------
BDMEP - INMET
--------------------
Estação           : PIRIPIRI - PI (OMM: 82480)
Latitude  (graus) : -4.26
Longitude (graus) : -41.78
Altitude  (metros): 161.12
Estação Operante
Inicio de operação: 09/03/1976
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82480;31/03/1976;0000;9;4.3;;;;;6.308824;15;214.6;;989.932353;31.018182;25.266364;22.008696;86.204545;;
82480;30/04/1976;0000;9;6.6;77.3;;;222.8;5.133333;19;211.1;;991.213483;30.98;25.196;21.493333;83.583333;;
82480;31/05/1976;0000;18;10.8;103.4;;;269.6;4.322581;10;25.3;;992.016129;32.190323;25.808387;20.903226;78.064516;;
82480;30/06/1976;0000;14;6.1;148;;;257;4.5;2;11.6;;992.292222;32.493333;25.908667;19.93;67.766667;;
82480;30/09/1977;0000;9;6.8;228.5;;;284.4;3.651685;2;1.5;;991.731461;36.086667;27.835333;19.95;54.133333;;
82480;31/10/1977;0000;36;7.1;262.1;;;295.2;4.043011;4;18.4;;990.815054;36.787097;28.363871;20.73871;54.758065;;
82480;30/11/1977;0000;9;6.6;282.7;;;289.2;3.788889;2;0.5;;989.946667;36.676667;28.576;21.09;53.033333;;
82480;31/12/1977;0000;36;6.5;225.1;;;218.3;5.387097;6;128.4;;990.686022;34.635484;27.716129;22.290323;62.854839;;
82480;31/01/1978;0000;9;8.1;109.9;;;222.1;5.924731;11;131.9;;991.737634;32.580645;26.340645;22.170968;79.846774;;
82480;28/02/1978;0000;9;6.6;113.6;;;179;5.547619;9;197.4;;990.945238;32.192857;26.600714;22.296429;77.392857;;
82480;31/03/1978;0000;9;5.5;73.3;;;177.3;7.397849;17;413.9;;991.713978;31.170968;25.532903;22.090323;85.58871;;
82480;30/04/1978;0000;14;7.8;53.2;;;185.9;7.288889;22;329.5;;991.057778;31.27;25.588;22.39;88.316667;;
82480;31/05/1978;0000;14;5;71.5;;;234.2;6.075269;16;162.6;;991.510753;31.235484;25.469032;21.351613;87.072581;;
82480;30/06/1978;0000;18;5.1;109.9;;;237.1;4.611111;7;16;;993.718889;31.67;25.515333;20.25;75.833333;;
