--------------------
BDMEP - INMET
--------------------
Estação           : SAO JOAO DO PIAUI - PI (OMM: 82879)
Latitude  (graus) : -8.35
Longitude (graus) : -42.25
Altitude  (metros): 235.33
Estação Operante
Inicio de operação: 30/09/1975
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82879;31/10/1975;0000;0;7.5;365.8;;;264.7;5.130435;;30.1;;;35.7;28.7192;22.484;47.887097;;
82879;30/11/1975;0000;;;269.9;;;255;5.088889;;39.6;;;35.476667;;;53.391667;;
82879;31/12/1975;0000;0;5;243.7;;;240.7;6.129032;;125.1;;;34.090323;;;60.717742;;
82879;31/01/1976;0000;0;6.1;258.7;;;245.1;6.44086;;17.2;;;35.051613;;;58.959677;;
82879;29/02/1976;0000;0;4.5;100.1;;;168.8;6;;213.3;;;30.517241;;;82.439655;;
82879;31/03/1976;0000;0;5;132.2;;;238.4;6.301075;;85.1;;;32.945161;;;78.564516;;
82879;31/01/1977;0000;5;5.8;187.1;;;139.1;7.630435;15;281.7;;982.293478;31.593548;;;70.080645;;
82879;28/02/1977;0000;9;5;116.7;;;193.3;6.845238;8;45;;983.395238;31.185714;;;77.232143;;
82879;30/11/1977;0000;9;7.3;324.9;;;243.8;5.662921;5;91.2;;981.141573;36.466667;29.503333;24.006667;46.008333;;
82879;31/12/1977;0000;9;5;165.5;;;;6.494624;11;337.1;;982.333333;31.693548;26.156774;22.158065;71.483871;;
82879;31/01/1978;0000;9;6.1;144.5;;;242;5.075269;7;42.5;;983.710753;31.683871;25.493548;20.809677;73.048387;;
82879;28/02/1978;0000;9;6;113.8;;;152.3;6.392857;14;126.1;;982.928571;31.114286;25.6125;21.807143;77.6875;;
82879;31/03/1978;0000;14;5;97.3;;;156;7.172043;10;118.3;;983.669892;30.070968;;20.925806;;;
82879;30/04/1978;0000;14;5.3;117.9;;;216.3;6.055556;5;73.2;;982.852222;31.366667;;20.776667;;;
82879;31/05/1978;0000;14;5;140.5;;;202.4;6.021505;3;26.6;;983.592473;31.603226;;20.422581;;;
82879;30/06/1978;0000;14;6.5;222;;;245.1;4.088889;3;2.1;;986.24;32.16;;;;;
82879;31/07/1978;0000;14;6;300.6;;;262;4.333333;3;10;;984.710753;33.33871;26.546452;20.925806;50.241935;;
82879;31/08/1978;0000;14;7.5;414.4;;;320.3;2.086022;0;0;;985.936559;34.383871;27.225161;20.893548;37.443548;;
82879;30/09/1978;0000;9;8.1;433.5;;;308.5;2.7;0;0;;984.286667;35.483333;28.727333;22.836667;36.625;;
82879;31/10/1978;0000;9;12.4;400.2;;;255;5.344086;2;1.5;;982.202151;36.374194;29.78129;23.703226;38.379032;;
82879;30/11/1978;0000;9;8;324.1;;;227.7;5.422222;7;80.9;;981.78;35.466667;28.376;22.883333;49.85;;
82879;31/12/1978;0000;9;5.5;156.8;;;168.7;6.978495;;97.8;;982.427957;32.045161;26.301935;21.725806;69.830645;;
82879;31/01/1979;0000;;;;;;;;;39.8;;;;;;;;
82879;31/05/1979;0000;;5.5;;;;;;;3.6;;976.421951;;;;;;
82879;31/07/1979;0000;9;8;;;;261;2.413333;;0;;986.805333;33.723077;26.68087;20.926923;40.934783;;
82879;31/08/1979;0000;9;7.6;;;;;3.225806;;0;;983.464516;34.871429;28.029524;21.828571;37.357143;;
