--------------------
BDMEP - INMET
--------------------
Estação           : IRATI - PR (OMM: 83836)
Latitude  (graus) : -25.46
Longitude (graus) : -50.63
Altitude  (metros): 836.95
Estação Operante
Inicio de operação: 24/09/1966
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83836;30/09/1966;0000;;;;;;;;;;1.7;;;;;;;;
83836;31/10/1966;0000;5;3.389247;12;67.1;;;126.6;6.528736;18;312.1;;;21.583871;16.230323;11.506452;80.709677;;
83836;30/11/1966;0000;14;3.692308;9;68.4;;;188.1;6.415385;9;73.1;;;25.54;18.362;13.156667;73.15;;
83836;31/12/1966;0000;27;3.380435;9;63.7;;;151;7.564516;15;157.2;;;26.245161;20.124516;15.887097;80.467742;;
83836;31/01/1967;0000;9;3.722581;11;52.7;;;176.7;7.758065;20;175;;;25.296774;19.387097;15.154839;82.830645;;
83836;28/02/1967;0000;14;3.264286;9;33.9;;;102.3;8.464286;19;194.6;;;24.817857;19.585714;16.057143;87.232143;;
83836;31/03/1967;0000;23;3.236559;12;36.4;;;116.5;8.096774;17;139.7;;;24.709677;18.954839;15.012903;85.25;;
83836;30/04/1967;0000;9;2.155556;9;58.1;;;201;5.766667;7;56.8;;;24.566667;17.360667;12.49;76.983333;;
83836;31/05/1967;0000;18;2.354839;7;66.4;;;223.6;4.951613;3;17.8;;;23.758065;16.370323;10.848387;72.25;;
83836;30/06/1967;0000;9;2.624444;12;65.8;;;159.9;5.966667;9;180;;;19.496667;13.105333;8.233333;74.191667;;
83836;31/07/1967;0000;32;2.673913;12;63.5;;;167;6.016129;8;67;;;20.377419;13.56129;7.719355;73.927419;;
83836;31/08/1967;0000;9;3.473118;12;80.7;;;147.6;6.5;8;71.2;;;22.906452;16.197419;10.945161;71.040323;;
83836;30/09/1967;0000;5;3.788889;12;67.5;;;122.7;7.6;11;76.3;;;23.023333;16.160667;10.86;76.808333;;
83836;31/10/1967;0000;9;3.258065;12;66.7;;;140.1;7.721311;10;94.8;;;25.977419;19.151613;13.816129;76.306452;;
