--------------------
BDMEP - INMET
--------------------
Estação           : MARINGA - PR (OMM: 83767)
Latitude  (graus) : -23.4
Longitude (graus) : -51.91
Altitude  (metros): 542.00
Estação Operante
Inicio de operação: 01/12/1953
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83767;31/01/1961;0000;5;1.473118;4;122.7;;;;4.677419;14;240.3;;945.106452;30.322581;24.504516;19.754839;74.387097;;
83767;28/02/1961;0000;0;1.440476;5;120.2;;;;4.619048;14;156.6;;946.42619;31.389286;24.945714;20.160714;75.053571;;
83767;31/03/1961;0000;0;1.8;6;100.2;;;;5.541176;11;135.9;;949.218824;29.482759;23.763704;19.221429;75.157407;;
83767;30/04/1961;0000;0;1.988889;6;70.1;;;;5.488889;14;406.6;;949.794444;27.49;22.026;17.59;77.683333;;
83767;31/05/1961;0000;;;;;;;;;;63.2;;;;;;;;
83767;30/11/1963;0000;18;3.684211;9;103.3;;;;5.615385;10;176.1;;947.716667;29.877778;23.855385;19.448148;70.913462;;
83767;31/12/1963;0000;36;3.365591;14;127.8;;;239.6;4.741935;11;111.4;;948.431183;30.548387;23.813548;18.067742;67.532258;;
83767;31/01/1964;0000;5;2.793478;7;147.8;;;265.1;5.247312;7;71.9;;946.570652;31.751613;25.137419;18.187097;64.033333;;
83767;29/02/1964;0000;32;3.344828;7;79.2;;;171.1;7.241379;15;339.9;;946.095402;29.868966;23.536552;16.737931;79.327586;;
83767;31/03/1964;0000;36;3.311828;7;142.3;;;243.7;5.268817;11;130.5;;949.854839;31.019355;24.302581;17.406452;68.354839;;
83767;30/04/1964;0000;27;2.955056;7;101.2;;;219.2;5.449438;9;100.2;;950.67191;29.426667;22.74069;15.333333;71.077586;;
83767;31/05/1964;0000;14;2.303226;7;90;;;212;3.827957;5;74.4;;953.494624;25.270968;18.457419;10.774194;68.927419;;
83767;30/06/1964;0000;9;3.177011;9;75;;;133.8;5.62069;14;119;;952.253333;22.337931;16.326667;9.65;74.083333;;
83767;31/07/1964;0000;23;2.956044;7;94.2;;;159.7;4.736264;8;60.4;;953.943956;22.125806;15.21931;9.322581;69.603448;;
83767;31/08/1964;0000;5;3.507527;12;;;;191.3;3.139785;7;87.1;;954.447312;25.358065;18.845806;12.312903;68.387097;;
83767;30/09/1964;0000;5;2.288889;7;;;;;3.355556;5;21.4;;952.993333;27.626667;21.106667;15.153333;58.1;;
83767;31/10/1964;0000;18;2.010753;7;;;;;3.086022;8;130.4;;950.824731;27.625806;21.300645;14.925806;59.362903;;
83767;30/11/1964;0000;14;2.766667;9;;;;;4.255556;6;52.2;;948.444444;28.25;22.122667;16.31;58.558333;;
83767;31/12/1964;0000;5;2.806452;9;;;;;6.666667;15;155.4;;946.349462;28.280645;22.75871;17.858065;69.5;;
83767;31/01/1965;0000;5;1.568817;8;;;;;5.182796;17;271.3;;948.749462;29.312903;23.512903;18.03871;69.354839;;
83767;28/02/1965;0000;5;1.380952;8;;;;;5.821429;14;168.5;;948.00119;29.282143;23.215;18.567857;74.910714;;
83767;31/03/1965;0000;5;1.55914;8;;;;;3.445652;6;142.2;;950.662366;27.816129;21.572903;15.935484;65.290323;;
83767;30/04/1965;0000;23;2.355556;9;;;;;5.033333;12;221.1;;950.815556;27.676667;21.597333;16.65;67.025;;
83767;31/05/1965;0000;36;2.130682;7;;;;;4.977273;9;131;;953.602273;24.280645;18.7248;14.558065;67.038462;;
83767;30/06/1965;0000;32;2.25;7;;;;;4.213483;7;92.8;;956.623596;24.843333;19.075172;14.083333;69.741379;;
83767;31/07/1965;0000;36;3.179775;12;;;;;5.011111;6;78;;954.312222;24.041935;17.318571;12.429032;66.491071;;
83767;31/08/1965;0000;36;3.652174;14;;;;;4.526882;7;74.3;;952.984946;26.845161;19.749677;14.383871;60.725806;;
83767;30/09/1965;0000;5;3.822222;12;;;;;5.733333;6;33.4;;951.751111;29.01;22.034667;16.673333;61.891667;;
83767;31/10/1965;0000;18;3.88172;12;;;;;5.817204;11;254.6;;949.987097;28.280645;22.039355;16.719355;67.080645;;
83767;30/11/1965;0000;14;3.166667;7;;;;;6.244444;7;84.6;;950.013333;30.113333;23.664667;18.476667;62.208333;;
83767;31/12/1965;0000;36;2.763441;7;;;;;8.817204;20;253.4;;949.046237;28.709677;23.162581;19.390323;80.943548;;
83767;31/01/1966;0000;5;2.956989;7;;;;;7.301075;12;186.3;;948.941935;30.929032;24.510323;19.867742;73.056452;;
83767;28/02/1966;0000;36;2.892857;12;;;;;7.72619;10;151.5;;948.909524;31.467857;25.292143;20.982143;73.25;;
83767;31/03/1966;0000;36;3.043011;12;;;;;6.043011;11;203.4;;950.829032;29.925806;23.529032;18.912903;69.975806;;
83767;30/04/1966;0000;18;2.588889;7;;;;;4.888889;4;16;;952.576667;28.523333;22.033333;17.466667;67.041667;;
83767;31/05/1966;0000;0;2.494624;7;;;;;5.225806;11;140.4;;954.565591;25.409677;19.095484;14.819355;74.08871;;
83767;30/06/1966;0000;18;3.288889;12;;;;;3.744444;4;40.3;;953.608889;25.67;18.889333;14.096667;68.841667;;
83767;31/07/1966;0000;23;3.021505;12;;;;;4.215054;7;47;;955.784946;25.051613;18.234839;13.33871;68.443548;;
83767;31/08/1966;0000;18;3.569892;12;;;;;5.849462;6;45.3;;954.305376;25.8;18.372258;12.583871;61.91129;;
83767;30/09/1966;0000;5;2.911111;9;;;;;6.077778;9;84.4;;953.276667;27.32;20.207333;14.653333;57.175;;
83767;31/10/1966;0000;5;2.543478;7;;;;;6.333333;14;202;;949.856989;28.854839;21.993548;16.858065;68.887097;;
83767;30/11/1966;0000;18;2.477778;12;;;;;4.566667;6;54.4;;948.648889;30.456667;24.061333;18.313333;59.966667;;
83767;31/12/1966;0000;23;3.193548;9;;;;;5.731183;9;88;;945.793548;31.545161;25.372903;20.322581;64.629032;;
83767;31/01/1967;0000;5;2.397849;7;;;;;7.172043;19;241;;947.407527;29.551613;23.739355;19.564516;75.604839;;
83767;28/02/1967;0000;5;2.904762;7;;;;;7.047619;11;136;;947.309524;30.332143;24.48;20.128571;76.303571;;
83767;31/03/1967;0000;36;2.870968;7;;;;;5.376344;12;114.2;;950.101075;30.23871;23.967097;19.574194;75.016129;;
83767;30/04/1967;0000;5;2.511111;7;;;;;2.655556;1;1;;952.354444;30.41;22.998;17.093333;58.991667;;
83767;31/05/1967;0000;18;2.645161;12;;;;;2.892473;2;6;;953.47957;29.093548;22.080645;15.980645;49.822581;;
83767;30/06/1967;0000;32;2.844444;12;;;;;5.1;8;279.2;;955.002222;23.976667;17.646;12.453333;66.916667;;
83767;31/07/1967;0000;18;2.860215;7;;;;;4.333333;8;108;;955.675269;25.535484;18.970323;14.370968;63.443548;;
83767;31/08/1967;0000;5;3.333333;12;;;;;3.956989;2;8;;953.158065;29.448387;22.423226;17.309677;54.330645;;
83767;30/09/1967;0000;5;3.422222;12;;;;;4.433333;4;50;;951.657778;30.093333;22.636;16.826667;59.141667;;
83767;31/10/1967;0000;5;3.075269;12;;;;;6.666667;8;100;;950.487097;31.53871;24.392903;19.151613;61.879032;;
83767;30/11/1967;0000;5;2.788889;12;;;;;5.344444;11;101;;948.537778;30.82;23.890667;18.26;63.025;;
83767;31/12/1967;0000;5;2.935484;7;;;;;5.290323;7;85;;948.847312;30.145161;23.815484;18.116129;64.209677;;
83767;31/01/1968;0000;36;2.763441;7;;;;;7.290323;16;253;;949.517204;30.219355;23.919355;19.280645;72.895161;;
83767;29/02/1968;0000;14;2.856322;7;;;;;4.482759;6;46.2;;947.933333;31.296552;24.63931;18.889655;61.844828;;
83767;31/03/1968;0000;9;2.44086;7;;;;;5.311828;12;256;;952.190323;31.135484;24.156129;19.193548;71.024194;;
83767;30/04/1968;0000;14;2.581111;7;;;;;3.011111;5;115;;953.012222;27.41;19.666;13.396667;61.366667;;
83767;31/05/1968;0000;18;2.010753;7;;;;;3.010753;4;50.4;;953.958065;25.312903;17.391613;11.441935;63.064516;;
83767;30/06/1968;0000;32;2.4;7;;;;;4.144444;3;33;;956.431111;25.293333;18.196667;13.103333;67.95;;
83767;31/07/1968;0000;5;3;7;;;;;3.247312;2;13;;956.698925;25.380645;18.320645;13.183871;55.959677;;
83767;31/08/1968;0000;23;2.956989;7;;;;;3.892473;4;69.2;;954.849462;25.929032;18.669032;13.148387;56.717742;;
83767;30/09/1968;0000;23;3.033333;12;;;;;4.944444;5;23.4;;951.821111;28.936667;20.947333;14.89;49.316667;;
83767;30/11/1968;0000;5;2.685393;7;;;;;5.067416;8;169;;947.366292;33.41;25.850667;20.02;58.425;;
83767;31/12/1968;0000;5;3.011828;7;;;;;6.193548;8;153;;947.956989;31.745161;24.923871;19.951613;68.798387;;
83767;31/01/1969;0000;5;2.741935;7;;;;;5.978495;9;287.4;;947.470968;31.870968;25.082581;20.090323;70.508065;;
83767;28/02/1969;0000;32;2.22619;12;;;;;5.797619;12;235.4;;948.19881;32.578571;25.645714;20.871429;72.660714;;
83767;31/03/1969;0000;5;2.354839;7;;;;;3.903226;5;111;;950.403226;33.116129;25.280645;19.796774;64.943548;;
83767;30/04/1969;0000;32;2.392222;7;;;;;5.588889;7;86;;952.383333;28.92;21.466667;16.713333;70.175;;
83767;31/05/1969;0000;5;2.612903;7;;;;;4.311828;6;159;;953.772043;27.03871;19.80129;14.787097;67.870968;;
83767;30/06/1969;0000;36;3.022222;7;;;;;4.444444;5;145;;955.222222;24.593333;17.994667;13.66;69.383333;;
83767;31/07/1969;0000;5;2.784091;7;;;;;3.488636;4;33;;956.409091;26.42069;18.93931;14.010345;59.482759;;
83767;31/08/1969;0000;5;2.698925;7;;;;;3.419355;2;10;;953.294624;27.358065;19.862581;14.012903;56.862903;;
83767;30/09/1969;0000;5;3.133333;7;;;;;5.677778;7;94;;950.344444;29.993333;22.517333;17.13;57.783333;;
83767;31/10/1969;0000;32;2.451613;12;;;;;5.666667;12;264.6;;950.44086;28.009677;20.939355;15.496774;66.419355;;
83767;30/11/1969;0000;5;2.288889;5;;;;;6.677778;11;92;;948.088889;30.276667;23.71;18.78;70.216667;;
83767;31/12/1969;0000;23;2.311828;7;;;;;4.88172;7;112.3;;948.970968;30.441935;23.843226;18.032258;60.766129;;
83767;31/01/1970;0000;5;2.580645;7;;;;;5.290323;10;138.3;;947.872043;31.716129;25.118065;19.970968;67.298387;;
83767;28/02/1970;0000;5;2.571429;7;;;;;6.071429;;82.3;;949.375;30.553571;24.639286;20.457143;73.169643;;
83767;31/03/1970;0000;0;2.205376;7;;;;;5.698925;15;188.5;;950.705376;30.093548;24.109032;20.006452;73.709677;;
83767;30/04/1970;0000;18;1.878889;5;;;;;3.766667;5;81.1;;951.833333;30.07;23.289333;18.206667;64.958333;;
83767;31/05/1970;0000;5;2.113978;5;;;;;4.301075;5;124.2;;952.752688;28.116129;21.482581;16.829032;68.217742;;
83767;30/06/1970;0000;0;2.348889;7;;;;;4.611111;12;120;;953.261111;25.136667;19.124;14.96;73.366667;;
83767;31/07/1970;0000;5;2.452688;7;;;;;3.795699;6;84.6;;956.306452;24.132258;17.926452;13.316129;64.870968;;
83767;31/08/1970;0000;5;2.645161;7;;;;;2.903226;7;89.3;;954.23871;25.496774;19.029032;14.006452;59.629032;;
83767;30/09/1970;0000;23;1.678889;7;;;;;5.166667;10;162.4;;952.026667;26.62;19.347333;13.81;69.958333;;
83767;31/10/1970;0000;0;2.036264;7;;;;;4.945055;9;142.1;;949.182418;28.603333;21.368276;13.406452;68.612069;;
83767;30/11/1970;0000;5;2.52561;7;;;;;3.914634;8;42;;946.836585;28.535714;21.807143;15.717857;61.461538;;
83767;31/12/1970;0000;23;2.150538;7;93.1;;;227.9;5.182796;15;246.1;;946.213978;30.616129;24.106452;17.635484;72.370968;;
83767;31/01/1971;0000;0;1.903226;7;106.6;;;190.5;5.27957;14;206.9;;947.375269;30.541935;24.294839;19.067742;76.717742;;
83767;28/02/1971;0000;18;3.002381;11.8;97.6;;;195.3;5.916667;15;220.3;;948.044048;29.871429;24.357143;19.785714;76.160714;;
83767;31/03/1971;0000;18;2.647312;9.3;82.2;;;219.9;5.193548;15;188.1;;948.164516;29.2;23.470323;18.590323;79.080645;;
83767;30/04/1971;0000;14;2.31;8.8;103.1;;;190.9;3.811111;7;110.9;;949.581111;26.503333;20.318667;14.39;69.433333;;
83767;30/09/1975;0000;18;2.034091;9;189.1;;;160.2;3.909091;;75.9;;952.722472;26.76875;21.004;16.683333;77.784483;;
83767;31/10/1975;0000;5;1.23913;7;151.8;;;191.5;4.858696;;200.4;;950.465217;27.529032;21.121935;16.174194;79.675;;
83767;30/11/1975;0000;0;1.377778;9;136.9;;;192.3;5.144444;16;249.7;;948.502222;28.273333;22.061333;17.32;83.625;;
83767;31/12/1975;0000;14;1.408602;9;108.9;;;200.3;5.225806;16;281;;949.170968;29.741935;23.201935;18.516129;83.193548;;
83767;31/01/1976;0000;9;1.235955;7;95.2;;;;5.831461;;176;;949.18764;30.37931;23.928276;19.493333;85.448276;;
83767;29/02/1976;0000;0;0.894118;7;99;;;206.7;5.188235;;99.6;;948.934118;29.875862;23.166429;18.196429;83.259259;;
83767;31/03/1976;0000;0;1.215054;5;140.6;;;225.5;4.387097;;47.2;;950.17957;30.387097;23.100645;18.180645;78.806452;;
83767;30/04/1976;0000;0;1.022222;7;129.3;;;209.1;3.722222;;139.8;;953.03;27.143333;20.489333;15.856667;81.391667;;
83767;31/05/1976;0000;0;1.076087;5;91.1;;;176.1;5.537634;;139.3;;953.988043;24.1;18.348667;14.729032;85.566667;;
83767;30/06/1976;0000;0;1.022727;5;97.6;;;166.9;4.204545;;106.2;;955.170455;21.967857;16.119286;12.236667;80.205357;;
83767;31/07/1976;0000;0;1.516129;9;121.1;;;214.3;3.483871;;58.6;;956.689247;23.419355;17.041935;12.703226;73.064516;;
83767;31/08/1976;0000;0;1.44086;7;136.6;;;211.4;4.16129;;139.3;;954.548387;24.719355;18.066452;13.63871;72.175;;
83767;30/09/1976;0000;9;0.844444;5;101.5;;;108.8;5.5;;137.6;;953.057778;23.68;17.903333;13.863333;78.791667;;
83767;31/10/1976;0000;0;1.333333;5;152.2;;;228.6;4.344086;;204.9;;951.133333;28.080645;21.274194;15.741935;73.104839;;
83767;30/11/1976;0000;14;1.466667;7;135.2;;;230.2;4.877778;;78.3;;949.057778;29.663333;23.023333;17.613333;70.266667;;
83767;31/12/1976;0000;5;1.139785;7;116.6;;;205.8;5.956989;;212;;948.217204;29.532258;23.456129;18.767742;78.290323;;
83767;31/01/1977;0000;0;0.860215;5;89.6;;;161.1;7.268817;18;270.4;;948.070968;29.680645;23.876774;19.806452;82.709677;;
83767;28/02/1977;0000;0;1.047619;5;138.8;;;230.7;4.464286;10;56.9;;951.925;33.1;25.899286;20.896429;71.535714;;
83767;31/03/1977;0000;0;1.043011;5;137.6;;;220.6;5.193548;14;268.8;;950.108602;31.919355;24.684516;19.703226;76.806452;;
83767;30/04/1977;0000;18;1.355556;7;122.2;;;219.2;4.2;7;103.9;;952.718889;27.906667;20.901333;15.986667;75.2;;
83767;31/05/1977;0000;0;1.075269;7;138.1;;;231.6;3.311828;6;15.5;;954.525806;26.735484;19.705161;14.564516;74.5;;
83767;30/06/1977;0000;0;1.266667;7;109.5;;;;3.655556;9;130.6;;955.648889;24.646667;17.89;13.466667;83.208333;;
83767;31/07/1977;0000;9;2.227273;9;195.9;;;;2.397727;3;32;;953.604545;27.8;20.475;15.39;69.482143;;
83767;31/08/1977;0000;0;2.193548;12;182.1;;;189.9;3.645161;7;28.6;;953.227957;27.46129;19.649032;14.16129;69.935484;;
83767;30/09/1977;0000;0;1.337079;7;168.1;;;164.9;4.662921;9;77.8;;953.389888;28.05;21.511333;16.5;71.017241;;
83767;31/01/1978;0000;0;1.347826;5;137.5;;;228.8;5.26087;9;73.3;;949.952174;31.467742;25.265806;20.203226;77.258065;;
83767;28/02/1978;0000;0;1.464286;7;174.2;;;245.2;3.702381;6;53;;949.434524;33.882143;26.015;20.228571;70.910714;;
83767;31/12/1978;0000;9;1.093023;3;141.2;;;229.8;5.604651;;58.6;;949.311628;31.043478;24.156522;19.027586;70.87931;;
83767;31/01/1979;0000;23;0.955556;7;146.9;;;251.7;5.655556;;118.9;;943.317778;;;18.273333;64.683333;;
83767;28/02/1979;0000;14;1.32;7;133.7;;;;5.04;;195.2;;942.466667;;;19.98;70.73913;;
83767;31/03/1979;0000;18;1.395062;5;164.4;;;211.5;4.740741;;55.4;;944.962963;30.807407;23.701481;18.574074;71.583333;;
83767;30/04/1979;0000;5;1.37037;7;140.3;;;178.6;5.604938;;89.7;;946.219753;27.3;20.736296;15.940741;76.105769;;
