--------------------
BDMEP - INMET
--------------------
Estação           : CAMPOS - RJ (OMM: 83698)
Latitude  (graus) : -21.74
Longitude (graus) : -41.33
Altitude  (metros): 11.20
Estação Operante
Inicio de operação: 17/06/1911
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83698;31/01/1961;0000;5;2.817391;10.6;51.7;;;163.5;8.402174;17;244.9;;;30.845161;25.727742;22.348387;84.274194;;
83698;28/02/1961;0000;5;2.55;7.8;57.8;;;211.8;6.72619;6;117.4;;;31.964286;26.402143;22.314286;79.732143;;
83698;31/03/1961;0000;0;2.503226;8.9;80.8;;;242;6.354839;6;18.7;;;31.825806;26.187097;22.112903;76.201613;;
83698;30/04/1961;0000;0;1.93;8.9;58.3;;;230.2;5.055556;8;78;;;30.96;25.022667;20.64;79.991667;;
83698;31/05/1961;0000;0;1.15914;7.3;20.6;;;217.1;5.408602;9;42.7;;;28.906452;22.883871;18.693548;81.58871;;
83698;30/06/1961;0000;0;1.424444;7.3;17.2;;;181.5;5.477778;14;74;;;26.913333;21.533333;17.656667;84.4;;
83698;31/07/1961;0000;0;1.843011;6.5;49.9;;;223.1;4.709677;10;82.5;;;26.887097;20.74129;16.070968;82.306452;;
83698;31/08/1961;0000;0;2.558065;10.6;66.4;;;274.6;3.236559;2;9.5;;1018.1;29.070968;21.993548;16.93871;78.104839;;
83698;30/09/1961;0000;5;3.655556;11.6;78.7;;;72.7;5.888889;3;4;;1013.64;30.593333;24.026667;19.473333;76.075;;
83698;31/10/1961;0000;5;4.68172;13;99.9;;;229.4;6.666667;5;19.3;;;29.990323;24.551613;20.177419;73.491935;;
83698;30/11/1961;0000;5;3.218889;10.6;93.7;;;214.1;7.244444;8;65.9;;;30.916667;24.970667;20.46;73.583333;;
83698;31/12/1961;0000;5;3.72043;13;90.7;;;220.8;8.064516;10;126;;;30.635484;25.375484;21.212903;76.935484;;
83698;31/01/1962;0000;0;1.605376;10.6;60.8;;;203;7.870968;14;251.9;;;32.019355;26.201935;22.354839;83.258065;;
83698;28/02/1962;0000;0;1.714286;9.6;48;;;123.9;9.27381;15;147.2;;;31.353571;25.927143;22.410714;82.839286;;
83698;31/03/1962;0000;5;2.393548;7.8;76.9;;;255.3;6.548387;6;42.1;;;31.76129;26.299355;21.974194;78.604839;;
83698;30/04/1962;0000;0;1.443333;7.3;66.9;;;234.3;6.455556;4;77.4;;;30.4;24.303333;19.856667;77.725;;
83698;31/05/1962;0000;0;1.097849;5.8;53.6;;;191.1;6.215054;9;98.3;;;27.445161;21.888387;17.874194;80.08871;;
83698;30/06/1962;0000;0;1.017778;5.2;51;;;168.7;5.988889;5;6.9;;1019.41;24.993333;19.348667;14.98;78.891667;;
83698;31/07/1962;0000;0;1.851613;8.3;55.2;;;170.4;6.107527;7;34.8;;;25.912903;20.050323;15.812903;80.41129;;
83698;31/08/1962;0000;0;2.267742;8.9;74.5;;;226.5;5.505376;1;2.1;;;28.145161;21.433548;16.658065;75.935484;;
83698;30/09/1962;0000;5;2.528889;8.9;69.1;;;160.8;6.9;6;52.7;;1016.69;27.68;22.27;17.873333;76.941667;;
83698;31/10/1962;0000;0;1.711828;6.8;57.8;;;112.3;8.741935;17;131.8;;;26.825806;22.317419;18.880645;80.725806;;
83698;30/11/1962;0000;0;2.352222;7.3;62.1;;;208.5;6.311111;9;128.7;;;29.583333;24.2;20.156667;80.258333;;
83698;31/12/1962;0000;0;1.648387;7.3;49.7;;;166.8;8.494624;16;242.9;;;28.832258;25.130323;22.409677;82.741935;;
