--------------------
BDMEP - INMET
--------------------
Estação           : CORDEIRO - RJ (OMM: 83718)
Latitude  (graus) : -22.02
Longitude (graus) : -42.36
Altitude  (metros): 505.92
Estação Operante
Inicio de operação: 16/07/1971
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83718;31/08/1971;0000;0;0.608696;9;59.5;;;197.7;3.521739;8;27.9;;964.791304;24.819355;17.705161;13.287097;78.959677;;
83718;30/09/1971;0000;0;0.777778;14;58.4;;;149;5.288889;11;121.5;;961.751111;25.35;19.11;14.76;76.775;;
83718;31/10/1971;0000;0;0.104301;0.6;54.4;;;127;6.096774;16;118;;962.078495;24.993548;19.316774;15.309677;79.822581;;
83718;30/11/1971;0000;0;1.388889;8;48.6;;;113.3;5.833333;20;352;;958.955556;25.803333;20.735333;17.02;82.725;;
83718;31/12/1971;0000;0;0.688172;8;58.4;;;148;5.892473;12;281.9;;957.131183;28.754839;22.910323;18.648387;79.395161;;
83718;31/01/1972;0000;0;1.139785;10;86.2;;;278.5;4.602151;11;154.6;;957.983871;31.580645;24.342581;19.022581;74.637097;;
83718;29/02/1972;0000;0;0.62069;8;56.4;;;193.7;4.908046;14;239.2;;958.31954;29.858621;23.373793;19.037931;81.284483;;
83718;31/03/1972;0000;0;0.311828;6;50.8;;;227.7;4.774194;13;173.2;;958.384946;30.425806;23.701935;19.280645;82.66129;;
83718;30/04/1972;0000;0;0.333333;7;44.7;;;173.6;4.566667;13;91.2;;960.635556;26.276667;19.836;15.443333;83.291667;;
83718;31/05/1972;0000;0;0.172043;6;42.7;;;212.9;3.419355;5;28;;961.991398;25.822581;18.127097;13.225806;83.306452;;
83718;30/06/1972;0000;0;0.266667;6;44.1;;;242;2.077778;0;0;;962.648889;25.873333;16.965333;11.796667;83.85;;
83718;31/07/1972;0000;0;0.150538;6;38.6;;;159.4;4.204301;8;74.8;;963.476344;23.422581;16.873548;12.764516;85.225806;;
83718;31/08/1972;0000;0;0.483871;8;52.2;;;182.2;4.537634;9;28.6;;961.516129;25.016129;18.070968;13.496774;83.177419;;
83718;30/09/1972;0000;0;0.522222;8;49.6;;;120.4;4.944444;9;42.3;;963.35;24.703333;19.196;15.29;80.908333;;
83718;31/10/1972;0000;0;0.655914;14;58.6;;;131.7;5.010753;15;129.9;;959.92043;26.751613;20.985806;16.609677;79.58871;;
83718;30/11/1972;0000;0;0.511111;8;48.7;;;113.7;5.566667;24;319;;957.181111;27.76;22.432667;19.046667;83.483333;;
83718;31/12/1972;0000;0;0.344086;6;60.8;;;182.9;7.903226;20;244;;957.809677;28.364516;22.793548;18.819355;81.935484;;
83718;31/01/1973;0000;0;0.193548;4;69.9;;;221.6;6.935484;14;168.3;;958.624731;30.858065;24.853548;20.483871;79.709677;;
83718;28/02/1973;0000;0;0.333333;8;63.1;;;245.8;5.297619;8;135.5;;958.561905;31.596429;25.097143;20.253571;79.142857;;
83718;31/03/1973;0000;0;0.193548;4;50;;;150.6;5.11828;16;104.3;;957.741935;28.448387;22.869032;19.080645;84.16129;;
83718;30/04/1973;0000;0;0.4;6;48.9;;;203.8;4.844444;6;47.6;;960.135556;29.196667;22.842667;18.813333;84.116667;;
83718;31/05/1973;0000;0;0.215054;8;41.2;;;189.7;4.709677;7;33.2;;961.866667;25.093548;18.12;13.841935;86.193548;;
