--------------------
BDMEP - INMET
--------------------
Estação           : AVELAR  P DO ALFERES  - RJ (OMM: 83049)
Latitude  (graus) : -22.35
Longitude (graus) : -43.41
Altitude  (metros): 507.00
Estação Operante
Inicio de operação: 01/04/1971
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83049;31/01/1985;0000;;;;61.8;;;;;;;;;28.087097;;18.93871;;;
83049;28/02/1985;0000;;;;60.5;;;;;;;;;31.082143;;18.946429;;;
83049;31/03/1985;0000;;;;61.4;;;;;;;;;29.76129;;19.396774;;;
83049;30/04/1985;0000;;;;77.4;;;;;;;;;28.79;;16.11;;;
83049;31/05/1985;0000;;;;45.2;;;;;;;;;25.425806;;12.190323;;;
83049;30/06/1985;0000;;;;76;;;;;;;;;24.673333;;7.363333;;;
83049;31/07/1985;0000;;;;85.4;;;;;;;;;24.267742;;7.564516;;;
83049;31/08/1985;0000;;;;106.6;;;;;;;;;26.570968;;10.022581;;;
83049;30/09/1985;0000;;;;87.2;;;;;;;;;25.46;;12.846667;;;
83049;31/10/1985;0000;;;;112;;;;;;;;;28.074194;;15.612903;;;
83049;30/11/1985;0000;;;;92.4;;;;;;;;;28.573333;;16.873333;;;
83049;31/12/1985;0000;;;;94.5;;;;;;;;;28.23871;;17.2;;;
83049;31/01/1986;0000;;;;103.2;;;288.6;;;;;;28.693548;;22.003226;;;
83049;30/04/1986;0000;;;;136.1;;;222.3;;;;;;28.673333;;21.576667;;;
83049;30/06/1986;0000;;;;60.7;;;218.9;;1;2.4;;;25.341379;;9.165517;;;
83049;31/07/1986;0000;;;;69.7;;;193.6;;;;;;24.464516;;9.283871;;;
83049;31/08/1986;0000;;;;69.3;;;186.5;;;;;;24.73871;;11.987097;;;
83049;30/09/1986;0000;;;;91.7;;;172.2;;;;;;24.486667;;12.313333;;;
83049;31/10/1986;0000;;;;123.7;;;207;;;;;;27.274194;;14.396774;;;
83049;30/11/1986;0000;;;;144.8;;;208.4;;;;;;29.61;;16.693333;;;
83049;31/12/1986;0000;;;;94.2;;;114.5;;;;;;28.667742;;19.496774;;;
83049;31/01/1987;0000;;;;84;;;187;;;;;;30.341935;;19.809677;;;
83049;28/02/1987;0000;;;;80;;;186.1;;;;;;29.796429;;18.942857;;;
83049;31/03/1987;0000;;;;78.6;;;197.7;;;;;;28.993548;;17.790323;;;
83049;30/04/1987;0000;;;;69.8;;;192.4;;;;;;27.84;;17.59;;;
83049;31/05/1987;0000;;;;51.1;;;142.2;;;;;;24.554839;;15.235484;;;
83049;30/06/1987;0000;;;;51.4;;;156.4;;;;;;23.423333;;12.163333;;;
83049;31/07/1987;0000;;;;74.4;;;229.4;;;;;;24.745161;;10.558065;;;
83049;31/08/1987;0000;;;;96.6;;;227.1;;;;;;25.174194;;9.770968;;;
83049;30/09/1987;0000;;;;62;;;96.1;;;;;;22.756667;;14.356667;;;
83049;31/10/1987;0000;;;;95.2;;;124;;;;;;27;;16.203226;;;
83049;30/11/1987;0000;;;;96.6;;;178.6;;;;;;27.84;;17.4;;;
83049;31/12/1987;0000;;;;89.2;;;158.1;;;;;;27.951613;;18.529032;;;
83049;31/01/1988;0000;;;;90.3;;;235.1;;;;;;30.222581;;19.270968;;;
83049;29/02/1988;0000;;;;56.4;;;135.4;;;;;;28.106897;;19.606897;;;
83049;31/03/1988;0000;;;;85.6;;;236.8;;;;;;27.977419;;17.719355;;;
83049;30/04/1988;0000;;;;67.1;;;144;;;;;;26.336667;;18.58;;;
83049;31/05/1988;0000;;;;56.3;;;166.3;;;;;;24.722581;;16.7;;;
83049;30/06/1988;0000;;;;58.9;;;186.6;;;;;;22.053333;;11.083333;;;
83049;31/07/1988;0000;;;;74.7;;;227.7;;;;;;22.316129;;8.76129;;;
83049;31/08/1988;0000;;;;111.1;;;237.3;;;;;;23.651613;;9.403226;;;
83049;30/09/1988;0000;;;;127.2;;;169.6;;;;;;27.25;;14.903333;;;
83049;31/10/1988;0000;;;;88.1;;;121;;;;;;27.43871;;18.067742;;;
