--------------------
BDMEP - INMET
--------------------
Estação           : APODI - RN (OMM: 82590)
Latitude  (graus) : -5.61
Longitude (graus) : -37.81
Altitude  (metros): 150.00
Estação Operante
Inicio de operação: 18/12/1962
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82590;31/12/1962;0000;;;;;;;;;;0;;;;;;;;
82590;31/01/1963;0000;0;3.107527;9;193;;;;2.612903;6;82.9;;;34.848387;25.804516;24.082353;73.379032;;
82590;28/02/1963;0000;0;1.988095;7;104.1;;;;3.345238;12;185;;;33.821429;23.475;;79.892857;;
82590;31/03/1963;0000;0;2.354839;9;102.1;;;225;8.247312;21;358.7;;;31.667742;21.904516;;82.201613;;
82590;30/04/1963;0000;0;2.355556;9;97.4;;;223.6;8.077778;15;200.4;;;31.743333;;;80.6;;
82590;31/05/1963;0000;23;4.053763;9;160.9;;;241.4;6.956989;4;10.3;;;32.003226;24.910323;22.805;69.822581;;
82590;30/06/1963;0000;14;5.055556;9;198;;;219.7;7.066667;2;7.8;;;32.716667;;;62.816667;;
82590;31/07/1963;0000;14;5.683871;12;249;;;256.8;5.397849;1;5;;;32.874194;;;57.104839;;
82590;31/08/1963;0000;14;5.924731;12;281;;;306;4.182796;1;4;;;33.841935;;;59.298387;;
82590;30/09/1963;0000;14;5.522222;12;298.2;;;279.2;3.633333;0;0;;;35.043333;25.345333;;60.258333;;
82590;31/10/1963;0000;14;5.365591;12;313.1;;;291.3;3.956989;1;1.7;;;35.86129;28.160645;22.564516;60.741935;;
82590;30/11/1963;0000;14;6.035556;9;292.4;;;250.1;6.366667;1;7.4;;;35.786667;25.41;;66.216667;;
82590;31/12/1963;0000;14;4.421505;12;235.9;;;198.8;7.806452;5;32.1;;;34.445161;24.343226;;72.854839;;
82590;31/01/1964;0000;0;2.021505;8;150.2;;;;8.645161;14;100.5;;;33.172414;27.216552;23.483333;77.782258;;
82590;29/02/1964;0000;0;1.908046;12;100.6;;;164.1;8.37931;14;143.8;;;31.910345;24.242069;;80;;
82590;31/03/1964;0000;0;2.677419;12;96.4;;;201.6;8.967742;15;230.9;;;32.280645;26.790323;23.496774;81;;
82590;30/04/1964;0000;0;2.477778;9;90.7;;;182.3;8.833333;17;200.5;;;31.25;26.382069;23.1;82.698276;;
82590;31/05/1964;0000;0;2.355556;12;71.3;;;177;8.155556;9;188.4;;;30.97;26.130667;22.61;78.933333;;
82590;30/06/1964;0000;14;3.188889;12;99.1;;;;8.266667;6;49.3;;;30.356667;25.312;20.963333;76.55;;
82590;31/07/1964;0000;0;3.516129;12;116.2;;;;7.290323;4;74.9;;;30.477419;24.80129;20.096667;76.548387;;
82590;31/08/1964;0000;14;4.924731;12;181.4;;;258.8;5.709677;1;14;;;32.380645;25.8;20.009677;70.137097;;
82590;30/09/1964;0000;14;3.744444;12;193.7;;;257;5.388889;4;27.1;;;33.47;26.282667;20.826667;66.525;;
82590;31/10/1964;0000;5;3.107527;12;237.8;;;300.6;3.645161;0;0;;;35.051613;26.780645;20.632258;61.225806;;
82590;30/11/1964;0000;5;3.311111;9;231.6;;;286.8;5.5;0;0;;;35.486667;27.222667;20.82;61.025;;
82590;31/12/1964;0000;5;3.129032;9;253.7;;;286.8;5.236559;0;0;;;35.712903;27.65871;21.590323;62.145161;;
82590;31/01/1965;0000;0;2.430108;12;187;;;217.9;7.075269;5;57.9;;;34.170968;27.223871;22.025806;63.594828;;
82590;28/02/1965;0000;5;3.5;12;54.7;;;267.1;5.833333;2;4.7;;;34.628571;27.541429;22.028571;65.982143;;
82590;31/03/1965;0000;0;2.827957;12;46.4;;;220.8;7.827957;12;221.6;;;33.351613;26.917419;22.264516;74.258065;;
82590;30/04/1965;0000;0;1.233333;8;62.5;;;173;9.3;21;336;;;30.546667;25.526667;22.17;85.683333;;
82590;31/05/1965;0000;0;2.290323;9;92.6;;;214.6;7.27957;16;165.7;;;30.703226;25.568387;21.843333;80.112069;;
82590;30/06/1965;0000;0;2.4;12;87.5;;;192;7.766667;9;131.2;;;29.85;25.160667;21.533333;79.689655;;
82590;31/07/1965;0000;14;3.55914;12;89.5;;;;5.204301;3;24.8;;;31.316129;25.189032;20.554839;73.830645;;
82590;31/08/1965;0000;14;4.967742;12;163.7;;;;4.860215;1;2.4;;;33.219355;25.390323;19.529032;72.516129;;
82590;30/09/1965;0000;0;3.066667;9;208.2;;;281.6;3.933333;1;0.6;;;34.433333;26.691724;21.416667;64.724138;;
82590;31/10/1965;0000;5;2.516129;9;249;;;275.8;5.16129;3;2.2;;;35.454839;27.475484;21.951613;67.427419;;
82590;30/11/1965;0000;5;3.233333;9;275.2;;;314.8;5.733333;1;1.6;;;35.903333;28.039333;22.32;59.958333;;
82590;31/12/1965;0000;0;2.483871;12;251.9;;;264.5;6.354839;3;22.8;;;35.26129;27.903226;22.819355;61.25;;
82590;31/01/1966;0000;0;2.16129;9;232.9;;;213.3;7.215054;2;41.2;;;35.109677;28.118065;23.632258;65.919355;;
82590;28/02/1966;0000;0;0.547619;8;115.8;;;186.9;8.119048;9;187.7;;;32.578571;27.011429;23.435714;75.741071;;
82590;31/03/1966;0000;0;1.301075;9;124.5;;;265.5;8.075269;11;73.8;;;33.745161;27.447097;23.358065;71.766129;;
82590;30/04/1966;0000;0;0.866667;8;120.2;;;249.5;8.455556;6;117.2;;;33.156667;27.401379;23.64;74.905172;;
82590;31/05/1966;0000;0;1.387097;9;139.5;;;234.8;7.903226;7;98.4;;;34.087097;27.690968;23.574194;72.95;;
82590;30/06/1966;0000;0;2;9;129.5;;;232.2;7.044444;5;49.6;;;32.551724;26.678621;22.346667;71.163793;;
82590;31/07/1966;0000;0;2.924731;12;172.8;;;210;7.494624;5;34.1;;;33.329032;26.856;22.23871;71.033333;;
82590;31/08/1966;0000;14;3.430108;12;245.3;;;293.1;3.032258;1;1.3;;;35.243333;27.534;21.864516;64.908333;;
82590;30/09/1966;0000;0;3.366667;9;251.6;;;264.2;4.466667;0;0;;;36.230769;27.903077;22.12;57.36;;
82590;31/10/1966;0000;0;2.677419;9;252.8;;;314.7;3.526882;0;0;;;37.541935;28.344;22.519355;57.908333;;
82590;30/11/1966;0000;0;2.688889;12;275.8;;;256.7;5.977778;2;18.1;;;37.275;28.632857;23.206897;62.3125;;
82590;31/12/1966;0000;0;2.075269;12;305.9;;;269.6;7.397849;0;0;;;36.848387;29.010968;23.825806;62.782258;;
82590;31/01/1967;0000;0;2.11828;12;275.7;;;292.9;6.655914;2;7.7;;;38.11;29.346667;24.219355;65.306452;;
82590;28/02/1967;0000;0;0.27381;5;123.3;;;199.5;9.130952;16;206.6;;;34.460714;27.413571;23.917857;75.678571;;
82590;31/03/1967;0000;0;0.150538;5;90.2;;;214.5;9.709677;22;360;;;32.016129;26.38129;23.267742;81.258065;;
82590;30/04/1967;0000;0;0.233333;3;77.6;;;198.8;8.533333;21;317.6;;;31.52;26.177333;23.276667;83.7;;
82590;31/05/1967;0000;0;0.419355;5;96.2;;;224.1;6.612903;10;93.8;;;32.458065;26.522581;23.080645;79.120968;;
82590;30/06/1967;0000;0;0.466667;3;124.4;;;190.4;6.811111;11;37.7;;;31.196667;25.767333;22.14;74.158333;;
82590;31/07/1967;0000;0;0.645161;3;156;;;251.4;6.021505;8;44.3;;;31.406452;25.496774;21.33871;69.193548;;
82590;31/08/1967;0000;0;1.419355;5;196.9;;;287.3;4.172043;0;0;;;33.648387;26.505161;21.219355;65.330645;;
82590;30/09/1967;0000;14;3.711111;8;217.2;;;301.2;3.055556;0;0;;;36.286667;27.198667;21.276667;62.333333;;
82590;31/10/1967;0000;0;1.623656;5;264.8;;;301.2;4.365591;0;0;;;35.680645;27.749677;22.129032;57.895161;;
82590;30/11/1967;0000;0;1.188889;5;243.9;;;274.3;5.144444;0;0;;;34.996667;27.167333;21.993333;60.391667;;
82590;31/12/1967;0000;0;1.354839;5;225.7;;;242.4;5.311828;3;84.7;;;34.458065;27.254839;22.403226;61.540323;;
82590;31/01/1968;0000;0;0.655914;3;188.2;;;281.4;6.387097;6;61.5;;;34.470968;27.577419;23.167742;67.137097;;
82590;29/02/1968;0000;0;0.689655;3;174.7;;;235;6.724138;6;54.2;;;34.6;27.975172;23.489655;66.830357;;
82590;31/03/1968;0000;0;0.096774;3;84;;;207.1;9.096774;20;195.4;;;31.680645;26.18129;22.919355;80.362903;;
82590;30/04/1968;0000;0;0.366667;3;95.2;;;229.6;7.955556;12;84.2;;;31.706667;26.480667;23.18;79.233333;;
82590;31/05/1968;0000;0;1.032258;5;84.7;;;202.5;8.290323;12;130.5;;;30.577419;25.587742;22.87931;79.895161;;
82590;30/06/1968;0000;;;9;;;;;;3;31.4;;;30.578947;25.468421;21.252632;69.671053;;
82590;31/07/1968;0000;;;9;;;;;;;0;;;32.658824;26.389412;21.441176;62.632353;;
82590;31/08/1968;0000;14;1.960215;9;217.9;;;296.5;3.268817;2;1.2;;;33.851613;27.06;21.722581;60.016129;;
82590;30/09/1968;0000;14;1.744444;9;252.8;;;286.6;3.422222;0;0;;;35.086667;27.833333;22.313333;56.9;;
82590;31/10/1968;0000;0;1.258065;5;270.5;;;322.3;3.612903;1;3.4;;;36.090323;28.252903;22.548387;58.258065;;
82590;30/11/1968;0000;0;1.044444;5;278.8;;;269.1;5.188889;0;0;;;36.2;28.688667;23.323333;57.916667;;
82590;31/12/1968;0000;0;1.290323;5;234.5;;;249.2;6.849462;4;46.7;;;35.486667;28.072667;23.303333;63.362903;;
82590;31/01/1969;0000;0;1.763441;7;180.9;;;250.8;7.150538;11;99.7;;;34.967742;28.174194;23.474194;67.403226;;
82590;28/02/1969;0000;0;1.952381;7;133.9;;;246;6.345238;5;18;;;35.135714;28.631429;24.289286;70.160714;;
82590;31/03/1969;0000;0;0.763441;5;97.7;;;231.8;7.322581;15;145.9;;;33.848387;27.932903;24.470968;77.846774;;
82590;30/04/1969;0000;0;1.155556;5;112.6;;;239.7;6.777778;14;48.6;;;33.323333;27.972667;24.31;76.033333;;
82590;31/05/1969;0000;0;1.990323;7;118.7;;;254.5;7.333333;17;121.4;;;32.693548;27.409032;23.777419;75.346774;;
82590;30/06/1969;0000;0;1.488889;9;127;;;225;6.4;11;92.7;;;32.362069;26.695172;22.796667;73.6;;
82590;31/07/1969;0000;14;1.978495;7;130.5;;;258.1;5.365591;11;50.2;;;31.84;26.25;22.341935;71.370968;;
82590;31/08/1969;0000;14;2.993548;12;201;;;275.6;3.817204;3;7.4;;;33.677419;26.926452;21.73871;61.258065;;
82590;30/09/1969;0000;14;3.311111;9;242.2;;;292;2.822222;0;0;;;35.343333;27.87;22.45;57.483333;;
82590;31/10/1969;0000;5;3.247312;7;267.9;;;310.9;2.989247;1;2;;;36.303226;28.129032;23.016129;59.66129;;
82590;30/11/1969;0000;5;3.7;9;275.3;;;295.3;4.388889;0;0;;;36.476667;28.534667;23.253333;59.141667;;
82590;31/12/1969;0000;5;4.064516;9;282.3;;;275.1;5.053763;0;0;;;36.216129;28.703871;23.664516;61.346774;;
82590;31/01/1970;0000;0;1.666667;7;228.9;;;263.3;6.215054;6;20.1;;;35.219355;28.410968;23.870968;68.177419;;
82590;28/02/1970;0000;0;2.404762;9;216.9;;;264.1;5.714286;3;42.5;;;35.692857;28.825714;24.117857;64.839286;;
82590;31/03/1970;0000;0;1.258065;7;112.7;;;245.9;6.408602;19;273.2;;;33.087097;27.163226;23.551613;75.951613;;
82590;30/04/1970;0000;0;1.044444;7;132;;;248.7;6.811111;12;101.4;;;33.543333;27.567333;23.66;73.3;;
82590;31/05/1970;0000;14;1.774194;7;154.2;;;307.9;4.623656;6;7.5;;;33.825806;27.744516;22.96129;67.209677;;
82590;30/06/1970;0000;0;2.155556;9;154.8;;;247.7;4.844444;5;34.3;;;33.776667;28.008;22.93;62.033333;;
82590;31/07/1970;0000;14;4.612903;9;177.7;;;274;4.333333;3;11.1;;;33.63871;27.854839;22.632258;58.677419;;
82590;31/08/1970;0000;14;3.215054;9;268.8;;;270.7;3.913978;4;3;;;34.083871;27.906452;22.912903;58.016129;;
82590;30/09/1970;0000;14;1.622222;5;255.3;;;285.7;3.6;2;5.1;;;35.286667;27.934667;22.64;60.083333;;
82590;31/10/1970;0000;14;2.688172;9;278.5;;;305.5;3.27957;0;0;;;36.4;28.204516;22.909677;60.443548;;
82590;30/11/1970;0000;14;2.911111;9;260.8;;;274.8;4.933333;2;6.8;;;36.05;28.420667;23.3;60.941667;;
