--------------------
BDMEP - INMET
--------------------
Estação           : CEARA MIRIM - RN (OMM: 82596)
Latitude  (graus) : -5.65
Longitude (graus) : -35.65
Altitude  (metros): 61.35
Estação Operante
Inicio de operação: 01/06/1967
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82596;31/01/1971;0000;14;3.815217;9;144.9;;;274.2;4.836957;10;62;;;31.13871;26.188387;21.835484;73.282258;;
82596;28/02/1971;0000;9;3.285714;9;158;;;;3.892857;;60.1;;1003.50119;31.164286;26.234286;22.05;73.446429;;
82596;31/03/1971;0000;14;3.225806;9;143.1;;;217.6;5.806452;15;97.8;;1003.58172;31.058065;26.46129;22.629032;76.145161;;
82596;30/04/1971;0000;0;1.651111;7;79.4;;;161.2;6.1;18;209.8;;;30.093333;25.82;22.396667;83.075;;
82596;31/05/1971;0000;18;2.860215;7;73.8;;;181.5;5.494624;19;277.2;;;29.154839;24.964516;21.712903;83.879032;;
82596;30/06/1971;0000;14;3.322222;7;79.7;;;238.2;4.366667;15;127.3;;;29.086667;24.657333;21.18;82.608333;;
82596;31/07/1971;0000;14;3.967742;9;78.3;;;193.9;5.462366;22;164.3;;;28.096774;23.842581;20.741935;83.16129;;
82596;31/08/1971;0000;14;4.107527;9;96.5;;;214.9;4.505376;15;184.4;;;28.022581;23.525806;19.751613;79.532258;;
82596;30/09/1971;0000;14;4.222222;9;113.6;;;268.7;3.433333;;75.9;;;28.836667;24.065333;20.236667;78.558333;;
82596;31/10/1971;0000;14;3.989247;9;140.5;;;280.7;3.569892;;138.3;;;29.529032;24.752903;21.112903;77.306452;;
82596;30/11/1971;0000;14;3.377778;7;138.4;;;291.2;2.377778;;118.7;;;29.58;24.879333;21.03;77.775;;
82596;31/12/1971;0000;14;3.974194;9;156.1;;;320.9;2.709677;;28.5;;;30.229032;25.188387;20.977419;75.080645;;
82596;31/01/1973;0000;14;3.681522;9;126.9;;;272.6;3.880435;15;57.9;;1005.53913;31.9;26.91871;22.880645;78.556452;;
82596;28/02/1973;0000;14;3.619048;9;118.2;;;215.7;5.059524;;257.8;;;31.567857;26.842143;22.878571;79.321429;;
