--------------------
BDMEP - INMET
--------------------
Estação           : MACAU - RN (OMM: 82594)
Latitude  (graus) : -5.15
Longitude (graus) : -36.57
Altitude  (metros): 32.00
Estação Operante
Inicio de operação: 18/11/1908
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82594;31/01/1961;0000;5;5.76087;12;276.7;;;;3.956522;6;34.4;;;32.851613;;;;;
82594;28/02/1961;0000;14;5.107143;9;222.7;;;;5.059524;10;136.2;;;31.596429;;;;;
82594;31/03/1961;0000;14;4.806452;9;274.9;;;;3.967742;12;221.2;;1010.54086;32.141935;;;;;
82594;30/04/1961;0000;14;4.633333;7;262.4;;;;3.955556;10;100.9;;1010.81;33.216667;;;;;
82594;31/05/1961;0000;14;3.935484;6;262.4;;;;4.032258;7;74.6;;;33.254839;;;;;
82594;30/06/1961;0000;14;5.966667;12;268.6;;;;3.088889;3;18.9;;;32.7;;;;;
82594;31/07/1961;0000;14;6.419355;12;272.4;;;;3.268817;3;17.5;;;31.919355;;;;;
82594;31/08/1961;0000;14;7.193548;12;294.8;;;;1.946237;0;0;;;32.245161;;;;;
82594;30/09/1961;0000;14;7.555556;12;297.4;;;;2.277778;0;0;;;32.203333;;;;;
82594;31/10/1961;0000;14;8.434783;12;322.3;;;;2.365591;1;1.8;;;33.151613;27.18;21.213043;;;
82594;30/11/1961;0000;14;6.564444;9;255;;;;1.6;0;0;;;32.006667;26.911333;20.793333;62.925;;
82594;31/12/1961;0000;14;6.043011;9;234;;;;2.483871;0;0;;1010.57957;31.241935;27.065161;21.074194;65.814516;;
82594;31/01/1962;0000;5;5.531183;9;191.3;;;;2.247312;3;22;;;30.390323;26.935484;21.429032;67.919355;;
82594;28/02/1962;0000;14;5.565476;9;192.5;;;;3.428571;3;10.9;;;31.410714;27.614286;22.192857;73.616071;;
82594;31/03/1962;0000;14;5.827957;14;180;;;;4.387097;7;88.3;;;31.232258;27.214839;22.16129;76.314516;;
82594;30/04/1962;0000;14;3.988889;7;154.4;;;;3.888889;13;142.3;;;31.253333;26.95;21.406667;74.9;;
82594;31/05/1962;0000;14;4.892473;9;225.4;;;;3.365591;4;38.6;;;31.964516;26.945806;20.916129;68.717742;;
82594;30/06/1962;0000;14;5.722222;9;246.4;;;;3.355556;2;5;;;32.03;26.806;20.463333;63.2;;
82594;31/07/1962;0000;14;6.021505;12;275.7;;;;3.150538;3;2.1;;;31.564516;26.408387;20.370968;65.959677;;
82594;31/08/1962;0000;14;7.247312;12;286.3;;;;2.752688;0;0;;;31.906452;26.376774;19.8;64.766129;;
82594;30/09/1962;0000;14;7.222222;12;310;;;;2.133333;1;1;;;31.84;26.394667;20.166667;65.391667;;
82594;31/10/1962;0000;14;7.333333;12;375.2;;;;2.064516;0;0;;;31.922581;26.890323;20.651613;64.677419;;
82594;30/11/1962;0000;5;6.4;12;275.5;;;;2.577778;0;0;;1010.74;30.046667;26.688667;21.113333;68.416667;;
82594;31/12/1962;0000;5;6.623656;12;284.9;;;;3.107527;0;0;;1010.68172;31.022581;27.318065;21.770968;66.16129;;
82594;31/01/1963;0000;9;5.791398;12;251.9;;;;3.129032;1;5;;;30.845161;27.365161;22.051613;68.758065;;
82594;28/02/1963;0000;9;5.261905;9;184.3;;;;3.833333;7;60.3;;;30.921429;27.285714;22.028571;72.526786;;
82594;31/03/1963;0000;14;4.086022;9;154.3;;;;4.473118;14;183.4;;;30.670968;26.730968;21.73871;76.524194;;
82594;30/04/1963;0000;14;4.006667;9;160.2;;;;3.688889;13;182.9;;;30.87;26.828667;21.656667;75.45;;
82594;31/05/1963;0000;14;4.322581;12;254.2;;;;2.978495;1;3.5;;;32.096774;26.976774;20.93871;66.556452;;
82594;30/06/1963;0000;14;5.166667;9;270.6;;;;3.444444;3;8.9;;;31.876667;26.598667;20.03;65.175;;
82594;31/07/1963;0000;14;5.810753;12;325;;;;2.731183;2;13.4;;;31.967742;26.624516;19.658065;61;;
82594;31/08/1963;0000;14;6.655914;12;331.5;;;;1.494624;0;0;;;32.264516;26.663871;19.380645;62.774194;;
82594;30/09/1963;0000;14;6.884444;12;353;;;;1.488889;0;0;;;32.68;26.942667;20.39;60.908333;;
