--------------------
BDMEP - INMET
--------------------
Estação           : BAGE - RS (OMM: 83980)
Latitude  (graus) : -31.33
Longitude (graus) : -54.1
Altitude  (metros): 242.31
Estação Operante
Inicio de operação: 01/01/1912
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83980;31/01/1961;0000;0;2.163043;7;178.9;;;226.7;4.097826;8;112.2;;988.052174;31.8;25.12129;17.890323;63.241935;;
83980;28/02/1961;0000;27;2.083333;7;132.1;;;190.2;4.72619;11;121.5;;989.730952;29.803571;23.732143;18.314286;71.491071;;
83980;31/03/1961;0000;9;1.698925;5;128.1;;;179.8;4.268817;13;161.1;;991.453763;27.122581;21.183871;16.383871;72.91129;;
83980;30/04/1961;0000;32;1.2;5;109.6;;;153;4.788889;10;74.3;;991.7;22.476667;17.049333;13.19;74.741667;;
83980;31/05/1961;0000;0;1.182796;5;97.8;;;191.2;3.322581;7;34;;994.595699;22.790323;16.35871;12.141935;68.387097;;
83980;30/06/1961;0000;36;2.5;7;79.8;;;118.8;5.733333;9;156.3;;995.742222;18.323333;13.022;9.203333;73.116667;;
83980;31/07/1961;0000;14;1.516129;9;61.5;;;139.6;5.075269;11;153.2;;995.983871;18.093548;12.451613;8.258065;74.959677;;
83980;31/08/1961;0000;0;2;7;77.5;;;147.9;4.913978;9;67.6;;992.726882;21.696774;15.46129;10.712903;67.596774;;
83980;30/09/1961;0000;9;2.177778;9;76.8;;;96.7;5.733333;14;312.5;;991.683333;20.506667;15.339333;11.04;78.975;;
83980;31/10/1961;0000;32;2.462366;9;109;;;182.9;5.698925;13;173;;989.81828;25.774194;20.307097;15.793548;74.153226;;
83980;30/11/1961;0000;9;1.688889;9;124.1;;;223.8;4.433333;9;130.1;;988.43;28.126667;22.317333;16.433333;67.983333;;
83980;31/12/1961;0000;9;2.27957;7;114.2;;;237.9;4.129032;10;153.8;;988.832258;29.564516;23.738065;17.606452;65.08871;;
83980;31/01/1962;0000;9;2.569892;9;124.9;;;271.3;3.709677;5;59.3;;989.365591;30.390323;24.116129;17.616129;62.032258;;
83980;28/02/1962;0000;14;2.107143;7;128.8;;;223.9;3.630952;9;106;;989.860714;29.064286;22.585714;16.267857;65.821429;;
83980;31/03/1962;0000;36;1.537634;5;132.6;;;203.5;4.322581;12;83.9;;989.787097;29.03871;23.016774;17.8;69.887097;;
83980;30/04/1962;0000;0;1.5;9;90.7;;;176.9;4.133333;8;100.8;;993.154444;23.463333;17.176667;12.47;68.708333;;
83980;31/05/1962;0000;0;1.430108;5;85.1;;;174.9;3.612903;4;5.3;;995.917204;19.958065;13.271613;8.5;62;;
83980;30/06/1962;0000;0;2.058427;9;84.9;;;182.5;3.955556;4;19.4;;995.564444;19.89;13.296667;8.69;63.941667;;
83980;31/07/1962;0000;32;1.655914;5;56.4;;;111.2;6.451613;18;95.1;;999.035484;14.387097;9.719355;6.509677;77.290323;;
83980;31/08/1962;0000;0;2.129032;9;92.4;;;176.7;4.322581;9;74.7;;995.145161;18.248387;12.489032;8.329032;68.967742;;
83980;30/09/1962;0000;36;2.3;5;122.8;;;202.7;4.166667;8;259.1;;994.75;21.22;15.386;10.403333;69.383333;;
83980;31/10/1962;0000;0;1.58172;5;134.6;;;220.7;3.860215;9;105.9;;994.151613;22.935484;16.503226;10.56129;66.032258;;
83980;30/11/1962;0000;0;2.455556;5;170.1;;;249.6;3.211111;5;34.3;;990.167778;28.71;22.027333;15.54;60.1;;
83980;31/12/1962;0000;18;2.55914;7;209.1;;;258.2;3.215054;4;49.8;;989.3;30.587097;23.855484;17.070968;59.846774;;
83980;31/01/1963;0000;14;1.978495;5;159.3;;;190.9;5.623656;13;231.7;;987.760215;29.393548;23.502581;18.532258;71.790323;;
83980;28/02/1963;0000;0;1.797619;5;153.4;;;206.4;5.107143;7;124.1;;990.490476;30.239286;24.427143;19.239286;52.919643;;
83980;31/03/1963;0000;0;2.010753;5;115.4;;;206.6;4.419355;11;115.5;;990.975269;28.232258;22.561935;17.829032;63.169355;;
83980;30/04/1963;0000;36;1.455556;7;105.5;;;183.4;3.533333;4;51.9;;992.168889;25.546667;19.668;15.006667;68.066667;;
83980;31/05/1963;0000;0;1.182796;5;71.8;;;168.1;4.064516;9;67.5;;995.916129;21.203226;15.476774;11.606452;71.814516;;
83980;30/06/1963;0000;9;2.011111;12;74.7;;;134.9;4.988889;8;33.3;;994.77;18.323333;13.121333;9.61;74.333333;;
83980;31/07/1963;0000;14;1.333333;7;87.6;;;144.1;5.021505;8;141.6;;994.344086;19.73871;14.13871;10.309677;74.612903;;
83980;31/08/1963;0000;18;1.526882;5;82.8;;;113.2;6.322581;13;97.9;;992.260215;18.267742;13.089032;9.396774;77.983871;;
83980;30/09/1963;0000;36;1.544444;7;83.7;;;72;7.988889;19;280.3;;991.175556;21.066667;16.69;13.503333;84.308333;;
83980;31/10/1963;0000;0;1.526882;5;115.1;;;188.6;5.322581;10;401.4;;992.115054;22.703226;17.461935;13.203226;76.709677;;
83980;30/11/1963;0000;27;2.166667;12;123.1;;;161;5.988889;14;179.2;;988.671111;24.663333;19.504667;14.836667;76.316667;;
83980;31/12/1963;0000;23;2.215054;7;173.7;;;209.2;4.677419;8;74.5;;990.890323;28.270968;22.585806;17.270968;61.862903;;
83980;31/01/1964;0000;14;2.344086;7;202;;;257.8;2.924731;4;17.2;;989.445161;31.66129;24.656129;17.280645;52.879032;;
83980;29/02/1964;0000;0;1.977011;12;173.9;;;210;3.701149;7;89.7;;988.286207;29.817241;23.208276;17.582759;62.155172;;
83980;31/03/1964;0000;36;1.537634;5;141;;;191.7;5.064516;10;123.1;;992.255914;27.183871;21.045806;16.519355;68.387097;;
83980;30/04/1964;0000;0;1.177778;5;102.5;;;164.1;4.522222;10;73.9;;993.767778;23.823333;17.837333;13.476667;69.966667;;
83980;31/05/1964;0000;0;1.11828;7;84.6;;;187.5;3.645161;5;24.6;;995.955914;22.587097;15.934194;11.748387;65.459677;;
83980;30/06/1964;0000;5;1.334444;7;73.1;;;174.1;3.333333;6;66.9;;994.954444;16.196667;9.499333;4.953333;73.383333;;
83980;31/07/1964;0000;0;1.526882;7;97.4;;;164;4.139785;6;25.6;;996.980645;16.651613;10.229032;5.880645;68.693548;;
