--------------------
BDMEP - INMET
--------------------
Estação           : BENTO GONCALVES - RS (OMM: 83941)
Latitude  (graus) : -29.15
Longitude (graus) : -51.51
Altitude  (metros): 640.00
Estação Operante
Inicio de operação: 01/02/1918
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83941;31/01/1961;0000;14;0.880435;3;;;;;3.554348;7;142.7;;;28.525806;22.107742;17.109677;74.25;;
83941;28/02/1961;0000;14;1.166667;3;;;;;3.72619;11;122.2;;;27.842857;22.167143;17.646429;76.4375;;
83941;31/03/1961;0000;14;1.172043;3;;;;;4.978495;14;187.8;;;24.909677;19.504516;15.135484;79.806452;;
83941;30/04/1961;0000;5;1.022222;3;;;;;5.911111;14;128.6;;;21.98;16.916;13.12;83.75;;
83941;31/05/1961;0000;14;1.043011;3;;;;;3.150538;5;104;;;20.951613;15.232258;10.629032;79.879032;;
83941;30/06/1961;0000;32;1.2;3;;;;;5.1;11;189.9;;;18.446667;13.689333;9.683333;80.691667;;
83941;31/07/1961;0000;14;1.075269;4;;;;;4.569892;10;162.9;;;19.180645;13.510323;8.951613;79.725806;;
83941;31/08/1961;0000;14;1.322581;5;;;;;2.935484;9;140.5;;;23.432258;16.612903;11.351613;72.862903;;
83941;30/09/1961;0000;14;1.088889;3;;;;;8.344444;23;285.7;;;19.846667;15.378;11.913333;86.208333;;
83941;31/10/1961;0000;23;1.043011;3;;;;;5.010753;15;215.2;;;24.474194;18.979355;14.322581;78.274194;;
83941;30/11/1961;0000;9;1.044444;5;;;;;4.955556;14;166.5;;;25.993333;19.937333;14.8;76.508333;;
83941;31/12/1961;0000;14;0.968817;3;;;;;3.494624;10;152;;;27.106452;21.254839;16.448387;72.870968;;
83941;31/01/1962;0000;5;1.010753;3;;;;;2.44086;11;109;;;26.629032;20.588387;15.374194;73.919355;;
83941;28/02/1962;0000;14;1.047619;3;;;;;2.809524;5;35;;;25.564286;19.885714;14.928571;71.321429;;
83941;31/03/1962;0000;14;1.086022;3;;;;;4.010753;10;102.1;;;26.951613;20.979355;16.341935;73.830645;;
83941;30/04/1962;0000;14;1.088889;3;;;;;3.566667;4;62.2;;;22.93;16.996667;12.2;75.258333;;
83941;31/05/1962;0000;9;1.129032;3;;;;;4.55914;7;98.4;;;18.216129;12.502581;7.558065;77.290323;;
83941;30/06/1962;0000;23;1.155556;3;;;;;3.488889;6;33.4;;;17.576667;11.864667;7.02;74.841667;;
83941;31/07/1962;0000;32;1.129032;3;;;;;6.376344;16;97.6;;;14.612903;10.011613;6.416129;83.927419;;
83941;31/08/1962;0000;5;1.215054;3;;;;;4.408602;10;80.9;;;18.567742;12.36;7.229032;71.282258;;
