--------------------
BDMEP - INMET
--------------------
Estação           : CAXIAS DO SUL - RS (OMM: 83942)
Latitude  (graus) : -29.16
Longitude (graus) : -51.2
Altitude  (metros): 759.60
Estação Operante
Inicio de operação: 12/04/1912
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83942;31/01/1961;0000;5;2.413043;6;93.7;;;225.3;5.652174;11;200.9;;924.758696;27.680645;21.351613;16.848387;75.491935;;
83942;28/02/1961;0000;14;2.47619;4;86.3;;;209;5.619048;13;124;;926.130952;26.975;21.034286;17.392857;78.446429;;
83942;31/03/1961;0000;5;2.494624;6;67.8;;;186.9;5.677419;17;308.6;;927.75914;23.803226;18.479355;15.045161;80.927419;;
83942;30/04/1961;0000;5;2.188889;5;48.5;;;151.5;6.244444;18;194.7;;927.198889;21.016667;15.990667;13.006667;86.683333;;
83942;31/05/1961;0000;0;2.182796;5;67.1;;;229.2;4.301075;12;51.9;;929.977419;20.748387;14.878065;11.280645;80.983871;;
83942;30/06/1961;0000;5;2.988889;6;72;;;155.7;5.433333;15;243.9;;930.791111;17.6;12.882;9.85;83.575;;
83942;31/07/1961;0000;5;2.623656;6;72;;;176;5.731183;15;149.4;;930.797849;18.312903;12.896774;9.554839;81.798387;;
83942;30/09/1961;0000;5;2.696629;6;44.6;;;81.6;8.314607;24;404.4;;926.716854;18.966667;14.671333;11.686667;88.833333;;
83942;31/10/1961;0000;32;3.053763;6;87;;;195;5.935484;16;237.4;;926.510753;24.025806;18.225161;14.164516;78.733871;;
83942;30/11/1961;0000;5;2.244444;6;73.7;;;225.6;5.822222;19;210.1;;924.862222;25.426667;19.084667;14.713333;78.758333;;
83942;31/12/1961;0000;9;2.956989;8;99.2;;;259.9;4.709677;12;236.9;;925.694624;26.458065;20.041935;15.529032;76.903226;;
83942;31/01/1962;0000;5;2.784946;6;92.7;;;258.1;4.688172;12;182.7;;926.023656;26.154839;19.588387;15.13871;75.362903;;
83942;28/02/1962;0000;14;2.535714;6;72;;;218.7;5.214286;11;50.5;;925.741667;25.285714;18.687857;14.396429;76.669643;;
83942;31/03/1962;0000;9;2.612903;6;84.9;;;219.7;5.387097;18;151.7;;926.606452;26.541935;19.914839;16.009677;77.5;;
83942;30/04/1962;0000;27;2.166667;5;61.8;;;206.7;5.233333;15;79;;928.391111;22.003333;15.670667;11.823333;80.908333;;
83942;31/05/1962;0000;5;2.311828;8;56.9;;;186.6;5.129032;12;126.4;;930.296774;17.367742;11.692903;8.019355;79.758065;;
83942;30/06/1962;0000;5;2.633333;6;84;;;196.2;4.222222;12;54.7;;930.866667;17.233333;11.492;7.94;76.308333;;
83942;31/07/1962;0000;32;2.290323;7;49.6;;;114.9;6.784946;19;120.3;;932.374194;13.73871;9.292258;6.554839;85.185484;;
83942;31/08/1962;0000;23;2.193548;7;94.6;;;201.3;4.419355;16;101.7;;929.747312;18.045161;11.894839;7.980645;74.16129;;
83942;30/09/1962;0000;0;2.666667;6;78.9;;;183.9;5.688889;12;124.8;;929.586667;20.986667;14.481333;10.313333;77.525;;
83942;31/10/1962;0000;14;2.645161;5;89.7;;;234.2;4.83871;11;63.5;;928.650538;20.96129;14.293548;9.609677;72.903226;;
83942;30/11/1962;0000;36;2.544444;5;106.8;;;241.9;4.7;8;47.8;;926.257778;25.686667;18.669333;13.666667;70.816667;;
83942;31/12/1962;0000;14;2.580645;8;117;;;275.8;3.451613;7;107.6;;925.68172;27.290323;20.007742;15.312903;69.306452;;
83942;31/01/1963;0000;14;2.569892;5;69.8;;;171.2;6.462366;21;286;;924.422581;26.245161;20.609677;16.951613;82.379032;;
83942;28/02/1963;0000;18;2.761905;5;70.2;;;205;5.642857;13;84;;926.947619;26.203571;20.595714;17.05;79.5;;
83942;31/03/1963;0000;36;2.666667;6;79.9;;;231.5;5.494624;16;127.5;;927.656989;26.383871;20.516129;16.996774;80.137097;;
83942;30/04/1963;0000;0;2.111111;6;84.1;;;253.3;3.711111;14;68.8;;928.176667;23.193333;17.019333;13.283333;75.816667;;
