--------------------
BDMEP - INMET
--------------------
Estação           : CRUZ ALTA - RS (OMM: 83912)
Latitude  (graus) : -28.63
Longitude (graus) : -53.6
Altitude  (metros): 472.50
Estação Operante
Inicio de operação: 02/02/1912
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83912;31/01/1961;0000;0;2.315217;7;102.2;;;;6.021739;6;155.8;;955.309783;31.180645;24.830968;18.180645;59.927419;;
83912;28/02/1961;0000;0;2.494048;7;85.6;;;;6.833333;11;126;;957.966667;29.585714;23.538571;18.2;67.928571;;
83912;31/03/1961;0000;14;1.956989;7;72.5;;;;6.27957;12;252.5;;959.33871;26.719355;20.86129;15.593548;69.233871;;
83912;30/04/1961;0000;0;2;7;56.5;;;;5.888889;18;247.7;;959.264444;23.853333;18.364;13.513333;72.866667;;
83912;31/05/1961;0000;0;1.763441;5;62.8;;;;4.505376;12;82.3;;962.374194;23.458065;17.259355;11.412903;67.169355;;
83912;30/06/1961;0000;0;2.744444;7;57;;;;6.733333;13;237.5;;962.551111;20.339286;14.856154;9.992857;73.057692;;
83912;31/07/1961;0000;5;2.430108;7;61.4;;;;6.462366;11;169.5;;963.894624;21.264516;14.891613;9.787097;69.806452;;
83912;31/08/1961;0000;0;2.236559;7;99.6;;;;5.645161;11;156.5;;960.068817;25.4;18.569032;12.658065;61.112903;;
83912;30/09/1961;0000;14;2.777778;6;49.9;;;;8.444444;18;356.8;;958.656667;22.05;17.015333;12.793333;75.666667;;
83912;31/10/1961;0000;0;2.408602;5;76.8;;;;7.451613;14;290.6;;957.917204;26.496774;20.566452;14.974194;68.653226;;
83912;30/11/1961;0000;0;1.933333;5;91.5;;;;6.055556;15;152.1;;956.653333;28.313333;21.974667;15.926667;62.383333;;
83912;31/12/1961;0000;32;2.774194;7;125.2;;;;5.634409;10;129.9;;957.275269;29.851613;23.264516;16.948387;58.75;;
83912;31/01/1962;0000;0;2.064516;5;114.6;;;;5.301075;9;55.9;;957.582796;29.36129;23.300645;16.496774;57.282258;;
83912;28/02/1962;0000;14;2.27381;5;106.1;;;;5.321429;6;55.1;;957.67619;29.057143;21.765714;15.542857;58.455357;;
83912;31/03/1962;0000;14;2.376344;5;101.4;;;;5.946237;7;82.6;;957.910753;29.554839;22.594839;16.716129;64.008065;;
83912;30/04/1962;0000;0;1.866667;5;63;;;;6.088889;5;64.9;;960.701111;25.08;18.625333;12.72;65.725;;
83912;31/05/1962;0000;0;2.247312;6;62.8;;;;5.526882;10;119.6;;962.997849;20.116129;14.261935;8.806452;62.870968;;
83912;30/06/1962;0000;5;2.147778;6.3;70;;;;4.577778;4;21.4;;963.522222;20.126667;13.428;7.453333;60.316667;;
83912;31/07/1962;0000;0;2.096774;5;54.8;;;;7.494624;15;73.6;;965.28172;15.735484;10.553548;5.96129;71.903226;;
83912;31/08/1962;0000;0;2.526882;6;91;;;;5.516129;9;59.9;;963.319355;20.322581;13.869677;7.948387;61.016129;;
83912;30/09/1962;0000;0;2.777778;6;81;;;;6.177778;5;52.9;;962.272222;23.666667;17.334667;11.126667;61.891667;;
83912;31/10/1962;0000;0;2.163043;5;68;;;;5.526882;7;55.8;;960.772043;23.503226;17.331613;10.896774;55.733871;;
83912;30/11/1962;0000;14;2.122222;5;66.2;;;;5.677778;7;44;;958.421111;28.62;22.102667;15.166667;53.525;;
83912;31/12/1962;0000;14;1.956989;6;147.9;;;;4.516129;4;85.1;;956.633333;30.741935;24.032258;16.729032;52.193548;;
83912;31/01/1963;0000;14;2.645161;7;102;;;;7.473118;14;148.3;;955.56129;30.212903;24.247742;18.529032;66.790323;;
83912;28/02/1963;0000;14;2.428571;5;91.5;;;;6.666667;7;21.1;;957.403571;30.192857;24.058571;18.3;63.6875;;
83912;31/03/1963;0000;0;2.27957;5;101.2;;;;6.172043;10;137.3;;958.978495;30.425806;23.870323;17.948387;65.016129;;
83912;30/04/1963;0000;0;1.777778;5;77.8;;;;4.3;6;44;;960.655556;26.28;19.939333;14.216667;62.133333;;
83912;31/05/1963;0000;0;1.827957;5;78.5;;;;5.16129;6;95.9;;963.408602;22.935484;16.729032;11.748387;65.774194;;
83912;30/06/1963;0000;18;2.366667;5;68.8;;;;5.544444;6;99.4;;962.664444;20.78;14.042;8.736667;63.833333;;
83912;31/07/1963;0000;0;2.784946;7;91.4;;;;7.462366;8;64.9;;961.25914;22.103226;16.070968;10.896774;62.685484;;
83912;31/08/1963;0000;0;2.677419;5;78.8;;;;8.655914;15;166.4;;959.451613;21.767742;15.876774;10.745161;63.516129;;
83912;30/09/1963;0000;32;2.633333;5;84.8;;;;8.744444;18;226.8;;958.657778;22.656667;17.763333;13.953333;70.116667;;
83912;31/10/1963;0000;14;3.193548;7;72.1;;;;7.591398;20;254.8;;958.801075;23.803226;17.830323;11.96129;71.5;;
