--------------------
BDMEP - INMET
--------------------
Estação           : ENCRUZILHADA DO SUL - RS (OMM: 83964)
Latitude  (graus) : -30.53
Longitude (graus) : -52.51
Altitude  (metros): 427.75
Estação Operante
Inicio de operação: 01/05/1913
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83964;31/01/1961;0000;;;;;;;;;;0;;;;;;;;
83964;28/02/1961;0000;0;0.880952;3;;;;198.6;6.095238;12;166.5;;964.811905;28.153571;21.995;18.082143;74.205357;;
83964;31/03/1961;0000;32;0.698925;3;;;;130.8;5.483871;14;149.6;;966.177419;24.293548;19.247742;15.529032;78.959677;;
83964;30/04/1961;0000;0;0.566667;1;27.6;;;138.5;5.977778;10;78;;966.068889;21.026667;16.122;12.866667;81.791667;;
83964;31/05/1961;0000;5;0.623656;3;48.8;;;210.8;4.258065;8;41.5;;969.215054;20.190323;15.471613;12.496774;82.048387;;
83964;30/06/1961;0000;0;0.933333;3;51.5;;;110.8;6.044444;15;201.6;;970.074444;16.786667;12.684;9.55;82.341667;;
83964;31/07/1961;0000;0;0.797849;3;50.5;;;148.7;6.043011;18;47.4;;969.593548;17.283871;12.334194;8.806452;81.685484;;
83964;31/10/1961;0000;5;0.804348;3;82.7;;;67.5;7.152174;18;152.9;;964.66129;22.912903;18.463871;14.880645;78.758065;;
83964;30/11/1961;0000;5;;7;66.9;;;;5.278689;8;43.7;;964.029508;25.15;19.064;14.31;;;
83964;31/01/1962;0000;;;;;;;;;;3.6;;;;;;;;
83964;28/02/1962;0000;5;0.75;3;83.8;;;198.3;4.714286;7;30.7;;964.37619;25.65;19.805714;15.235714;73.267857;;
83964;31/03/1962;0000;5;0.655914;1;36.2;;;195.2;5.741935;14;157.5;;964.570968;25.983871;20.191613;16.448387;85.983871;;
83964;31/05/1962;0000;0;0.663043;1;39.6;;;196.3;4.673913;3;7.1;;969.406452;17.516129;12.823871;9.335484;72.790323;;
83964;30/06/1962;0000;5;0.588889;1;17.2;;;185;3.822222;4;26.7;;969.823333;17.2;12.332;8.763333;75.558333;;
83964;31/07/1962;0000;5;;3;14.7;;;;7.942308;8;36.5;;970.405769;13.941176;10.178824;7.847059;;;
83964;31/08/1962;0000;0;0.763043;5;24.4;;;193.9;4.25;9;69.9;;968.935484;16.441935;11.490968;7.832258;78.387097;;
83964;30/09/1962;0000;0;0.866667;5;34.2;;;171.2;5.155556;9;136.6;;968.731111;19.15;14.056667;10.473333;78.2;;
83964;31/10/1962;0000;32;0.935484;7;54.5;;;144.5;4.806452;7;76.7;;968.043011;20.522581;14.733548;10.206452;86.879032;;
83964;30/11/1962;0000;5;0.788889;3;52.2;;;257.9;4.266667;7;54.2;;964.837778;25.526667;19.330667;14.873333;76.225;;
