--------------------
BDMEP - INMET
--------------------
Estação           : IRAI - RS (OMM: 83881)
Latitude  (graus) : -27.18
Longitude (graus) : -53.23
Altitude  (metros): 247.10
Estação Operante
Inicio de operação: 01/06/1935
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83881;31/01/1961;0000;0;1.206522;3;121.1;;;261.7;3.108696;5;152.7;;982.116304;34.770968;25.336129;18.26129;78.532258;;
83881;28/02/1961;0000;0;1.285714;7;92.2;;;187.4;4.154762;11;151.3;;983.614286;33.635714;24.758571;18.585714;82.348214;;
83881;31/03/1961;0000;0;1.150538;3;70.2;;;169;5.053763;12;216.6;;985.593548;30.116129;22.216129;16.767742;84.620968;;
83881;30/04/1961;0000;0;0.755556;2;43.2;;;120.5;5.244444;13;194.3;;986.348889;26.886667;19.398667;14.236667;87.125;;
83881;31/05/1961;0000;;;;;;;;;;0;;;;;;;;
83881;30/06/1961;0000;0;1;3;41.1;;;161.9;5.224719;12;113.3;;990.792135;22.816667;14.894667;9.933333;87.883333;;
83881;31/07/1961;0000;0;0.967742;3;41.9;;;158.2;4.892473;12;80.8;;991.093548;23.419355;14.766452;9.296774;88.540323;;
83881;31/08/1961;0000;0;0.924731;3;58.8;;;175.4;4.505376;14;101.3;;987.950538;27.309677;17.296129;11.351613;85.741935;;
83881;30/09/1961;0000;0;1.2;3;42.1;;;73.9;7.177778;16;354.9;;985.86;25.066667;18.651333;14.27;88.35;;
83881;31/10/1961;0000;5;1.032258;5;63.5;;;143.6;5.247312;13;231.8;;985.009677;29.245161;20.792903;14.922581;85.596774;;
83881;30/11/1961;0000;0;1.255556;3;87.9;;;180.6;4.111111;8;78;;983.165556;31.8;22.445333;15.663333;80.416667;;
83881;31/12/1961;0000;14;1.150538;3;138.4;;;267.2;2.935484;5;40.5;;982.970968;34.187097;24.531613;17.245161;77.451613;;
83881;31/01/1962;0000;0;1.064516;2;126.9;;;224.8;3.817204;9;94.1;;983.417204;33.606452;24.145161;16.86129;76.620968;;
83881;28/02/1962;0000;0;1.166667;3;100.7;;;202.8;3.488095;7;158.6;;983.604762;32.703571;22.623571;15.092857;79.107143;;
83881;31/03/1962;0000;0;0.967742;3;68.2;;;175;4.462366;11;126.8;;984.691398;31.954839;22.752258;16.716129;83.5;;
83881;30/04/1962;0000;0;1.088889;3;51.7;;;150.6;4.666667;9;104.5;;987.267778;27.346667;18.933333;13.23;86.191667;;
83881;31/05/1962;0000;0;0.913978;2;32;;;160;5.172043;12;278.4;;991.163441;22.316129;13.871613;8.096774;87.435484;;
83881;30/06/1962;0000;0;0.944444;4;43.7;;;186.6;3.666667;9;25.3;;991.848889;21.94;11.910667;5.093333;85.066667;;
83881;31/07/1962;0000;0;0.956989;3;26.2;;;107.3;6.354839;18;144.9;;994.362366;17.677419;10.50129;5.409677;89.064516;;
83881;31/08/1962;0000;0;0.946237;3;46.2;;;163.5;4.88172;15;63.8;;990.517204;23.064516;13.788387;7.703226;85.620968;;
83881;31/10/1962;0000;0;1.130435;3;70.2;;;170.4;4.391304;8;115;;987.992391;26.135484;17.387097;10.748387;80.169355;;
83881;30/11/1962;0000;0;1.166667;5;95.4;;;173.8;3.166667;7;113.9;;984.285556;31.64;21.696;14.493333;79.783333;;
83881;31/12/1962;0000;0;1.182796;2;152.4;;;239.3;2.376344;4;51;;982.430108;35.2;25.231613;17.380645;72.91129;;
83881;31/01/1963;0000;0;1.236559;3;108.4;;;159.1;5.16129;17;214.4;;981.417204;34.109677;25.74069;19.483871;80.959677;;
83881;28/02/1963;0000;0;1.190476;2;78.9;;;169.6;3.690476;10;102.3;;984.260714;32.921429;24.742857;18.257143;81.803571;;
83881;31/03/1963;0000;0;1.16129;3;70.5;;;214.2;4.086022;11;73.6;;985.393548;32.529032;24.32129;18.567742;83.306452;;
83881;30/04/1963;0000;0;1.266667;3;61.9;;;217.6;3.344444;4;68.1;;987.491111;29;18.955333;12.306667;84.258333;;
83881;31/05/1963;0000;0;1.107527;3;38.9;;;175.6;4.376344;9;121.5;;991.225806;24.464516;16.135484;10.612903;87.467742;;
83881;30/06/1963;0000;0;0.877778;3;36.4;;;190.8;3.633333;10;76.2;;991.818889;21.653333;12.473333;6.153333;87.116667;;
83881;31/07/1963;0000;0;0.967742;3;42.4;;;171;4.752688;12;81.5;;990.383871;23.916129;14.92;8.922581;86.741935;;
83881;31/08/1963;0000;0;0.978495;2;48;;;94.3;5.978495;11;66;;987.836559;24.241935;15.667097;9.867742;86.201613;;
83881;30/09/1963;0000;0;0.911111;3;42.3;;;33.8;7.988889;15;169.1;;986.414444;25.006667;18.192;13.72;86.875;;
83881;30/11/1963;0000;0;1.179775;2;76.6;;;120.9;4.797753;12;300.7;;983.37191;30.073333;21.790667;15.653333;84.125;;
83881;31/12/1963;0000;0;1.150538;3;95.5;;;218.6;4.010753;10;222.3;;984.92043;31.490323;23.181935;17.070968;81.846774;;
83881;31/01/1964;0000;0;1.247312;7;154.8;;;290.8;2.483871;5;19.2;;982.752688;36.232258;25.712903;17.1;75.362903;;
83881;29/02/1964;0000;0;1.149425;3;91.7;;;233.1;4.137931;14;176.1;;981.862069;33.810345;24.984138;18.406897;79.818966;;
83881;31/03/1964;0000;0;1.064516;2;97.9;;;215.7;3.88172;11;132.5;;986.475269;31.858065;22.743226;16.183871;80.306452;;
83881;30/04/1964;0000;0;1.044444;2;47.8;;;138.3;5.855556;17;264.9;;987.686667;28;20.601333;15.493333;87.525;;
83881;31/05/1964;0000;0;0.860215;2;38.7;;;200.5;2.870968;11;34.4;;991.132258;24.922581;15.627097;9.722581;86.346774;;
83881;30/06/1964;0000;0;0.7;2;34.7;;;132.8;4.888889;14;39.4;;990.231111;20.516667;11.876667;6.093333;86.966667;;
83881;31/07/1964;0000;0;0.924731;2;32.9;;;139.6;5.236559;9;112.9;;992.275269;20.187097;11.207742;4.993548;86.814516;;
83881;31/08/1964;0000;0;0.960215;4;52.9;;;141.3;4.978495;16;193.7;;990.006452;23.670968;15.65871;9.632258;86.782258;;
83881;30/09/1964;0000;0;1;3;58.2;;;134.5;5.866667;15;108.6;;988.37;25.673333;17.246;11.29;87.775;;
83881;31/10/1964;0000;0;0.806452;2;92.8;;;258.6;2.870968;7;106.1;;986.794624;28.441935;17.921935;9.916129;80.677419;;
83881;31/12/1964;0000;0;0.93913;2;98.8;;;253.8;3.423913;10;194.1;;981.86413;31.167742;21.762581;14.690323;81.346774;;
83881;31/01/1965;0000;0;0.946237;3;104.5;;;258.2;3.677419;10;80.9;;982.422581;33.290323;23.726452;16.722581;81.887097;;
83881;28/02/1965;0000;0;0.904762;5;73.9;;;169.8;4.535714;13;168.7;;981.359524;32.825;23.347857;17.475;84.330357;;
83881;31/03/1965;0000;0;1.182796;3;83.9;;;200.9;4.086022;9;36.3;;985.539785;29.716129;20.123871;13.367742;81.951613;;
83881;30/04/1965;0000;5;0.866667;2;57.2;;;152;4.722222;13;165.4;;986.413333;27.61;19.139333;12.983333;85.583333;;
83881;31/05/1965;0000;0;0.817204;3;35.6;;;153.3;4.817204;19;132.5;;988.792473;23.806452;15.27871;9.548387;88.16129;;
83881;30/06/1965;0000;0;0.633333;2;33.2;;;160.1;4.355556;13;128.6;;991.263333;24.426667;15.758667;10.403333;88.008333;;
83881;31/07/1965;0000;0;1.047619;3;39.4;;;123.2;5.452381;13;227.7;;989.8;22.339286;13.665;7.442857;84.821429;;
83881;31/08/1965;0000;0;0.956989;2;50.3;;;162.2;5.623656;19;251.9;;987.209677;23.612903;15.632903;10.23871;86.298387;;
83881;30/09/1965;0000;0;0.922222;2;49.8;;;131.1;5.611111;15;265;;987.178889;24.646667;17.35;12.086667;85.516667;;
83881;31/10/1965;0000;0;1.107527;4;81.3;;;189.9;3.903226;14;283.3;;985.025806;28.454839;19.645806;12.864516;80.604839;;
83881;30/11/1965;0000;0;1.066667;2;83.6;;;199.3;4.311111;9;101.6;;984.748889;30.586667;21.701333;15.32;80.991667;;
83881;31/01/1966;0000;0;1.173913;3;92.8;;;252;4.543478;12;181.2;;982.391304;33.670968;24.469032;18.251613;83.112903;;
