--------------------
BDMEP - INMET
--------------------
Estação           : LAGOA VERMELHA - RS (OMM: 83916)
Latitude  (graus) : -28.21
Longitude (graus) : -51.5
Altitude  (metros): 840.00
Estação Operante
Inicio de operação: 01/06/1914
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83916;31/01/1961;0000;5;2.217391;4;125.7;;;;5.173913;8;165.6;;;29.512903;22.397419;16.8;70.064516;;
83916;28/02/1961;0000;9;2.130952;5;97.6;;;;5.940476;15;240.7;;;28.428571;21.857857;16.95;75.205357;;
83916;31/03/1961;0000;36;2.193548;4;84.9;;;;5.483871;15;268.4;;;25.406452;19.043871;14.280645;78.798387;;
83916;30/04/1961;0000;36;2.133333;5;64.4;;;;5.288889;15;144.9;;;22.706667;17.198;12.843333;81.183333;;
83916;31/05/1961;0000;9;1.989247;3;70.6;;;;3.483871;5;80.6;;;21.954839;14.819355;9.135484;77.322581;;
83916;30/06/1961;0000;36;2.155556;3;59.2;;;;4.711111;10;164.9;;;18.773333;13.16;8.903333;82.458333;;
83916;31/07/1961;0000;36;2.184946;4;66;;;;5;10;115.9;;;19.596774;13.24129;8.906452;79.322581;;
83916;31/08/1961;0000;27;2.182796;5;101.9;;;;2.989247;9;157;;;23.73871;16.384516;10.7;72.758065;;
83916;30/09/1961;0000;18;2.355556;5;50.5;;;;7.111111;21;372.5;;;20.583333;15.57;11.783333;85.816667;;
83916;31/10/1961;0000;27;2.268817;5;102;;;;4.774194;14;262.9;;;25.425806;18.785556;14.03871;;;
83916;30/11/1961;0000;36;2.044444;3;100.9;;;;5.188889;11;82.4;;;26.703333;;14.736667;;;
