--------------------
BDMEP - INMET
--------------------
Estação           : PELOTAS - RS (OMM: 83985)
Latitude  (graus) : -31.78
Longitude (graus) : -52.41
Altitude  (metros): 13.00
Estação Operante
Inicio de operação: 01/01/1926
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83985;31/01/1961;0000;5;2.608696;8;113.5;;;;5.347826;6;131.4;;;;;17.622581;75.145161;;
83985;28/02/1961;0000;5;2.714286;8;96.1;;;;6.488095;10;200.4;;;28.692857;23.33;18.7;79.294643;;
83985;31/03/1961;0000;5;3.354839;10;92;;;;5.666667;12;129.7;;;26.36129;20.728387;15.864516;81.491935;;
83985;30/04/1961;0000;5;2.822222;8;68;;;;5.455556;11;30.8;;;23.163333;16.834667;12.296667;84.591667;;
83985;31/05/1961;0000;0;2.094624;6;54.2;;;;5.064516;5;17.9;;;22.490323;15.88;10.990323;87.330645;;
83985;30/06/1961;0000;0;3.888889;14;56.9;;;;6.333333;13;227.2;;;18.853333;13.262667;8.95;82.791667;;
83985;31/07/1961;0000;5;2.107527;8;48.4;;;;6.83871;11;149.4;;;18.364516;12.923226;8.419355;83.540323;;
83985;31/08/1961;0000;0;2.376344;6;49.8;;;;7.27957;4;40.6;;;20.703226;15.017419;10.274194;84.693548;;
83985;30/09/1961;0000;18;2.377778;6;58.6;;;;7.088889;12;227.4;;;20.316667;15.066667;6.913333;82.266667;;
83985;31/10/1961;0000;0;2.365591;8;74.3;;;;7.526882;10;123.9;;;25.306452;20.145161;14.151613;82.241935;;
83985;30/11/1961;0000;0;1.966667;8;60.2;;;;6.044444;8;87.8;;;27.096667;20.762;12.043333;70.608333;;
