--------------------
BDMEP - INMET
--------------------
Estação           : PORTO ALEGRE - RS (OMM: 83967)
Latitude  (graus) : -30.05
Longitude (graus) : -51.16
Altitude  (metros): 46.97
Estação Operante
Inicio de operação: 09/12/1909
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83967;31/01/1961;0000;14;2.152174;6;107.3;;;261.3;5.228261;9;72.9;;;31.422581;25.38;20.945161;66.66129;;
83967;28/02/1961;0000;14;2.297619;8;89.1;;;237.7;4.928571;10;153.2;;;31.135714;25.297143;21.389286;71.598214;;
83967;31/03/1961;0000;9;1.408602;8;70.3;;;203.7;5.322581;15;167.3;;;27.664516;22.369677;18.516129;78.153226;;
83967;30/04/1961;0000;9;1.011111;5;53.2;;;165.2;5.766667;10;54.4;;;24.206667;19.539333;16.306667;80.758333;;
83967;31/05/1961;0000;0;0.677419;4;37.9;;;201.5;4.537634;6;58.4;;;23.432258;17.697419;14.035484;84.959677;;
83967;30/06/1961;0000;9;1.144444;6;38.2;;;132.7;5.911111;15;238.1;;;20.633333;15.578667;12.053333;84.783333;;
83967;31/07/1961;0000;0;0.88172;8;35.7;;;152.7;6.043011;12;56.9;;;20.583871;15.145161;11.66129;84.072581;;
83967;31/08/1961;0000;0;1.311828;8;45.6;;;203.2;5.526882;10;88.2;;1015.13871;23.63871;17.682581;13.603226;81.072581;;
83967;30/09/1961;0000;14;1.944444;9;38.2;;;87.2;8.111111;19;252.8;;;21.583333;17.691333;14.96;84.55;;
83967;31/10/1961;0000;0;1.817204;7;59;;;198.2;6.387097;14;182.5;;;26.254839;21.340645;17.580645;80.120968;;
83967;30/11/1961;0000;9;1.633333;7;69.4;;;239.2;5.977778;13;92.8;;;28.19;22.663333;18.63;74.833333;;
83967;31/12/1961;0000;14;2.053763;7;96.3;;;291.7;4.784946;9;134.1;;;29.764516;24.116774;19.948387;69.556452;;
83967;31/01/1962;0000;14;2.344086;8;103.1;;;285.2;4.569892;7;57.1;;;29.251613;23.996129;19.748387;68.467742;;
83967;28/02/1962;0000;14;2.130952;8;83.6;;;226;5.166667;5;38.5;;;28.407143;22.958571;18.760714;70.5625;;
83967;31/03/1962;0000;9;1.698925;8;82.4;;;226.7;5.473118;12;85.7;;;29.93871;23.740645;19.670968;75.112903;;
83967;30/04/1962;0000;0;1.322222;5;56.7;;;208.3;4.966667;6;50.4;;;24.746667;19.322667;15.303333;77.108333;;
83967;31/05/1962;0000;9;0.88172;6;48;;;189.1;5.376344;8;22.4;;1018;20.7;15.071613;11.080645;79.709677;;
83967;30/06/1962;0000;9;0.755556;5;42.3;;;180.9;4.522222;7;29.7;;;20.576667;13.862667;9.396667;81.1;;
83967;31/07/1962;0000;0;1.27957;5;38;;;125.7;6.666667;13;72.2;;;17.054839;12.794839;10.019355;83.717742;;
83967;31/08/1962;0000;0;1.301075;8;45.9;;;189.2;5.032258;10;86.9;;;20.122581;14.252903;10.064516;79.282258;;
83967;30/09/1962;0000;0;1.822222;7;58.1;;;172.7;5.5;9;123.5;;1017.21;22.576667;17.047333;12.906667;76.516667;;
83967;31/10/1962;0000;14;1.741935;6;76.2;;;245.2;4.83871;8;67.1;;;23.7;18.008387;13.590323;71.782258;;
83967;30/11/1962;0000;9;1.755556;6;92.3;;;246.8;4.077778;5;30.2;;;27.923333;22.032667;17.493333;68.8;;
83967;31/12/1962;0000;14;2.258065;6;122.1;;;303.5;3.935484;5;48.2;;;30.625806;24.199355;19.432258;62.822581;;
83967;31/01/1963;0000;14;2.16129;9;92.8;;;186.1;6.752688;12;90.4;;;30.103226;24.950323;21.370968;72.008065;;
83967;28/02/1963;0000;14;1.72619;6;82.7;;;208.4;5.011905;10;76.3;;1012.05;30.432143;25.011429;21.246429;72.464286;;
83967;31/03/1963;0000;0;0.978495;5;76.4;;;228.5;5.505376;13;96.9;;;30.003226;24.226452;20.490323;76.612903;;
83967;30/04/1963;0000;0;1.033333;3;62.1;;;236.1;3.488889;7;36.7;;;26.956667;20.414;16.096667;76.066667;;
83967;31/05/1963;0000;14;0.83871;10;44.7;;;191.2;4.860215;8;41.1;;;23.077419;17.22129;13.432258;80.75;;
83967;30/06/1963;0000;14;1.088889;8;50.1;;;165.4;5.066667;5;79.7;;;20.563333;15.008;10.86;76.8;;
83967;31/07/1963;0000;0;0.677419;3;41;;;166.5;5.956989;7;62.1;;;21.654839;15.419355;11.435484;79.806452;;
83967;31/08/1963;0000;18;1.16129;7;39.4;;;121.1;7.677419;13;162.4;;;19.296774;14.804516;11.6;81.209677;;
83967;30/09/1963;0000;0;1.033333;7;35.7;;;53.7;9.055556;17;115.7;;;21.896667;18.007333;15.51;84.025;;
