--------------------
BDMEP - INMET
--------------------
Estação           : RIO GRANDE - RS (OMM: 83995)
Latitude  (graus) : -32.03
Longitude (graus) : -52.11
Altitude  (metros): 2.46
Estação Operante
Inicio de operação: 01/01/1912
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83995;31/01/1961;0000;5;2.717391;8;101.4;;;256.5;5.206522;6;98.9;;;27.445161;23.634839;20.825806;81.080645;;
83995;28/02/1961;0000;5;2.831325;8;85;;;222.9;5.337349;9;63.1;;;27.55;23.785714;21.392857;76.777778;;
83995;31/03/1961;0000;9;3.058824;8;74.3;;;155.9;5.141176;9;149.6;;;25.227586;21.654286;19.027586;79.875;;
83995;30/04/1961;0000;36;2.533333;9;69.9;;;172.6;5.611111;7;38.8;;;21.873333;18.422667;15.853333;80.075;;
83995;31/05/1961;0000;14;1.88172;10;41.7;;;197.3;5.967742;6;15.8;;;20.716129;17.202581;14.709677;89.58871;;
83995;30/06/1961;0000;5;3.533333;12;46.1;;;115;7.077778;11;190.5;;;17.306667;14.148667;11.756667;86.666667;;
83995;31/07/1961;0000;14;2.580645;7;41.5;;;134.1;6.769231;11;240.3;;;16.264516;13.096774;10.741935;88.75;;
83995;31/08/1961;0000;0;2.956989;8;45.1;;;152.6;8.010753;7;107.6;;;18.425806;15.277419;13.135484;88.709677;;
83995;30/09/1961;0000;14;3.644444;12;52.7;;;122;7.444444;14;281.5;;;18.34;15.681333;13.5;85.733333;;
83995;31/10/1961;0000;27;3.967391;14;75.5;;;181.6;7.129032;9;66;;;23.096774;20.010323;17.696774;86.258065;;
83995;30/11/1961;0000;5;2.844444;9;81.7;;;227.9;4.622222;9;63.6;;;24.633333;21.074667;18.373333;80.316667;;
83995;31/01/1962;0000;5;3.48913;10;123.3;;;317.5;3.434783;9;46.7;;;26.63871;23.063226;20.16129;74.427419;;
83995;28/02/1962;0000;9;3;9;107.5;;;265.8;4.083333;8;36.7;;;25.7;22.037143;19.292857;74.651786;;
83995;31/03/1962;0000;5;2.430108;6;80.2;;;213.9;5.902174;10;180.1;;;26.122581;22.694194;20.180645;83.903226;;
83995;30/04/1962;0000;5;2.788889;8;81.5;;;207.9;4.822222;9;59.8;;;22.373333;18.576;15.866667;81.491667;;
83995;31/05/1962;0000;0;2.924731;8;70.1;;;208.5;5.021505;6;28.7;;1018.38172;18.464516;14.316129;11.451613;84.387097;;
83995;30/06/1962;0000;5;2.089888;6;47;;;178;5.888889;5;13.1;;;17.413333;13.28;10.4;88.358333;;
83995;31/07/1962;0000;23;3.076087;8;46.5;;;138.5;7.217391;13;116.2;;;14.787097;11.769032;9.6;88.830645;;
83995;31/08/1962;0000;32;3.290323;12;52.4;;;179.5;6.784946;8;67.4;;;16.380645;12.703226;10.341935;84.282258;;
83995;30/09/1962;0000;0;3.696629;14;71;;;173.9;5.411111;7;142.2;;;17.9;14.801333;12.42;82.05;;
83995;30/11/1962;0000;14;3.370787;7;74.8;;;278.2;4.247191;5;46.3;;;23.486667;20.24;17.62;78.646552;;
83995;31/12/1962;0000;36;3.204301;8;100.8;;;285.8;3.290323;2;19;;;25.832258;22.793548;20.593548;77.016129;;
