--------------------
BDMEP - INMET
--------------------
Estação           : SANTA MARIA - RS (OMM: 83936)
Latitude  (graus) : -29.7
Longitude (graus) : -53.7
Altitude  (metros): 95.00
Estação Operante
Inicio de operação: 01/01/1912
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83936;31/01/1961;0000;;2.728261;9;94.8;;;212.8;5.456522;6;106.9;;994.608696;32.106452;25.344516;19.083871;67.637097;;
83936;28/02/1961;0000;;3.440476;9;77.6;;;173.3;6.309524;9;126.2;;996.261905;31.253571;24.54;19.292857;72.258929;;
83936;31/03/1961;0000;;2.612903;12;61.8;;;177.3;5.870968;14;200.8;;998.15914;27.732258;21.472903;16.609677;77.274194;;
83936;30/04/1961;0000;;1.855556;7;39.8;;;126.7;6.822222;11;126.3;;998.703333;23.54;18.323333;14.31;82.675;;
83936;31/05/1961;0000;;1.451613;5;30.7;;;133.6;5.268817;7;129.4;;;22.293548;16.508387;11.832258;84.008065;;
83936;30/06/1961;0000;;3.022989;12;51.4;;;114.5;6.9;13;268.4;;;19.896667;14.909333;10.683333;80.725;;
83936;31/07/1961;0000;;2.290323;12;44.8;;;95.5;6.602151;9;76.7;;;19.906452;14.339355;9.880645;81.782258;;
83936;30/09/1961;0000;;3.147727;12;44.6;;;100.2;8.269663;17;239;;997.823596;21.956667;16.984;12.636667;82.658333;;
83936;31/10/1961;0000;;2.623656;9;51.3;;;175.8;6.956989;14;299.6;;996.452688;26.248387;20.667742;15.932258;80.354839;;
83936;30/11/1961;0000;;1.977778;9;65.2;;;216.9;4.888889;11;90.7;;995.118889;29.23;22.508667;16.76;73.166667;;
83936;31/12/1961;0000;;2.763441;9;91;;;192.5;4.612903;8;99.9;;995.335484;30.222581;23.83871;18.009677;66.983871;;
83936;31/01/1962;0000;;3.322581;9;95;;;192.3;5.064516;6;39.3;;995.777419;30.690323;24.035484;17.587097;63.975806;;
83936;28/02/1962;0000;;2.119048;12;80.1;;;177.9;5.5;5;124.9;;996.241667;29.071429;22.512857;16.582143;67.160714;;
83936;31/03/1962;0000;;1.980645;9;61.8;;;186.7;5.516129;13;264.4;;996.597849;28.816129;22.736129;17.693548;75.233871;;
83936;30/04/1962;0000;;1.755556;9;40.8;;;151.9;5.511111;6;39.2;;999.83;24.203333;18.056;13.256667;80.408333;;
83936;31/05/1962;0000;;1.569892;7;35.9;;;134.6;6;8;50.1;;;19.951613;13.817419;9.083871;78.806452;;
83936;30/06/1962;0000;;3.363636;12;62.6;;;151.1;5.144444;3;19.8;;;20.426667;14.16;9.203333;72.258333;;
83936;31/07/1962;0000;;2.473118;9;29.2;;;71.3;7.55914;12;73.5;;;15.912903;10.942581;7.183871;83.637097;;
83936;30/09/1962;0000;;4;9;55.5;;;135.1;5.730337;10;86;;;23.146667;16.596;10.91;74.7;;
83936;31/10/1962;0000;;2.612903;9;70.9;;;172.8;5.688172;6;52.4;;;24.612903;17.671613;11.287097;68.41129;;
83936;30/11/1962;0000;;2.911111;9;90.1;;;184.5;4.822222;6;41.9;;996.716667;29.5;22.703333;16.333333;64.675;;
83936;31/12/1962;0000;;3.634409;12;117.4;;;148.7;4.946237;5;46.4;;995.548387;31.954839;24.751613;17.519355;56.733871;;
83936;31/01/1963;0000;;2.88172;7;69.5;;;60.8;7.247312;12;271.9;;993.949462;29.932258;24.305806;19.164516;75.016129;;
83936;28/02/1963;0000;;2.630952;9;59.2;;;132.3;6.452381;9;57.9;;996.810714;29.864286;24.408571;19.464286;74.142857;;
83936;31/03/1963;0000;;1.913978;9;56.3;;;153.9;6.182796;10;101.9;;997.57957;29.019355;23.347742;18.651613;78.266129;;
83936;30/04/1963;0000;;1.488889;9;49.2;;;138.7;4.955556;7;52.6;;999.321111;25.85;19.522667;14.546667;75.941667;;
83936;31/05/1963;0000;;2.387097;12;41.7;;;69.3;5.88172;8;96.6;;;22.770968;16.892903;12.477419;78.516129;;
83936;30/06/1963;0000;;3.52809;12;49.2;;;56.7;6.288889;5;47.4;;;20.693333;14.946667;10.286667;72.858333;;
83936;31/07/1963;0000;;3.798913;12;55.3;;;30.6;7.397849;7;78.7;;;21.629032;15.845161;10.916129;74.395161;;
83936;31/08/1963;0000;;3.247312;9;49.8;;;29.2;8.505376;12;108.7;;999.446237;20.306452;14.650968;9.922581;78.314516;;
83936;31/10/1963;0000;;2.85;9;48.3;;;138.4;6.913043;14;335.8;;998.718478;23.925806;18.365161;13.622581;80.016129;;
83936;30/11/1963;0000;;2.905682;12;52.7;;;131.7;7.2;16;232.2;;995.394444;26.336667;20.516;15.36;77.8;;
83936;31/12/1963;0000;;4.1;12;84.4;;;157.8;5.870968;8;65.1;;997.360215;28.667742;22.843871;17.241935;69.685484;;
83936;31/01/1964;0000;;3.236559;12;96.8;;;145.6;5.473118;5;142.3;;995.780645;30.970968;24.469677;18.109677;64.41129;;
83936;29/02/1964;0000;;3.666667;9;66.2;;;115;6.011494;8;119.1;;994.627586;29.296552;23.664828;18.651724;74.206897;;
83936;31/03/1964;0000;;3.129032;12;66.4;;;112.5;6.548387;8;81.2;;999.013978;28.551613;22.379355;17.483871;74.024194;;
83936;30/04/1964;0000;;2.314607;5;38.5;;;85.4;6.933333;10;201.1;;;24.246667;18.965333;14.566667;82.908333;;
83936;31/05/1964;0000;;1.569892;12;33.7;;;112.6;5.376344;4;27.2;;;22.835484;16.296129;11.390323;81.830645;;
83936;30/06/1964;0000;;1.977011;12;38.2;;;78.4;5.455556;9;53.5;;1002.37;17.673333;11.282;6.35;80.191667;;
83936;31/07/1964;0000;;2.677419;12;40.5;;;81;6.268817;7;71.1;;;17.809677;11.656129;6.46129;77.798387;;
83936;31/08/1964;0000;;2.933333;12;53.1;;;77.9;6.107527;13;195.9;;;21.141935;14.789677;9.66129;79.008065;;
83936;30/09/1964;0000;;2.786517;12;41.3;;;86.9;7.188889;13;193.2;;;21.983333;16.180667;11.37;80.45;;
83936;30/11/1964;0000;;3.730337;9;80.5;;;176.9;6.146067;8;49.8;;998.108989;26.69;19.764;13.33;66.883333;;
83936;31/12/1964;0000;;2.569892;9;80.7;;;166.4;5.290323;10;219.6;;994.109677;28.519355;22.218065;16.090323;67.475806;;
83936;31/01/1965;0000;;2.795699;7;93.5;;;143.1;5.569892;4;52.7;;994.844086;30.932258;24.442581;17.990323;65.266129;;
83936;28/02/1965;0000;;2.297619;7;84.7;;;119.1;5.654762;;73.1;;992.738095;32.357143;25.525714;19.428571;64.446429;;
83936;31/03/1965;0000;;2.526882;9;72.6;;;132.3;5.741935;10;35;;998.206452;27.245161;20.654839;15.041935;68.564516;;
83936;30/04/1965;0000;;2.611111;9;47.6;;;135.3;6.577778;11;208.8;;999.38;24.776667;18.738;13.79;78.65;;
83936;31/05/1965;0000;;2.130435;12;43.8;;;74.1;5.806452;9;58.1;;;21.358065;15.483871;11.025806;79.217742;;
83936;30/06/1965;0000;;2.055556;9;29.6;;;72.8;7.077778;12;84.9;;;21.69;16.316;12.033333;86.2;;
83936;31/07/1965;0000;;3.615385;12;54;;;75.9;6.44086;10;61.7;;;19.016129;13.276129;8.36129;76.685484;;
83936;31/08/1965;0000;;2.831461;12;49.5;;;84.5;6.913978;19;164;;999.256989;20.335484;15.283871;10.980645;82.16129;;
83936;30/09/1965;0000;;3.447761;12;29.4;;;;7.671642;12;164.6;;998.691045;21.634783;16.378182;11.452174;;;
83936;31/10/1965;0000;;3.666667;12;68.3;;;223.6;4.956989;11;254.8;;997.415054;26.358065;19.725806;13.735484;69.66129;;
83936;30/11/1965;0000;;3.311111;9;61.5;;;183.2;6.855556;10;127.9;;997.515556;27.41;21.24;15.753333;74.183333;;
83936;31/12/1965;0000;;2.72043;9;57.4;;;113.2;6.806452;13;290.9;;994.943011;28.029032;22.680645;17.341935;77.120968;;
83936;31/01/1966;0000;;2.677419;9;62.4;;;116.3;6.870968;9;146;;994.935484;29.096774;23.864516;18.932258;75.556452;;
83936;28/02/1966;0000;;;;;;;;;;49.8;;;;;;;;
83936;31/03/1966;0000;;2.467391;12;51.8;;;104.4;6.445652;12;313;;997.741304;27.583871;21.829032;16.990323;78.508065;;
83936;30/04/1966;0000;;3.111111;9;39.3;;;115.5;7.766667;11;69.5;;;25.37;19.761333;15.71;82.175;;
83936;31/05/1966;0000;;1.666667;7;37.7;;;163.5;5.473118;2;7.2;;;23.183871;16.323871;11.193548;79.024194;;
83936;30/06/1966;0000;;2.966292;12;41.2;;;103.3;6.788889;13;165.4;;999.702222;20.993333;15.080667;10.156667;79.883333;;
83936;31/07/1966;0000;;2.824176;9;36.8;;;58.5;7.451613;12;210;;;19.609677;14.377419;10.183871;82.556452;;
83936;31/08/1966;0000;;3.288889;12;49;;;92.2;6.129032;9;144.4;;;19.280645;12.933548;7.745161;75.032258;;
83936;30/09/1966;0000;;3.111111;9;40.8;;;122.5;7.1;9;171.8;;1003.17;19.986667;14.598;9.56;77.208333;;
83936;31/10/1966;0000;;3.571429;9;56.3;;;158;6.247312;12;181;;998.407527;23.76129;18.066452;13.074194;74.814516;;
83936;30/11/1966;0000;;3.244444;9;63.3;;;177.1;6.3;8;184.9;;997.45;28.23;22.004;16.26;72.275;;
83936;31/12/1966;0000;;3.333333;9;60.5;;;117.4;6.83871;11;241.6;;994.290323;27.96129;22.523871;17.745161;75.217742;;
83936;31/01/1967;0000;;2.731183;9;73.7;;;114.2;5.580645;8;93.5;;995.410753;29.63871;23.615484;18.122581;70.5;;
83936;28/02/1967;0000;;3.416667;7;70.3;;;94.5;6.178571;9;89.2;;996.295238;29.546429;23.942857;18.896429;72.419643;;
83936;31/03/1967;0000;;2.040506;7;43.5;;;;6.291139;5;71.9;;999.4;26.319231;20.83;15.851852;75.817308;;
83936;30/04/1967;0000;;1.822222;7;44.5;;;90.6;4.533333;3;26.1;;;25.42;19.104667;13.806667;76.266667;;
83936;31/05/1967;0000;;2.554348;9;51;;;50.3;6.27957;7;72.8;;;25.325806;19.504516;14.893548;76.677419;;
83936;31/07/1967;0000;;2.864865;12;38.7;;;;6.171053;5;44.6;;;20.003846;14.932;10.523077;78.25;;
