--------------------
BDMEP - INMET
--------------------
Estação           : SANTANA DO LIVRAMENTO - RS (OMM: 83953)
Latitude  (graus) : -30.83
Longitude (graus) : -55.6
Altitude  (metros): 328.00
Estação Operante
Inicio de operação: 01/06/1912
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83953;31/01/1961;0000;0;0.793478;3;;;;;5.945652;6;152.9;;;31.751613;24.737419;17.890323;67.056452;;
83953;31/03/1961;0000;0;0.629213;3;;;;;5.730337;10;124.4;;;27.443333;20.695333;15.23;76.691667;;
83953;30/04/1961;0000;23;0.544444;3;;;;;6.488889;8;63.2;;;22.62;16.688667;11.813333;81.2;;
83953;31/05/1961;0000;0;0.397849;3;;;;;5.44086;4;72;;;22.490323;15.539355;10.641935;84.975806;;
83953;30/06/1961;0000;0;1.3;5;;;;;7.822222;7;130.9;;;18.19;12.494667;7.776667;81.633333;;
83953;31/07/1961;0000;18;0.655914;5;;;;;5.16129;8;73.3;;;18.032258;11.93871;6.912903;81.798387;;
83953;31/08/1961;0000;0;0.591398;3;;;;;7.182796;5;34.2;;;21.841935;15.243871;10.274194;79.725806;;
83953;30/09/1961;0000;18;1.288889;3;;;;;7.188889;12;293;;;20.853333;15.168;10.276667;77.791667;;
83953;31/10/1961;0000;0;1;5;;;;;8.064516;10;267.2;;;26.174194;20.241935;14.919355;79.395161;;
83953;30/11/1961;0000;14;0.855556;3;;;;;5.955556;5;43.4;;;28.376667;21.788667;15.65;71.566667;;
83953;31/12/1961;0000;18;1.064516;5;;;;;6.11828;8;168.9;;;29.919355;23.047097;16.583871;69.266129;;
83953;31/01/1962;0000;0;1.129032;3;;;;;4.763441;4;50.6;;;31.003226;23.772903;16.645161;62.306452;;
83953;28/02/1962;0000;18;0.809524;3;;;;;5.202381;6;86.1;;;29.096429;22.153571;15.642857;67.776786;;
83953;30/04/1962;0000;0;0.685393;3;;;;;6.044944;4;91.8;;;23.636667;16.73;11.116667;77.533333;;
83953;31/05/1962;0000;0;0.526882;3;;;;;6.698925;4;15.5;;;19.725806;12.795484;7.73871;76.5;;
83953;30/06/1962;0000;36;0.944444;5;;;;;6.355556;3;10.1;;;19.446667;12.17;7.013333;75.775;;
83953;31/07/1962;0000;;;;;;;;;;84.3;;;;;;;;
83953;30/09/1962;0000;36;;3;;;;;6.160714;4;139.3;;;20.6;14.681053;9.315789;;;
83953;31/10/1962;0000;0;0.677419;3;;;;;6.086022;5;113.4;;;23.525806;16.558065;9.706452;68.193548;;
83953;30/11/1962;0000;0;0.722222;5;;;;;4.588889;4;85.3;;;29.346667;21.965333;14.826667;65.7;;
83953;31/12/1962;0000;0;0.83871;3;;;;;4.408602;4;108.8;;;31.316129;23.602581;16.041935;65.758065;;
83953;31/01/1963;0000;14;0.83871;3;;;;;6.913978;12;294;;;30.222581;23.338667;18;75.266129;;
83953;28/02/1963;0000;0;0.630952;3;;;;;6.214286;3;43.7;;;30.771429;24.073571;18.392857;75.321429;;
83953;31/03/1963;0000;0;0.827957;5;;;;;6.215054;10;162;;;28.887097;22.309032;17.096774;79.733871;;
83953;30/04/1963;0000;0;0.522222;3;;;;;5.433333;3;85.1;;;25.87;18.843333;13.383333;78.858333;;
83953;31/05/1963;0000;0;0.516129;3;;;;;6.27957;6;82.6;;;21.519355;15.085161;10.358065;83.766129;;
83953;30/06/1963;0000;0;1;5;;;;;7.622222;5;44.8;;;18.883333;13.104667;8.68;80.791667;;
83953;31/07/1963;0000;0;0.612903;3;;;;;7.473118;6;85.9;;;19.877419;13.650323;9.13871;82.419355;;
83953;31/08/1963;0000;0;0.817204;3;;;;;7.666667;5;112.8;;;19.322581;13.226452;8.448387;78.145161;;
83953;30/09/1963;0000;0;0.788889;5;;;;;8.777778;15;242.8;;;21.483333;16.655333;12.82;81.708333;;
83953;31/10/1963;0000;0;0.806452;5;;;;;5.892473;10;369.5;;;23.177419;17.406452;12.367742;82.225806;;
83953;30/11/1963;0000;0;0.9;3;;;;;8.3;14;228.4;;;24.65;18.980667;13.873333;79.141667;;
83953;31/12/1963;0000;14;0.591398;5;;;;;4.387097;7;124.3;;;29.112903;22.130968;16.716129;78.298387;;
83953;31/01/1964;0000;0;1.010753;3;;;;;3.612903;3;81.5;;;32.029032;24.342581;16.535484;64.177419;;
83953;29/02/1964;0000;0;1.045977;5;;;;;5.724138;3;61.2;;;30.348276;23.165517;16.931034;74.077586;;
83953;30/04/1964;0000;18;0.505618;1;;;;;6.067416;9;223.8;;;23.266667;17.462;12.786667;84.091667;;
83953;31/05/1964;0000;18;0.344086;3;;;;;5.064516;3;12.8;;;22.490323;15.510323;10.390323;84.766129;;
83953;30/06/1964;0000;0;0.566667;5;;;;;5.988889;4;92.6;;;16.203333;9.336667;4.303333;80.375;;
83953;31/07/1964;0000;0;0.591398;3;;;;;5.591398;4;20.6;;;16.664516;10.337419;5.190323;78.258065;;
83953;31/08/1964;0000;0;0.817204;7;;;;;5.978495;12;77.6;;;18.870968;12.43871;7.158065;80.572581;;
83953;30/09/1964;0000;0;0.858824;5;;;;;7.917647;7;40;;;21.12069;15.462857;10.444828;80.196429;;
83953;31/10/1964;0000;0;0.72043;3;;;;;5.849462;2;49.4;;;23.003226;16.331613;10.174194;70.975806;;
83953;30/11/1964;0000;0;0.966667;3;;;;;6.455556;8;70.9;;;25.886667;19.020667;12.05;70.458333;;
83953;31/12/1964;0000;18;0.870968;3;;;;;4.903226;7;85.2;;;29.96129;22.605161;15.16129;63.362903;;
83953;31/01/1965;0000;0;0.827957;3;;;;;4.322581;5;28.8;;;32.654839;24.915484;17.532258;60.556452;;
83953;28/02/1965;0000;0;0.583333;3;;;;;4.833333;;6.8;;;34.4;25.734286;18.817857;59.660714;;
83953;31/03/1965;0000;0;0.956989;3;;;;;6.333333;6;70.3;;;27.354839;19.852258;13.683871;68.387097;;
83953;31/05/1965;0000;0;0.413043;3;;;;;7.043478;5;86.6;;;19.987097;13.897419;9.093548;80.620968;;
83953;30/06/1965;0000;0;0.271429;1;;;;;6.042857;3;29.4;;;21.904167;15.778261;11.679167;90.586957;;
83953;31/07/1965;0000;0;0.946237;5;;;;;6.677419;3;16.6;;;17.129032;11.191613;6.658065;80.814516;;
