--------------------
BDMEP - INMET
--------------------
Estação           : TORRES - RS (OMM: 83948)
Latitude  (graus) : -29.35
Longitude (graus) : -49.73
Altitude  (metros): 4.66
Estação Operante
Inicio de operação: 01/01/1913
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83948;31/01/1961;0000;5;5.934783;14;90.3;;;;6.880435;7;42;;;24.922581;22.428387;19.219355;82.580645;;
83948;28/02/1961;0000;36;5.511905;14;80.5;;;;7.047619;11;72.5;;;25.985714;23.027143;20.107143;83.875;;
83948;31/03/1961;0000;9;5.731183;14;103.6;;;;5.860215;12;152.9;;;24.890323;21.556129;17.967742;82.25;;
83948;30/04/1961;0000;5;5.322222;14;100.3;;;;6.333333;9;127.7;;;23.173333;19.870667;16.533333;82.016667;;
83948;31/05/1961;0000;18;4.086022;14;66.5;;;;5.043011;3;29;;;21.670968;18.015484;14.219355;85.935484;;
83948;30/06/1961;0000;5;3.953333;14;72.5;;;;5.388889;9;121.7;;;19.593333;16.096;12.526667;84.391667;;
83948;31/08/1961;0000;5;5.163043;10;87.4;;;;7.576087;7;75.2;;;21.703226;17.492903;13.980645;83.83871;;
83948;30/09/1961;0000;23;5.797753;14;56.5;;;;9.222222;15;221.5;;;19.966667;17.154667;14.6;89.391667;;
83948;31/10/1961;0000;36;6.72043;14;72.3;;;;7.322581;12;121.2;;;22.909677;19.847742;17.116129;88.540323;;
83948;30/11/1961;0000;5;5.666667;14;63.4;;;;7.022222;15;163.2;;;23.673333;20.510667;17.626667;89.125;;
83948;31/12/1961;0000;5;3.795699;10;98.5;;;;5.580645;10;79.3;;;25.109677;21.900645;18.587097;87.193548;;
83948;31/01/1962;0000;9;5.451613;14;136.5;;;;5.913978;6;26;;;25.812903;22.459355;18.709677;82.056452;;
83948;28/02/1962;0000;;;;;;;;;;28.6;;;;;;;;
83948;31/03/1962;0000;18;5.391892;14;84.2;;;;6.432432;11;153.4;;;25.808;22.724;19.436;83.73;;
