--------------------
BDMEP - INMET
--------------------
Estação           : URUGUAIANA - RS (OMM: 83927)
Latitude  (graus) : -29.75
Longitude (graus) : -57.08
Altitude  (metros): 62.31
Estação Operante
Inicio de operação: 01/02/1912
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83927;31/01/1961;0000;9;2.521739;7;152.4;;;280.9;4.532609;5;85;;;33.258065;27.059355;20.670968;64.991935;;
83927;28/02/1961;0000;5;2.119048;7;148.3;;;192.7;6.547619;9;203.4;;;31.439286;25.225;20.707143;72.089286;;
83927;31/03/1961;0000;14;2.354839;9;159.3;;;194;4.860215;9;192.1;;;27.9;22.209677;17.448387;71.266129;;
83927;30/04/1961;0000;5;1.388889;5;133.2;;;177.9;5.588889;12;186.9;;;23.756667;18.77;14.32;76.558333;;
83927;31/05/1961;0000;14;1.666667;7;126.3;;;232.3;2.913978;5;240.8;;;23.293548;17.786452;13.267742;72.967742;;
83927;30/06/1961;0000;14;3.211111;9;129.8;;;121.2;5.966667;10;91.7;;;18.61;14.104667;10.22;74.133333;;
83927;31/07/1961;0000;9;1.72043;9;143.9;;;196.9;4.290323;7;50;;;19.283871;13.797419;9.487097;72.120968;;
83927;31/08/1961;0000;;;;;;;;;;0;;;;;;;;
83927;30/09/1961;0000;5;3.078652;9;131.4;;;187.1;6.325843;13;231.5;;;22.45;17.175333;12.476667;74.3;;
83927;31/10/1961;0000;14;2.032258;9;141.3;;;214.1;5.591398;10;280.7;;;26.370968;21.341935;16.916129;73.467742;;
83927;30/11/1961;0000;9;1.833333;7;124.3;;;270.4;4.5;10;82.6;;;29.386667;23.58;18.106667;66.458333;;
83927;31/12/1961;0000;18;2.771739;12;150.4;;;320.1;3.795699;9;144.2;;;30.548387;24.784516;19.054839;65.572581;;
83927;31/01/1962;0000;9;2.591398;7;142.5;;;307.4;3.344086;4;14.9;;;32.390323;25.872258;19.316129;61.395161;;
83927;28/02/1962;0000;9;2.5;12;125.2;;;256;4.297619;6;82.8;;;31.167857;24.472857;18.253571;64.669643;;
83927;31/03/1962;0000;5;1.505376;7;139.6;;;228.4;4.967742;11;204.7;;;29.732258;23.972903;19.041935;71.693548;;
83927;30/04/1962;0000;5;2.122222;12;149.7;;;239.9;3.611111;7;49.1;;;24.836667;19.012667;14.06;67.691667;;
83927;31/05/1962;0000;14;1.655914;5;134.9;;;206.2;4.150538;5;43.4;;1012.64086;20.66129;14.772903;9.854839;68.959677;;
83927;30/06/1962;0000;9;2.311111;9;147.7;;;208.2;3.388889;2;1.5;;1011.63;20.2;13.850667;8.533333;67.108333;;
83927;31/07/1962;0000;18;2.172043;9;138.4;;;133.8;6.086022;13;52.1;;;15.280645;10.794839;6.596774;75.580645;;
83927;31/08/1962;0000;23;2.645161;13;149.7;;;225.1;4.247312;5;39.9;;;20.248387;14.067097;8.712903;70.258065;;
83927;30/09/1962;0000;9;3.328571;8;115.4;;;;2.6;3;19.2;;;24.625;18.078261;11.95;65.663043;;
83927;31/10/1962;0000;9;2.548387;7;150.1;;;277.7;3.677419;6;45.2;;;25.070968;18.943871;12.519355;65.854839;;
83927;30/11/1962;0000;5;2.422222;9;153.1;;;298.1;4.588889;8;128.5;;1005.07;30.743333;24.030667;17.45;66.15;;
83927;31/01/1963;0000;5;2.532609;9;132;;;257.9;5.923913;10;226.7;;;31.987097;25.242143;20.458065;68.685484;;
