--------------------
BDMEP - INMET
--------------------
Estação           : FLORIANOPOLIS - SC (OMM: 83897)
Latitude  (graus) : -27.58
Longitude (graus) : -48.56
Altitude  (metros): 1.84
Estação Operante
Inicio de operação: 01/12/1921
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83897;31/07/1961;0000;36;3.346739;9;88.7;;;195.1;4.402174;5;47.1;;;22.164516;17.922581;15.270968;83.435484;;
83897;31/08/1961;0000;14;3.412903;9;115;;;170.3;5.053763;8;22.3;;1014.04086;23.006452;19.39871;17.090323;86.201613;;
83897;30/09/1961;0000;14;3.503333;9;79.5;;;52.1;8.566667;20;236.7;;1011.45;22.076667;19.19;17.053333;92.375;;
83897;31/10/1961;0000;32;4.150538;9;116.9;;;152.6;6.591398;16;154;;;24.983871;21.790968;19.254839;90.217742;;
83897;30/11/1961;0000;5;4.331461;9;135.2;;;168.2;6.788889;15;122.4;;;25.576667;22.184;19.623333;88.6;;
83897;31/12/1961;0000;36;3.784946;9;161.7;;;220.5;5.935484;20;138.1;;;27.593548;23.908387;21.264516;87.459677;;
83897;31/01/1962;0000;5;4.311828;12;168.5;;;206.6;6.032258;18;104.2;;;27.170968;23.573548;21.067742;87.653226;;
83897;28/02/1962;0000;23;4;12;137.3;;;198.1;5.940476;15;204.3;;;26.964286;23.333571;20.567857;88.339286;;
83897;31/03/1962;0000;5;3.645161;12;130.8;;;165.8;6.27957;18;267.4;;;26.906452;23.663871;21.454839;90.879032;;
83897;30/04/1962;0000;36;2.722222;9;132.3;;;150.6;6.255556;9;58.8;;;24.7;21.089333;18.583333;89.083333;;
83897;31/05/1962;0000;5;2.591398;9;116.5;;;196.4;4.462366;10;85.8;;;21.56129;17.716774;14.906452;89.322581;;
83897;30/06/1962;0000;14;3.333333;12;106.7;;;201.2;3.966667;5;25.9;;;19.87;15.796667;12.97;89.35;;
83897;31/07/1962;0000;36;2.967742;12;103;;;182.4;5.548387;13;100.6;;;18.880645;15.390968;12.903226;90.483871;;
83897;31/08/1962;0000;23;3.795699;12;118.9;;;195.5;4.55914;5;13.6;;;19.303226;15.91871;13.554839;89.508065;;
83897;30/09/1962;0000;36;4.877778;12;115.3;;;114.6;7.333333;13;110.5;;;20.083333;17.342;14.93;85.916667;;
83897;31/10/1962;0000;36;4.290323;12;147.8;;;157.2;7;11;54.3;;;21.474194;18.387742;15.974194;76.887097;;
83897;30/11/1962;0000;14;4.455556;12;155.7;;;182.2;6.211111;10;50.1;;;25.06;21.435333;18.726667;76.341667;;
83897;31/12/1962;0000;18;3.641304;12;156.1;;;209.1;6.27957;13;35.6;;;26.190323;22.83871;20.396774;76.862903;;
83897;31/01/1963;0000;14;3.827957;10;137.9;;;164.7;6.913978;18;325.9;;;27.867742;24.397419;21.996774;82.548387;;
83897;28/02/1963;0000;14;;9;80.1;;;;7.084746;12;46.3;;;27.815;24.482105;22.31;;;
83897;30/04/1963;0000;5;1.279412;7;;;;;3.058824;;;;1011.425;;;;;;
83897;31/05/1963;0000;36;2.204301;9;51.3;;;;3.623656;;0;;;23.2;19.018667;16.18;;;
83897;30/06/1963;0000;18;3.477778;12;105.9;;;193.4;4.033333;3;24.2;;;21.296667;17.272667;14.426667;79.733333;;
83897;31/07/1963;0000;0;3.903226;9;100.2;;;188.9;5.44086;10;39.5;;;21.603226;17.705161;15.003226;82.354839;;
83897;31/08/1963;0000;36;3.913978;12;105.2;;;135.6;7.462366;11;58.2;;;20.183871;17;14.596774;82.072581;;
83897;30/09/1963;0000;36;4.066667;12;79.8;;;69.9;8.5;11;145.2;;;22.016667;19.051333;16.943333;87.783333;;
83897;31/10/1963;0000;18;4.526882;12;117.6;;;97.6;8.419355;17;124.9;;;22.2;19.607097;17.470968;82.362903;;
83897;30/11/1963;0000;36;4.566667;12;113.5;;;114.1;7.611111;15;94.3;;;24.24;21.084;18.643333;82.808333;;
83897;31/12/1963;0000;36;5.032609;14;142.7;;;157.9;7.408602;11;29.8;;;25.603226;22.382581;20.009677;78.887097;;
83897;31/01/1964;0000;23;4.806452;12;170.1;;;204.1;6.763441;12;28.5;;1008.77957;27.741935;23.910968;21.419355;77.516129;;
83897;29/02/1964;0000;36;4.781609;12;136.1;;;176.9;6.597701;10;53.2;;;28.196552;24.14;21.651724;80.853448;;
83897;31/03/1964;0000;36;4.870968;12;141.1;;;237.3;6.451613;8;70.4;;;27.245161;23.374194;20.916129;81.080645;;
83897;30/04/1964;0000;0;3.666667;9;85.8;;;154.2;8.544444;20;79.1;;;24.383333;21.330667;19.263333;86.583333;;
83897;31/05/1964;0000;36;2.993548;9;108.3;;;231;4.010753;6;88.6;;;23.780645;19.231613;16.290323;80.766129;;
83897;30/06/1964;0000;0;3.940449;12;99.7;;;204.3;4.744444;10;68.3;;;20.16;16.183333;13.293333;80.083333;;
83897;31/07/1964;0000;23;2.935484;12;78.2;;;210.9;4.322581;9;61.2;;;19.196774;14.515484;11.432258;82.58871;;
83897;31/08/1964;0000;36;4.88172;12;95.4;;;166.1;7.731183;12;25.9;;;20.351613;17.033548;14.948387;84.048387;;
83897;30/09/1964;0000;36;4.555556;12;103.2;;;180.1;6.722222;9;70.5;;1013.95;21.476667;17.944667;15.516667;82.9;;
83897;31/10/1964;0000;36;3.863441;9;125.2;;;202.1;7.021505;15;176.8;;;22.858065;19.19871;16.76129;81.080645;;
83897;30/11/1964;0000;18;5.235955;12;165.4;;;226.9;5.9;6;36.4;;;24.193333;20.466667;17.813333;78.35;;
83897;31/12/1964;0000;14;5;14;163.2;;;225.3;6.666667;12;67.6;;;26.051613;22.194194;19.564516;78.274194;;
