--------------------
BDMEP - INMET
--------------------
Estação           : INDAIAL - SC (OMM: 83872)
Latitude  (graus) : -26.9
Longitude (graus) : -49.21
Altitude  (metros): 86.13
Estação Operante
Inicio de operação: 14/10/1970
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83872;31/12/1970;0000;0;;9;48.3;;;;8.423077;13;242.4;;;30.35;23.662353;19.741176;;;
83872;31/01/1971;0000;5;1.688172;9;98.2;;;194.2;7.010753;17;216.9;;;31.748387;24.845806;20.880645;78.274194;;
83872;28/02/1971;0000;36;1.357143;12;73.8;;;149.6;8.047619;19;172.4;;;31.696429;25.113571;21.432143;80.955357;;
83872;31/03/1971;0000;0;1.182796;7;57.5;;;150.5;8.107527;22;257.8;;;29.232258;23.504516;20.419355;82.306452;;
83872;30/04/1971;0000;0;1.711111;12;83.1;;;196.2;6.088889;11;185.5;;;25.68;19.522667;16.686667;76.491667;;
83872;31/05/1971;0000;0;1.258065;5;61.1;;;154.2;6.354839;;93;;;22.03871;16.674194;13.587097;81.967742;;
83872;30/06/1971;0000;0;1.222222;7;55;;;124.8;6.677778;15;130.7;;;19.39;14.388667;11.13;81.1;;
83872;31/07/1971;0000;0;1.129032;7;57.3;;;158.9;5.849462;;105.1;;;21.8;16.043871;12.548387;79.427419;;
83872;31/08/1971;0000;9;1.623656;9;59.4;;;119.1;7.935484;17;60.9;;1011.98172;21.896774;17.610968;14.635484;78.266129;;
83872;30/09/1971;0000;0;1.622222;5;70.5;;;164.3;6.833333;17;115.7;;;24.8;19.642;16.5;78.408333;;
83872;31/10/1971;0000;0;2.129032;8;98.4;;;188.6;7.107527;;103;;;25.406452;20.065161;16.306452;72.403226;;
83872;30/11/1971;0000;9;2.4;7;136.6;;;204.7;6.333333;;54.4;;;27.876667;21.624;17.216667;66.733333;;
83872;31/12/1971;0000;9;2.247312;12;139.5;;;209.2;6.548387;;36.6;;998.515054;31.083871;23.772667;19.187097;67.991935;;
83872;31/01/1972;0000;9;1.709677;5;101.2;;;184.1;7.419355;21;222.9;;998.206452;30.854839;24.594839;20.748387;75.217742;;
83872;29/02/1972;0000;5;1.517241;5;73.6;;;162.3;7.597701;20;245.8;;999.916092;29.006897;23.629655;20.210345;77.724138;;
83872;31/03/1972;0000;27;1.741935;7;96.1;;;199.7;6.268817;15;178.3;;;30.141935;24.156129;20.393548;74.677419;;
83872;30/04/1972;0000;18;1.8;9;78.8;;;202.9;5.144444;;38.8;;;26.046667;20.179333;16.55;73.858333;;
83872;31/05/1972;0000;0;1.494624;5;64.6;;;173;6.333333;;5.9;;;26.003226;20.370968;17.232258;77.58871;;
83872;30/06/1972;0000;0;1.822222;5;70.4;;;134.3;6.222222;;104.8;;;24.603333;19.015333;15.663333;76.141667;;
83872;31/07/1972;0000;0;1.623656;7;66.5;;;116.6;6.516129;;113;;;21.174194;16.203871;13.370968;75.379032;;
83872;31/08/1972;0000;5;1.591398;9;71.7;;;97.3;7.935484;15;209.1;;1006.3;21.893548;17.565161;14.964516;73.467742;;
83872;30/09/1972;0000;23;1.555556;7;58.1;;;68;8.055556;20;146.5;;;22.076667;18.156;15.48;77.716667;;
83872;31/10/1972;0000;5;1.741935;7;78.1;;;93.6;8.258065;18;106.7;;;23.822581;19.407097;16.625806;75.25;;
83872;30/11/1972;0000;9;2;7;88.9;;;106.4;8.122222;16;82.1;;;26.733333;21.984;18.99;73.241667;;
83872;31/12/1972;0000;0;1.763441;5;111.5;;;193.3;6.774194;17;291.1;;;29.722581;24.103871;20.341935;68.975806;;
83872;31/01/1973;0000;9;1.711828;5;89;;;181.4;7.516129;23;343.5;;;30.880645;25.070968;21.635484;75.5;;
