--------------------
BDMEP - INMET
--------------------
Estação           : LAGES - SC (OMM: 83891)
Latitude  (graus) : -27.81
Longitude (graus) : -50.33
Altitude  (metros): 936.83
Estação Operante
Inicio de operação: 01/01/1914
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83891;31/01/1961;0000;32;2.586957;12;73.9;;;226.3;6.923913;7;109.8;;908.442391;27.774194;21.116129;16.432258;75.169355;;
83891;28/02/1961;0000;23;2.559524;9;58.9;;;178.5;7.059524;16;158.6;;909.858333;26.692857;20.69;16.771429;78.464286;;
83891;31/03/1961;0000;5;2.870968;12;54.3;;;176.6;6.913978;12;207.5;;911.317204;24.2;18.375484;14.490323;80.879032;;
83891;30/04/1961;0000;32;2.055556;7;38;;;136.1;7.088889;14;81.9;;910.855556;21.453333;16.144;12.66;83.183333;;
83891;31/05/1961;0000;0;1.612903;9;41.2;;;183.3;5.634409;6;51.7;;913.563441;19.967742;13.474839;8.96129;82.290323;;
83891;30/06/1961;0000;5;2.1;7;30.3;;;130.9;6.511111;10;57.7;;914.523333;17.5;12.594;9.496667;85.675;;
83891;31/07/1961;0000;32;1.903226;6;41.9;;;163.7;6.387097;9;73;;914.458065;18.451613;12.589677;8.877419;81.072581;;
83891;31/08/1961;0000;32;1.929032;9;56.4;;;204;6.44086;9;65.4;;913.082796;21.735484;14.933548;10.348387;77.991935;;
83891;30/09/1961;0000;5;3.011111;12;27.8;;;43.7;9.255556;18;243.1;;910.381111;18.93;14.993333;12.196667;87.341667;;
83891;31/10/1961;0000;0;3.591398;12;60.9;;;173.3;6.774194;13;262.3;;910.465591;23.2;17.560645;13.254839;79.435484;;
83891;30/11/1961;0000;5;2.8;7;57.2;;;180.3;6.655556;15;201.2;;908.375556;24.493333;18.936;14.786667;78.175;;
