--------------------
BDMEP - INMET
--------------------
Estação           : ITABAIANINHA - SE (OMM: 83195)
Latitude  (graus) : -11.11
Longitude (graus) : -37.81
Altitude  (metros): 208.00
Estação Operante
Inicio de operação: 06/08/1923
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83195;30/06/1963;0000;14;1.303371;4;72.8;;;154.4;5.977528;18;96.1;;992.838202;25.876667;21.526667;17.12;85.508333;;
83195;31/07/1963;0000;14;1.365591;4;83.3;;;181.3;6.527778;21;45.3;;993.062366;26.109677;20.74129;15.841935;83.395161;;
83195;31/08/1963;0000;14;1.655914;5;;;;177.6;5.73913;15;32;;992.686022;26.687097;20.929032;15.667742;82.766129;;
83195;30/09/1963;0000;14;1.833333;5;113.2;;;176.2;5.555556;11;26.3;;991.367778;28.113333;22.054;17.156667;81.516667;;
83195;31/10/1963;0000;9;2.150538;5;201.7;;;234.3;4.172043;2;3.3;;990.216129;30.73871;23.814839;18.448387;75.983871;;
83195;30/11/1963;0000;9;2.144444;6;180.3;;;214.2;4.922222;6;50.7;;987.777778;32.113333;25.166;19.886667;76.283333;;
83195;31/12/1963;0000;0;1.322581;5;121.3;;;133;7.11828;17;168.9;;987.611828;30.348387;24.290323;19.5;82.927419;;
83195;31/01/1964;0000;9;1.236559;3;108.3;;;165.4;6.526882;13;98.1;;986.81828;30.909677;25.174194;20.816129;84.362903;;
83195;29/02/1964;0000;9;1.091954;3;80;;;186.3;5.252874;13;129.4;;986.018391;30.993103;25.084828;20.658621;83.955357;;
83195;31/03/1964;0000;14;0.903226;3;90.4;;;142.2;6.462366;18;91;;988.036559;29.996774;24.714839;20.258065;85.959677;;
83195;30/04/1964;0000;14;1.055556;3;75.2;;;109.5;6.511111;27;284.5;;987.766667;28.476667;24.200667;19.913333;85.8;;
83195;31/05/1964;0000;18;1.333333;5;67.8;;;123.7;7.258065;22;249.5;;987.794624;27.696774;23.375484;19.451613;89.201613;;
83195;30/06/1964;0000;14;1.255556;3;77.4;;;177.3;5.866667;20;97.1;;988.365556;26.736667;22.256667;17.933333;87.566667;;
83195;31/07/1964;0000;14;1.139785;3;75.5;;;161.9;5.763441;23;197.8;;989.467742;26.464516;21.783871;17.325806;87.677419;;
83195;31/08/1964;0000;14;1.430108;4;103.5;;;192.9;6.107527;25;124.7;;990.790323;26.26129;21.64129;17.23871;85.258065;;
83195;30/09/1964;0000;14;1.466667;3;108;;;152.2;6.311111;25;102;;990.501111;26.47;21.66;16.996667;84.658333;;
83195;31/10/1964;0000;9;1.580645;4;124;;;202.8;5.032258;7;36.5;;989.947312;28.158065;22.968387;18.493548;81.967742;;
83195;30/11/1964;0000;9;1.794444;6;123.5;;;197.2;5;12;147.1;;988.082222;29.52;23.554667;18.813333;80.733333;;
83195;31/12/1964;0000;9;1.333333;3;140.3;;;236.1;4.731183;8;81.1;;987.049462;30.770968;24.106452;19.158065;78.959677;;
83195;31/01/1965;0000;9;1.462366;4;169;;;227.5;5.365591;9;24.9;;986.949462;31.025806;24.319355;19.258065;77.66129;;
83195;28/02/1965;0000;9;1.178571;3;192.4;;;237.2;4.047619;4;9.9;;986.307143;33.017857;25.437857;20.2;76.223214;;
83195;31/03/1965;0000;9;1;3;202.3;;;234.7;4.666667;5;20;;987.041935;32.648387;25.67871;20.532258;76.395161;;
83195;30/04/1965;0000;14;1.177778;3;118.9;;;176.8;5.911111;20;71.8;;986.852222;30.456667;24.819333;20.223333;81.75;;
83195;31/05/1965;0000;14;1.387097;3;171.3;;;250.7;4.677419;11;15.8;;987.694624;30.693548;24.377419;19.632258;77.822581;;
83195;30/06/1965;0000;14;1.111111;3;105.2;;;142.8;6.877778;23;125.6;;990.076667;27.39;22.874667;18.986667;83.758333;;
83195;31/07/1965;0000;14;1.258065;3;105.2;;;206.2;5.655914;16;98.1;;990.132258;27.1;22.307742;18.987097;78.66129;;
83195;31/08/1965;0000;14;1.215054;7;94.1;;;208.3;5.655914;20;61.9;;989.197849;26.73871;21.870968;17.864516;81.887097;;
83195;30/09/1965;0000;14;1.911111;5;112.6;;;170.3;5.844444;15;46.2;;989.962222;27.53;22.364;18.343333;81.833333;;
83195;31/10/1965;0000;9;2.064516;7;134.7;;;214.2;5.516129;8;82.7;;987.478495;29.745161;23.785806;18.893548;80.274194;;
83195;30/11/1965;0000;9;2.577778;7;171.6;;;222.1;5.444444;11;77.4;;986.924444;31.056667;24.564;19.703333;75.791667;;
83195;31/12/1965;0000;9;2.11828;7;195.1;;;235.4;4.494624;7;5.8;;986.810753;31.574194;24.940645;20.3;74.798387;;
83195;31/01/1966;0000;9;1.430108;5;207;;;236.7;4.408602;8;31.3;;986.541935;32.383871;25.833548;22.067742;73.282258;;
83195;28/02/1966;0000;9;1.190476;5;86;;;105.7;6.25;20;115.6;;987.457143;29.135714;24.621429;21.907143;82.160714;;
83195;31/03/1966;0000;14;1.860215;7;110.7;;;184.4;5.344086;18;41.1;;987.33871;29.803226;24.764516;21.674194;80.491935;;
83195;30/04/1966;0000;14;1.344444;9;73;;;140.7;6.155556;22;234.1;;986.595556;29.113333;24.456;21.723333;85.425;;
83195;31/05/1966;0000;14;1.129032;5;68;;;154.7;6.053763;23;257.3;;988.763441;27.790323;23.566452;20.912903;85.306452;;
83195;30/06/1966;0000;14;1.455556;7;69.8;;;150.4;6.122222;22;124.3;;990.247778;26.703333;22.704667;20.013333;85.375;;
83195;31/07/1966;0000;14;1.88172;7;67.6;;;169.9;5.913978;29;139.5;;991.950538;25.574194;21.666452;19.083871;85.112903;;
83195;31/08/1966;0000;14;1.591398;7;89;;;174.7;5.043011;21;49.5;;991.923656;26.080645;21.527742;18.332258;83.16129;;
83195;30/09/1966;0000;14;2.011111;7;88.6;;;141.6;5.822222;22;56;;991.314444;26.503333;22.326667;19.596667;83.616667;;
83195;31/10/1966;0000;14;2.516129;7;140.8;;;245.2;3.935484;6;25.6;;988.282796;29.993548;24.070323;20.593548;76.959677;;
83195;30/11/1966;0000;9;2.666667;7;121;;;181.7;6.022222;15;81;;986.622222;29.72;24.48;21.323333;79.066667;;
83195;31/12/1966;0000;9;2.72043;7;151.8;;;215.6;4.849462;7;15;;985.47957;31.029032;25.323871;21.877419;75.685484;;
83195;31/01/1967;0000;9;2.677419;7;198.3;;;268.3;4.182796;5;16.8;;986.216129;32.383871;25.862581;21.922581;71.387097;;
83195;28/02/1967;0000;9;2.916667;7;125.3;;;196.2;5.77381;16;51.6;;986.616667;32.089286;26.077857;22.439286;76.160714;;
83195;31/03/1967;0000;9;2.688172;7;105.6;;;217.4;6.107527;19;127.2;;986.75914;30.683871;25.557419;22.406452;79.685484;;
83195;30/04/1967;0000;14;1.922222;7;65.1;;;179.8;6.666667;23;130.7;;987.698889;29.18;24.726;21.96;85.866667;;
83195;31/05/1967;0000;14;1.913978;7;54.5;;;146.4;6.397849;22;206;;989.209677;27.574194;23.469677;20.845161;87.766129;;
83195;30/06/1967;0000;14;2.244444;7;47.8;;;118;6.833333;25;302.7;;990.941111;26.116667;22.392667;19.73;87.966667;;
83195;31/07/1967;0000;14;2.344086;7;62.9;;;161.4;5.72043;23;119;;992.156989;25.616129;21.337419;18.377419;84.306452;;
83195;31/08/1967;0000;14;3.032258;7;70.4;;;197.6;5.537634;24;126.3;;993.08172;25.696774;21.404516;18.364516;82.862903;;
83195;30/09/1967;0000;9;3.1;7;86.6;;;227.3;5.122222;13;44.8;;991.362222;27.556667;22.491333;19.24;81.358333;;
83195;31/10/1967;0000;14;3.387097;7;102;;;219.4;5.268817;16;62;;990.944086;27.9;22.969032;20.03871;80.072581;;
83195;30/11/1967;0000;9;3.344444;7;121.6;;;212.6;5.266667;7;35.2;;986.714444;30.326667;24.21;20.746667;76.983333;;
83195;31/12/1967;0000;;;7;;;;;;8;80.3;;988.468852;30.685;24.386;20.76;76.225;;
83195;31/01/1968;0000;9;2.647059;7;;;;151.7;6.102941;14;108;;988.235294;29.365217;24.431304;21.352174;82.043478;;
83195;29/02/1968;0000;;;;;;;;;7;34.5;;;;;;;;
83195;31/03/1968;0000;;;;;;;;;1;0.6;;;;;;;;
83195;30/04/1968;0000;0;2.688889;7;79;;;194.9;5.277778;16;129.1;;988.227778;29.253333;24.158667;20.783333;82.475;;
83195;31/05/1968;0000;14;2.870968;7;41.2;;;97.8;7.860215;28;361.5;;990.217204;26.312903;22.651613;20.412903;90.137097;;
