--------------------
BDMEP - INMET
--------------------
Estação           : PROPRIA - SE (OMM: 83097)
Latitude  (graus) : -10.21
Longitude (graus) : -36.84
Altitude  (metros): 19.92
Estação Operante
Inicio de operação: 10/05/1925
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83097;31/10/1963;0000;;;;;;;;;0;;;;;;;;
83097;30/11/1963;0000;14;12;102.5;;;;4.066667;6;40.1;;;33.506667;27.44625;22.8875;69.758333;;
83097;31/12/1963;0000;14;12;;;;170.9;5.569892;9;222.7;;;32.164516;;;73.516129;;
83097;31/01/1964;0000;14;9;162.5;;;209.7;4.752688;7;13.4;;;32.658065;;;77.556452;;
83097;29/02/1964;0000;14;12;153.1;;;198;5.195402;5;9.1;;;32.92069;26.814483;21.531034;77.080357;;
83097;31/03/1964;0000;14;9;173.1;;;175.6;5.494624;13;183.4;;;31.606452;26.347097;21.667742;81.758065;;
83097;30/04/1964;0000;14;12;99.8;;;151.4;5.677778;18;631.6;;;29.723333;25.358;21.233333;86.875;;
83097;31/05/1964;0000;14;9;78.6;;;162.3;5.72043;20;424.3;;;29.458065;24.799355;20.719355;87.967742;;
83097;30/06/1964;0000;14;12;75.2;;;155.4;5.722222;15;303.9;;;28.2;23.474;19.06;86.716667;;
83097;31/07/1964;0000;14;9;80.4;;;175.2;5.462366;14;299;;;27.83871;22.758065;17.809677;85.322581;;
83097;31/08/1964;0000;14;12;93.4;;;188;6.107527;20;229.4;;;27.258065;22.686452;17.958065;84.903226;;
83097;30/09/1964;0000;14;9;121.4;;;;5.433333;17;211.4;;;27.88;22.82;17.76;82.975;;
83097;31/10/1964;0000;14;12;221.3;;;;4.311828;4;58.4;;;30.729032;24.447097;18.677419;76.701613;;
83097;30/11/1964;0000;14;12;232.7;;;257.9;4.188889;4;33.9;;;32.573333;25.551333;19.476667;73.741667;;
83097;31/12/1964;0000;14;12;274.5;;;255.6;3.903226;4;160.6;;;32.541935;25.76;19.764516;77.427419;;
83097;31/01/1965;0000;14;12;254.6;;;219.8;4.752688;5;132.9;;;32.087097;25.867097;20.306452;82.08871;;
83097;28/02/1965;0000;9;9;276.1;;;261.6;3.464286;0;0;;;34.282143;27.008571;21.471429;78.178571;;
83097;31/03/1965;0000;9;9;298.4;;;284.9;4.301075;3;6.2;;;33.916129;27.359355;21.932258;81.887097;;
83097;30/04/1965;0000;14;9;171.7;;;200;5.222222;8;174;;;32.213333;26.656;21.693333;80.216667;;
83097;31/05/1965;0000;14;9;147.1;;;216.1;4.580645;10;127.3;;;30.719355;25.054194;20.096774;81.056452;;
83097;30/06/1965;0000;14;9;89;;;153.9;6.022222;20;240.1;;;28.103333;23.466;19.403333;85.791667;;
83097;31/07/1965;0000;0;9;105.7;;;195.7;5.236559;13;145.4;;;27.767742;22.663871;18.280645;85.072581;;
83097;31/08/1965;0000;0;9;121.9;;;204.9;4.591398;15;130.2;;;27.964516;22.400645;17.629032;84.354839;;
83097;30/09/1965;0000;14;12;140.6;;;213.9;4.433333;8;124.2;;;29.116667;23.185333;17.906667;82.291667;;
83097;31/10/1965;0000;14;12;207.2;;;239.9;4.580645;5;205.5;;;31.880645;25.487097;20.019355;78.879032;;
83097;30/11/1965;0000;14;12;243.8;;;249.7;3.933333;6;152.5;;;32.956667;26.167586;20.355172;74.625;;
83097;31/12/1965;0000;14;12;270.4;;;245.8;4.225806;4;127;;;32.980645;;;75.491935;;
83097;31/01/1966;0000;14;12;253.4;;;248.7;4.010753;3;120.1;;;33.564516;;;75.354839;;
83097;28/02/1966;0000;14;9;140.5;;;;5.607143;12;533.2;;;30.989286;;;83.535714;;
83097;31/03/1966;0000;14;9;198.2;;;189.3;4.752688;10;355.9;;;31.16129;26.46129;22.96129;80.193548;;
83097;30/04/1966;0000;0;9;111.6;;;158.9;5.455556;21;806.1;;;30.846667;26.038;23.113333;85.458333;;
83097;31/05/1966;0000;0;7;83.9;;;163.9;4.741935;14;513.7;;;29.306452;24.909677;22.206452;87.629032;;
83097;30/06/1966;0000;0;9;85.3;;;166.1;4.988889;18;181.3;;;28.13;23.945333;21.366667;87.158333;;
83097;31/07/1966;0000;0;9;94.6;;;185.2;5.387097;21;182.2;;;27.370968;23.142581;20.409677;87.25;;
83097;31/08/1966;0000;0;9;99;;;174;4.505376;16;74;;;27.541935;22.493548;19;87;;
83097;30/09/1966;0000;14;9;109.5;;;172.2;5.444444;17;183.7;;;28.22;23.420667;20.366667;88.65;;
83097;31/10/1966;0000;14;9;199.2;;;256.6;3.763441;2;7.7;;;31.412903;25.184348;20.734783;84.322581;;
83097;30/11/1966;0000;14;9;214.6;;;237.8;4.966667;4;27.3;;;32.216667;;;82.466667;;
83097;31/12/1966;0000;14;9;258.9;;;261;4.032258;2;47.6;;;33.603226;;;78.516129;;
83097;31/01/1967;0000;14;9;245.7;;;289.1;3.088889;1;2.8;;;33.976667;;;77.681034;;
83097;28/02/1967;0000;14;9;205.2;;;;4.380952;7;31.2;;;33.607143;;;80.741071;;
83097;31/03/1967;0000;14;9;235.9;;;187.3;4.612903;5;16.3;;;33.109677;;;79.379032;;
83097;30/04/1967;0000;0;9;103.1;;;157.7;5.111111;14;167.5;;;30.613333;25.993913;23.121739;85.791667;;
83097;31/05/1967;0000;0;9;66.5;;;152.8;6.247312;15;155.8;;;29.06129;24.770323;22.277419;90.508065;;
83097;30/06/1967;0000;0;9;82.3;;;179;4.8;17;185.9;;;28.063333;23.484667;20.563333;90.441667;;
83097;31/07/1967;0000;0;9;82.6;;;142.4;4.795699;14;133.9;;;27.567742;22.293548;19.087097;89.08871;;
83097;31/08/1967;0000;14;9;96.7;;;177.5;5.688172;19;114.4;;;27.148387;22.222581;19.103226;88.991935;;
83097;30/09/1967;0000;14;9;140.7;;;222.6;4.488889;7;56.1;;;29.086667;23.325333;19.353333;88.45;;
83097;31/10/1967;0000;14;10;224.2;;;216.7;4.72043;2;5.8;;;29.990323;24.223704;20.218519;83.112903;;
83097;30/11/1967;0000;14;9;267.7;;;265;3.311111;1;1.4;;;32.996667;25.893333;20.83;76.166667;;
83097;31/12/1967;0000;14;9;223.5;;;224.8;4.290323;8;179.6;;;32.564516;;;80.064516;;
83097;31/01/1968;0000;14;12;175.3;;;258;4.430108;6;34;;;31.377419;;;82.346774;;
83097;29/02/1968;0000;14;9;217.5;;;233;4.54023;3;11;;;32.986207;27.04087;22.813043;79.973214;;
83097;31/03/1968;0000;0;9;158;;;197.5;5.021505;12;72.8;;;31.687097;26.379355;22.951613;82.854839;;
83097;30/04/1968;0000;14;9;145.8;;;197.8;5.344444;8;146.9;;;31.21;25.828667;22.23;84;;
83097;31/05/1968;0000;0;7;62.8;;;134.3;7.064516;21;203.8;;;28.325806;24.267742;21.903226;90.58871;;
83097;30/06/1968;0000;14;9;70.8;;;140.6;6.188889;20;147.5;;;27.363333;22.866;20.233333;88.616667;;
83097;31/07/1968;0000;14;9;79.2;;;126.2;5.827957;19;130;;;26.932258;22.464516;19.629032;87.806452;;
83097;31/08/1968;0000;14;9;90.6;;;;5.806452;17;83.3;;;27.490323;22.365806;19.170968;87.185484;;
83097;30/09/1968;0000;14;12;138.1;;;228.9;5.111111;10;29.6;;;28.603333;23.126667;18.89;83.15;;
