--------------------
BDMEP - INMET
--------------------
Estação           : AVARE - SP (OMM: 83773)
Latitude  (graus) : -23.08
Longitude (graus) : -48.91
Altitude  (metros): 854.00
Estação Operante
Inicio de operação: 01/01/1905
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83773;31/01/1968;0000;14;2.5;12;55.5;;;172.8;7.133333;13;225.1;;926.225;27.911111;21.793333;17.648148;74.194444;;
83773;29/02/1968;0000;14;3.666667;9;83.4;;;230.9;5.471264;9;49.8;;925.788506;28.2;21.381379;16.624138;69.875;;
83773;31/03/1968;0000;14;2.376344;9;73.8;;;;6.365591;13;113.6;;927.260215;28.045161;21.593548;17.722581;78;;
83773;30/04/1968;0000;0;2.411111;9;78.5;;;210.6;4.744444;6;45.7;;927.206667;24.72;17.613333;13.16;69.816667;;
83773;31/05/1968;0000;27;2.064516;9;85.7;;;252.2;3.301075;4;23.7;;929.553763;23.109677;15.229677;9.967742;65.66129;;
83773;30/06/1968;0000;0;2.322222;9;69;;;165.5;4.811111;7;36.3;;931.666667;22.52;15.695333;11.176667;69.816667;;
83773;31/07/1968;0000;14;2.655914;9;74.3;;;230.3;4;3;12.3;;932.254839;22.741935;15.722581;11.025806;63.290323;;
83773;31/08/1968;0000;14;3.086022;12;92;;;236.7;4.623656;6;77.8;;930.8;23.232258;16.499355;11.380645;60.903226;;
83773;30/09/1968;0000;0;3.3;12;;;;227.8;4.488889;4;15.9;;929.361111;25.946667;18.823333;12.603333;57.025;;
83773;31/10/1968;0000;14;3.652174;12;;;;181.2;6.215054;10;96.3;;926.67957;27.180645;20.790323;15.145161;62.709677;;
83773;30/11/1968;0000;14;2.724444;9;;;;214;6.266667;7;72.5;;925.01;29.743333;23.248;17.31;60.266667;;
