--------------------
BDMEP - INMET
--------------------
Estação           : CAMPOS DO JORDAO - SP (OMM: 83714)
Latitude  (graus) : -22.75
Longitude (graus) : -45.6
Altitude  (metros): 1642.00
Estação Operante
Inicio de operação: 01/01/1939
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83714;31/01/1961;0000;27;2.445652;7;29.9;;;81.4;9.054348;25;420.5;;843.23913;21.870968;17.234194;13.525806;92.935484;;
83714;28/02/1961;0000;0;1.761905;5;30.5;;;69.9;9.190476;25;310.1;;846.004762;21.710714;16.982143;13.496429;93.044643;;
83714;31/03/1961;0000;0;1.946237;5;40.7;;;118.9;7.021505;18;216.4;;846.473118;22.151613;16.413548;11.180645;90.370968;;
83714;30/04/1961;0000;0;1.905618;5;38.8;;;149.4;6.733333;15;139.6;;846.478652;20.766667;14.745517;8.65;90.232759;;
83714;31/05/1961;0000;32;1.344086;5;49;;;203.7;5.139785;4;36.7;;847.82043;19.251613;11.865161;5.4;89.959677;;
83714;30/06/1961;0000;0;1.566667;5;43.4;;;208;4.933333;7;19.3;;849.581111;17.82;10.921333;4.72;90.141667;;
83714;31/07/1961;0000;0;1.483871;5;61.4;;;239.3;3.548387;2;5;;849.378495;18.306452;9.445161;1.3;88.266129;;
83714;31/08/1961;0000;;;;;;;;;;0;;;;;;;;
83714;30/09/1961;0000;0;1.797753;9;103.4;;;209.8;8.573034;1;6.3;;846.831461;25.746667;16.555333;8.373333;74.908333;;
83714;31/10/1961;0000;5;2.204301;5;83.8;;;114.4;8.27957;14;69.9;;846.676344;23.206452;16.00129;9.648387;83.064516;;
83714;30/11/1961;0000;0;2.4;7;51.2;;;127.6;7.722222;19;172.4;;844.551111;23.45;17.12;11.073333;91.725;;
83714;31/12/1961;0000;0;2.4;5;30.8;;;71.7;8.946237;26;207.8;;845.401075;20.722581;15.809032;11.612903;93.620968;;
83714;31/01/1962;0000;23;2.645161;7;40.9;;;117.2;8.698925;18;276.6;;844.335484;22.180645;17.114839;12.193548;92.709677;;
