--------------------
BDMEP - INMET
--------------------
Estação           : CATANDUVA - SP (OMM: 83676)
Latitude  (graus) : -21.11
Longitude (graus) : -48.93
Altitude  (metros): 570.00
Estação Operante
Inicio de operação: 01/08/1936
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83676;31/01/1961;0000;0;2.130435;12;44.8;;;196.4;7.652174;20;297.1;;951.677174;30.541935;24.843226;20.825806;79.564516;;
83676;28/02/1961;0000;14;1.571429;5;47.8;;;156.9;7.166667;18;322.1;;953.582143;30.575;24.560714;20.367857;79.642857;;
83676;31/03/1961;0000;14;1.913978;9;64.2;;;231.6;5.204301;12;85.1;;954.533333;31.151613;24.755484;20;72.879032;;
83676;30/04/1961;0000;0;1.9;9;52.5;;;211.6;4.333333;9;96.2;;954.828889;30.513333;23.496;18.116667;72.7;;
83676;31/05/1961;0000;14;1.387097;5;73.3;;;265.8;3.462366;4;75.7;;957.397849;28.987097;20.778065;15.006452;73.443548;;
83676;30/06/1961;0000;0;1.622222;5;85.4;;;259.1;3.588889;0;0;;959.236667;28.183333;19.826;13.96;68.133333;;
83676;31/07/1961;0000;5;1.451613;5;115.7;;;288;2.043011;0;0;;959.16129;30.229032;19.701935;12.422581;59.379032;;
83676;31/08/1961;0000;0;1.870968;9;148;;;267.3;1.763441;2;8;;957.7;32.13871;21.687742;13.76129;52;;
83676;30/09/1961;0000;0;2.055556;7;174;;;228.7;2.322222;1;1.7;;953.644444;35.053333;25.512;18.31;49.939655;;
83676;31/10/1961;0000;0;3.204301;12;143.3;;;184.8;6.451613;11;87.9;;953.950538;32.377419;25.186452;19.709677;59.177419;;
83676;30/11/1961;0000;0;2.188889;9;108.2;;;256.6;6.1;14;99.6;;952.234444;33.166667;26.148667;20.543333;66.158333;;
83676;31/12/1961;0000;;;;;;;;;;0;;;;;;;;
83676;31/01/1962;0000;0;1.826087;9;76.5;;;234.6;6.543478;17;182.9;;951.882609;31.164516;25.113548;20.387097;76.217742;;
83676;28/02/1962;0000;18;1.916667;6;66.6;;;205.8;6.357143;12;183.9;;952.467857;31.042857;25.185;21.003571;76.839286;;
83676;31/03/1962;0000;23;1.849462;7;66.9;;;230.6;6.182796;15;293;;953.426882;31.025806;24.710323;20.048387;77.209677;;
83676;30/04/1962;0000;36;1.888889;6;91.8;;;284.5;3.433333;5;14.4;;955.065556;31.413333;23.258667;16.646667;67.625;;
