--------------------
BDMEP - INMET
--------------------
Estação           : FRANCA - SP (OMM: 83630)
Latitude  (graus) : -20.58
Longitude (graus) : -47.36
Altitude  (metros): 1026.20
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83630;31/01/1961;0000;32;3.282609;8;53.5;;;;6.684783;26;348.7;;896.228261;25.845161;20.804516;17.293548;87.701613;;
83630;28/02/1961;0000;36;2.992857;8;58.2;;;;6.452381;24;360.1;;897.975;26.860714;20.801429;16.946429;85.955357;;
83630;31/03/1961;0000;23;2.397849;8;101.4;;;;4.043011;13;157.8;;898.770968;27.525806;21.509677;16.806452;77.58871;;
83630;30/04/1961;0000;0;2.449438;8;98.4;;;;4;9;78.8;;899.024444;26.85;20.708;16.183333;75.516667;;
83630;31/05/1961;0000;14;2.615054;8;101.8;;;;3.430108;3;60.3;;900.873118;25.054839;18.534194;13.848387;74.16129;;
83630;30/06/1961;0000;0;3.155556;8;120;;;;3.177778;1;1.6;;902.54;24.146667;17.544667;12.626667;69.866667;;
83630;31/07/1961;0000;5;2.473118;6;178.3;;;;1.956989;;0;;902.548387;25.080645;17.971613;12.441935;57.016129;;
83630;31/08/1961;0000;5;3.032258;8;222.7;;;;1.946237;2;10.7;;901.86129;27.767742;20.009032;13.922581;51.201613;;
83630;30/09/1961;0000;14;2.722222;8;281.5;;;;1.444444;0;0;;898.706667;32.79;24.106667;17.456667;46.525;;
83630;31/10/1961;0000;32;3.423913;8;191.4;;;;4.591398;15;119.1;;898.644086;28.322581;21.503871;16.251613;66.83871;;
83630;30/11/1961;0000;0;2.644444;8;134.5;;;;4.966667;13;99.5;;897.055556;29.126667;22.605333;17.57;74.275;;
83630;31/12/1961;0000;0;2.731183;6;80;;;;6.172043;22;238.6;;897.824731;24.929032;20.300645;16.206452;82.75;;
83630;31/01/1962;0000;23;2.516129;8;76.5;;;;5.623656;18;373.2;;896.673118;27.009677;21.523871;17.245161;83.532258;;
83630;28/02/1962;0000;5;2.714286;6;64.3;;;;5.845238;20;246.3;;897.242857;26.696429;21.115;16.95;83.339286;;
83630;31/03/1962;0000;5;2.83871;6;82.2;;;;5.344086;18;349.8;;898.089247;26.625806;21.048387;16.777419;80.596774;;
83630;30/04/1962;0000;5;2.355556;4;109.1;;;;3.348315;9;66.4;;899.142222;27.053333;20.447333;15.283333;73.966667;;
83630;31/05/1962;0000;5;2.645161;8;129.6;;;;2.290323;3;39.2;;901.004301;24.293548;17.509677;12.087097;70;;
