--------------------
BDMEP - INMET
--------------------
Estação           : GUARULHOS - SP (OMM: 83075)
Latitude  (graus) : -23.43
Longitude (graus) : -46.46
Altitude  (metros): 735.00
Estação Operante
Inicio de operação: 03/09/1983
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83075;31/07/1983;0000;14;1.522727;3.1;106;;;143.3;6.366667;4;40.8;;;22.27;;;;;
83075;31/08/1983;0000;9;1.893548;5.1;97;;;164;6.741935;5;22.1;;934.77;23.989655;;;;;
83075;30/09/1983;0000;14;1.88;4.6;60.4;;;57.2;8.1;19;256.4;;929.666667;20.568966;;;;;
83075;31/10/1983;0000;14;2.14918;6.2;84.4;;;97.3;7.901639;10;149.6;;928.155738;24.419355;;14.941935;;;
83075;30/11/1983;0000;14;1.740385;4.1;105.4;;;158;5.788462;11;110.4;;926.090385;27.634615;;16.8;;;
83075;31/12/1983;0000;32;1.850877;5.7;111.1;;;112.2;7.693548;20;191.7;;925.908065;27.464516;;18.170968;;;
83075;31/01/1984;0000;12;1.790323;5;150.5;;;214.8;4.919355;13;166.1;;924.882258;30.345161;;19.319355;;;
83075;29/02/1984;0000;14;1.913793;7;126.7;;;201.2;3.293103;6;38.6;;925.22069;32.240741;;19.760714;;;
83075;31/03/1984;0000;12;1.66129;5;95.9;;;141.2;6.790323;12;73.9;;926.024194;27.490323;;17.93871;;;
83075;30/04/1984;0000;14;1.677966;7;72.5;;;112.9;7.15;10;129.8;;929.028814;24.726667;;15.916667;;;
83075;31/05/1984;0000;14;0.822581;3;80.8;;;164.3;5.016393;10;94.5;;928.08;26.153333;;15.524138;;;
83075;30/06/1984;0000;0;1.416667;7;83.8;;;154.3;4.333333;2;0.3;;931.025;24.293103;;12.67;;;
83075;31/07/1984;0000;14;1.870968;5;103;;;164.2;5.258065;6;23.1;;931.177419;23.680645;;12.632258;;;
83075;31/08/1984;0000;14;1.790323;7;89.2;;;99.6;6.645161;12;95.4;;930.604839;21.37;;11.767742;;;
83075;30/09/1984;0000;14;1.5;7;108.5;;;175.9;5.9;7;107.2;;928.826667;23.851724;;12.473333;;;
83075;31/10/1984;0000;14;2.354839;7;126.3;;;179.5;6.596774;2;20.1;;922.732787;27.132258;;15.419355;;;
83075;30/11/1984;0000;14;2.318333;7;126.7;;;159.8;7.4;11;154.7;;918.8475;27.286207;;16.6;;;
83075;31/12/1984;0000;14;1.564516;6;101;;;108.8;7.483871;15;142.8;;927.763333;25.943333;;16.873333;;;
83075;31/01/1985;0000;;;;;;;;;;0;;;;;;;;
83075;28/02/1985;0000;;;;;;;;;;;;;;;;77.598214;;
83075;31/01/1986;0000;14;1.847826;8;120.4;;;201.8;6.945652;15;240.4;;931.126087;29.929032;23.569032;18.36129;72.048387;;
83075;28/02/1986;0000;0;1.47619;5;89.8;;;92.4;8.345238;20;224.8;;932.055952;;24.145333;18.978571;77.464286;;
83075;31/03/1986;0000;0;1.494624;5;93;;;133.3;7.817204;16;194.1;;933.834409;27.864516;22.91371;18.280645;77.274194;;
83075;30/04/1986;0000;5;1.462222;7;89.3;;;161.9;7.444444;;72.5;;933.847778;26.903333;22.056667;17.286667;75.241667;;
83075;31/05/1986;0000;0;1.27957;5;80.4;;;121.7;7.430108;;139.5;;934.906452;25.270968;20.257258;15.690323;77.733871;;
83075;30/06/1986;0000;14;1.133333;7;76.1;;;181.1;6.977778;;2.4;;938.694444;23.493333;17.595;11.36;72.475;;
83075;31/07/1986;0000;0;1.430108;5;87.4;;;144.1;7.16129;;28.6;;939.663441;21.73871;16.587097;11.06129;73.669355;;
83075;31/08/1986;0000;0;1.548387;6;89.8;;;130.4;8.494624;;96;;936.18172;23.877419;18.110323;13.064516;74.217742;;
83075;30/09/1986;0000;14;2.188889;7;106.5;;;138.5;7.866667;;29.3;;937.901111;24.253333;17.993333;13.233333;69.575;;
83075;31/10/1986;0000;0;2.344086;7;116.1;;;179.2;7.860215;;69.4;;934.476344;26.445161;19.727742;14.570968;69.548387;;
83075;30/11/1986;0000;0;1.733333;7;133;;;154.2;8.066667;;177;;932.234444;28.226667;21.827333;16.563333;69.95;;
83075;31/12/1986;0000;0;1.397849;5;70.8;;;72.9;9.258065;26;452.6;;931.243011;27.006452;21.9;18.209677;80.475806;;
83075;31/01/1987;0000;0;1.824731;8.7;116.5;;;;8.473118;19;360.8;;930.896774;29.364516;23.693548;19.464516;74.5;;
83075;28/02/1987;0000;0;1.297619;5;94.1;;;;8.97619;17;211.9;;933.72381;28.778571;22.874286;18.4;74.428571;;
83075;31/03/1987;0000;23;1.655914;7;105.6;;;;8.204301;;132.4;;932.133333;28.054839;21.704516;17.132258;74.943548;;
83075;30/04/1987;0000;0;1.511111;6;93.4;;;;8.322222;;102.2;;934.095556;26.82;21.574;17.616667;77.1;;
83075;31/05/1987;0000;0;1.811765;9;70.3;;;;8.784946;15;270.8;;934.277419;22.264516;17.656774;13.935484;80.629032;;
83075;30/06/1987;0000;0;0.009615;0.5;53.6;;;;8.355556;;165.9;;937.264444;22.036667;15.606667;10.976667;79.258333;;
83075;31/07/1987;0000;0;0.661972;7;92.8;;;;7.311828;;15.2;;935.007527;24.822581;18.050323;12.919355;72.516129;;
83075;31/08/1987;0000;0;1.365591;8;105.6;;;;8.053763;;9;;935.173118;23.577419;16.449032;11.209677;70.790323;;
83075;30/09/1987;0000;23;1.544444;6;72.7;;;;8.422222;;66.5;;;22.98;17.238667;12.693333;79.775;;
83075;31/10/1987;0000;0;1.655914;8;93.6;;;140.5;8.774194;;83.7;;;26.696774;20.003226;15.283871;77.943548;;
83075;30/11/1987;0000;0;1.733333;7;107.9;;;167.5;7.722222;;129;;925.580899;27.723333;21.412;16.656667;75.566667;;
83075;31/12/1987;0000;18;1.806452;6;109.7;;;160.6;8;15;146.6;;923.355914;28.709677;22.718065;18.364516;77.5;;
83075;31/01/1988;0000;0;1.387097;6;116.4;;;194.9;7.817204;14;306;;923.022581;30.780645;24.473548;19.980645;74.66129;;
83075;29/02/1988;0000;0;1.333333;5;60.6;;;74.1;9.471264;20;225.9;;924.256322;27.158621;21.942069;18.641379;83.017241;;
83075;31/03/1988;0000;0;1.353763;6;100.4;;;188.2;6.602151;12;224.8;;924.904301;29.006452;22.611613;18.006452;76.58871;;
83075;30/04/1988;0000;0;1.277778;5;65.6;;;90.4;8.677778;;0;;927.026667;25.42;20.530667;16.933333;82.775;;
83075;31/05/1988;0000;0;0.993548;9.4;58.1;;;102.7;8.548387;16;176.3;;928.675269;22.883871;18.052903;14.496774;83.524194;;
83075;30/06/1988;0000;0;1.388889;5;68.2;;;143.4;7.444444;6;52.8;;931.034444;21.173333;15.394;10.45;78.441667;;
83075;31/07/1988;0000;0;1.397849;5;75;;;159.7;6.698925;0;0;;934.652688;19.516129;13.690323;9.280645;75.717742;;
83075;31/08/1988;0000;0;1.645161;6;119;;;191.5;7.44086;;0;;930.539785;25.212903;17.473548;11.977419;66.298387;;
83075;30/09/1988;0000;0;1.988889;8;132.7;;;125.3;8;7;32.9;;928.778889;26.506667;19.699333;14.64;67.841667;;
83075;31/10/1988;0000;0;1.849462;7;87.2;;;117;8.698925;;0;;927.325806;24.480645;18.810968;14.845161;77.056452;;
83075;30/11/1988;0000;0;1.955556;9;100.7;;;137.2;8.611111;11;100.9;;928.005556;25.613333;19.857333;15.42;73.083333;;
83075;31/12/1988;0000;0;1.451613;6;105.1;;;155.6;8.268817;;0;;924.693548;28.235484;22.194839;17.880645;74.717742;;
83075;31/01/1989;0000;0;1.139785;7;98.4;;;139.1;8.526882;19;370.5;;925.488172;28.806452;22.981935;18.741935;75.282258;;
83075;28/02/1989;0000;0;1.27381;7;88.6;;;106.7;8.642857;18;286.7;;925.445238;28.471429;23.282857;19.357143;76.982143;;
83075;31/03/1989;0000;0;1.290323;5;81.3;;;155.2;8.44086;19;177.1;;926.427957;28.445161;22.632903;18.854839;77.653226;;
83075;30/04/1989;0000;18;1.477778;7;86.9;;;187.8;8;;94.5;;928.312222;27.24;21.441333;17.293333;73.483333;;
83075;31/05/1989;0000;18;1.258065;5;65.6;;;167.5;7.774194;;28.9;;933.68172;22.819355;17.487097;13.312903;76.314516;;
83075;30/06/1989;0000;0;1.177778;6;62.5;;;121.6;8.488889;;53.7;;932.775556;21.42;16.398;12.513333;77.15;;
83075;31/07/1989;0000;0;1.453763;7.2;68.9;;;154.5;7.408602;;160.9;;934.107527;20.906452;14.769032;10.13871;74.177419;;
83075;31/08/1989;0000;18;1.365591;8;87.6;;;181.2;7.430108;;37.5;;933.332258;23.380645;16.888387;11.764516;70.370968;;
83075;30/09/1989;0000;0;1.988889;7;82.1;;;108.8;8.444444;16;95.3;;930.292222;23.553333;17.908;13.88;74.316667;;
83075;31/10/1989;0000;18;2.473118;7;87.3;;;144.5;8.387097;;54;;931.729032;23.780645;17.890323;13.758065;75.080645;;
83075;30/11/1989;0000;14;2.055556;5;96.6;;;162.2;7.988889;;116.7;;927.317778;26.13;20.281333;16.086667;75.325;;
83075;31/12/1989;0000;18;1.666667;5;92.8;;;139.8;8.451613;;158.1;;926.795699;26.816129;21.460645;17.441935;75.895161;;
83075;31/01/1990;0000;0;1.290323;5;107.2;;;166.6;8.139785;19;245.1;;926.649462;30.174194;24.210323;19.719355;72.798387;;
83075;28/02/1990;0000;14;1.690476;6;103.4;;;172.1;7.380952;15;181.5;;926.995238;29.625;23.415714;19.175;73.669643;;
83075;31/03/1990;0000;0;0.853763;6;90.6;;;176.2;7.731183;18;275.4;;928.850538;29.458065;23.389677;19.190323;75.427419;;
83075;30/04/1990;0000;18;1.177778;5;105.5;;;190.8;6.711111;;81;;928.608889;28.793333;22.852667;18.263333;71.991667;;
