--------------------
BDMEP - INMET
--------------------
Estação           : SAO CARLOS - SP (OMM: 83726)
Latitude  (graus) : -21.96
Longitude (graus) : -47.86
Altitude  (metros): 856.00
Estação Operante
Inicio de operação: 24/09/1939
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83726;31/01/1961;0000;27;2.586957;6;69.7;;;;6.586957;19;186.7;;915.321739;26.86129;22.057419;17.935484;86.25;;
83726;28/02/1961;0000;9;2.785714;5;60.9;;;;6.571429;25;284.6;;917.294048;26.653571;21.810714;17.803571;81.776786;;
83726;31/03/1961;0000;23;2.763441;6;101;;;;5.408602;14;177;;918.156989;27.63871;22.2;17.322581;74.693548;;
83726;30/04/1961;0000;9;2.668889;5;99;;;;4.866667;8;53.1;;918.563333;26.77;21.371333;16.363333;72.091667;;
83726;31/05/1961;0000;14;2.903226;6;98.2;;;;4.010753;6;78;;920.593548;24.670968;18.956129;13.53871;70.516129;;
83726;30/06/1961;0000;9;3.255556;6;113.5;;;;4.133333;3;5;;922.175556;23.59;18.086667;13.013333;66.825;;
83726;31/07/1961;0000;9;3.096774;6;170.1;;;;3.236559;0;0;;922.135484;25.183871;18.454194;12.46129;52.725806;;
83726;31/08/1961;0000;5;3.16129;6;214.3;;;;2.129032;3;18;;921.108602;27.635484;20.723871;14.354839;45.290323;;
83726;30/09/1961;0000;9;3.391111;6;237.7;;;;3.055556;1;2;;917.575556;31.343333;23.889333;17.333333;45.801724;;
83726;31/10/1961;0000;14;3.397849;6;182.5;;;;6.11828;13;70.3;;917.703226;28.722581;22.467742;17.245161;61.217742;;
83726;30/11/1961;0000;9;3.062222;6;130.9;;;;6.516854;15;151.4;;915.891111;29.39;22.987333;17.483333;67.208333;;
83726;31/12/1961;0000;27;3.397849;7;92.8;;;;7.451613;24;244.8;;916.524731;26.254839;20.907742;16.5;77.540323;;
83726;31/01/1962;0000;14;3.182796;6;101.7;;;;6.451613;14;150.7;;915.470968;27.63871;22.138065;17.341935;75.645161;;
83726;28/02/1962;0000;14;2.988095;6;73.9;;;;6.904762;17;294.1;;916.084524;27.642857;22.165714;17.35;78.419643;;
83726;31/03/1962;0000;14;3.107527;6;93.4;;;;6.462366;17;254.3;;917.169892;27.274194;22.101935;17.66129;74.629032;;
