--------------------
BDMEP - INMET
--------------------
Estação           : SOROCABA - SP (OMM: 83851)
Latitude  (graus) : -23.48
Longitude (graus) : -47.43
Altitude  (metros): 645.00
Estação Operante
Inicio de operação: 01/01/1928
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83851;31/01/1961;0000;5;0.923913;2;;;;;7.521739;8;111.8;;943.827174;31.229032;24.275484;16.667742;77.120968;;
83851;28/02/1961;0000;14;0.880952;2;;;;;7.583333;17;169;;945.290476;30.307143;23.492143;16.214286;79.258929;;
83851;31/03/1961;0000;5;0.784946;2;;;;;6.204301;13;91.1;;946.691398;29.225806;23.04;15.125806;79.346774;;
83851;30/04/1961;0000;5;0.8;2;;;;;4.4;6;85.2;;946.852222;28.816667;22.719333;14.606667;80.116667;;
83851;31/05/1961;0000;5;0.903226;2;;;;;3.322581;2;13.1;;949.676344;28.006452;21.013548;12.287097;77.475806;;
83851;30/06/1961;0000;5;0.944444;2;;;;;4.122222;3;17.3;;951.561111;27.296667;20.495333;12.413333;77.15;;
83851;31/07/1961;0000;5;0.903226;2;;;;;2.752688;0;0;;951.355914;27.583871;20.045806;12.474194;77.153226;;
83851;31/08/1961;0000;5;0.946237;2;;;;;4.182796;1;1.7;;950.046237;28.070968;20.783871;13.222581;77.233871;;
83851;30/09/1961;0000;5;0.922222;7;;;;;6.922222;3;26;;946.293333;30.263333;23.502;15.286667;77.491667;;
83851;31/10/1961;0000;;;;;;;;;;18.2;;;;;;;;
