--------------------
BDMEP - INMET
--------------------
Estação           : TAUBATE - SP (OMM: 83784)
Latitude  (graus) : -23.03
Longitude (graus) : -45.55
Altitude  (metros): 577.00
Estação Operante
Inicio de operação: 01/01/1943
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83784;31/01/1961;0000;0;0.226087;1.6;67.2;;;;7.195652;20;103.1;;944.202174;30.6;23.891613;19.935484;78.177419;;
83784;28/02/1961;0000;0;0.258333;1.4;57.1;;;;7.285714;21;346.6;;945.990476;30.117857;23.56;19.717857;80.160714;;
83784;31/03/1961;0000;0;0.302151;5.3;59.6;;;;6.408602;18;230.4;;947.331183;29.774194;22.729677;18.670968;77.637097;;
83784;30/04/1961;0000;0;0.307778;4.8;59.1;;;;5.477778;11;105.5;;947.638889;28.633333;22.011333;17.633333;76.575;;
83784;31/05/1961;0000;0;0.205376;1.6;57.7;;;;4.978495;5;11.3;;950.951613;26.051613;19.23871;14.545161;75.427419;;
83784;30/06/1961;0000;0;0.343333;3;52.2;;;;3.833333;7;39.7;;953.297778;25.123333;18.263333;13.353333;76.025;;
83784;31/07/1961;0000;0;0.350538;4;71.9;;;;3.397849;2;1.2;;953.294624;26.396774;17.991613;12.045161;66.427419;;
83784;31/08/1961;0000;0;0.313978;5.6;104.3;;;;2.752688;2;16.6;;951.472043;28.870968;19.637419;12.9;62.274194;;
83784;30/09/1961;0000;27;0.635556;4.5;114.3;;;;4.866667;1;2.2;;946.465556;31.596667;23.068667;16.776667;62.233333;;
83784;31/10/1961;0000;0;0.431183;4;114.7;;;;5.924731;9;61.9;;946.634409;31.132258;23.556129;18.116129;63.612903;;
83784;30/11/1961;0000;0;0.384444;4.5;74.3;;;;6.288889;19;195.8;;944.922222;31.156667;23.158;18.12;73.666667;;
83784;31/12/1961;0000;0;0.231183;1.7;58.6;;;;7.774194;19;176.6;;944.384946;28.5;22.245161;18.112903;80.58871;;
83784;31/01/1962;0000;0;0.346237;1.9;65.4;;;;6.88172;21;232.7;;943.584946;29.725806;22.950968;18.570968;77.604839;;
83784;28/02/1962;0000;14;0.4;3.7;51;;;;7.428571;18;199.6;;944.266667;29.139286;23.047857;19.182143;80.651786;;
