--------------------
BDMEP - INMET
--------------------
Estação           : VOTUPORANGA - SP (OMM: 83623)
Latitude  (graus) : -20.41
Longitude (graus) : -49.98
Altitude  (metros): 502.50
Estação Operante
Inicio de operação: 05/07/1976
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83623;31/10/1976;0000;14;1.23913;9;192.7;;;254.5;5.235294;6;63.4;;954.104348;;;12.329032;91.572581;;
83623;30/11/1976;0000;14;1.901111;7;;;;232.4;7.155556;10;139;;952.822222;;;13.34;78.741667;;
83623;31/12/1976;0000;32;2.43913;8.6;;;;166.7;8.065217;16;340.4;;951.879348;;;15.712903;79.85;;
83623;31/01/1977;0000;36;2.562366;7.1;153.3;;;172.5;8.236559;19;259.1;;951.703226;;;20.209677;79.443548;;
83623;28/02/1977;0000;0;1.985714;6.6;164.2;;;262.7;5.833333;9;44.3;;955.359524;;;14.628571;62.741071;;
83623;31/03/1977;0000;0;1.734409;8.3;137.1;;;218.9;6.569892;11;114.9;;953.772043;;;16.916129;69.870968;;
83623;30/04/1977;0000;0;2.064444;5.3;119.1;;;204.8;5.722222;6;117.5;;955.272222;;;18.47;74.05;;
83623;31/05/1977;0000;0;1.912903;6.8;157.5;;;243.7;4.311828;3;31.9;;957.611828;;;14.309677;62.66129;;
83623;30/06/1977;0000;27;1.823333;5.5;116.2;;;207.3;5.511111;7;42.3;;958.61;;;16.076667;69.441667;;
83623;31/07/1977;0000;5;2.002151;6.6;238.8;;;284.3;3.27957;1;1.1;;957.547312;;;17.290323;48.814516;;
83623;31/08/1977;0000;0;1.636559;5.3;259.5;;;251.5;4.021505;2;9.8;;956.374194;;;16.983871;48.346774;;
83623;30/09/1977;0000;14;1.501111;4.5;175.2;;;211.9;4.888889;11;158.4;;956.394444;;;18.75;60.916667;;
83623;31/10/1977;0000;0;1.670968;5.3;196.7;;;248.5;5.72043;8;73.4;;954.662366;;;20.4;60.766129;;
83623;30/11/1977;0000;0;1.148889;5.6;98.1;;;170.7;7.655556;18;213.9;;952.851111;;;20.263333;78.325;;
83623;31/12/1977;0000;5;1.670968;5;125.1;;;172.5;7.365591;16;350.4;;953.263441;;;20.135484;75.467742;;
83623;31/01/1978;0000;0;1.289247;4.1;124.1;;;203.3;7.290323;21;248.8;;953.731183;;;21.396774;74.016129;;
83623;28/02/1978;0000;0;1.34881;4.3;136.7;;;245.1;5.738095;10;151;;952.942857;;;21;66.910714;;
83623;31/03/1978;0000;0;1.663441;4.3;140.1;;;234.2;5.548387;9;166;;954.546237;;;20.780645;70.879032;;
83623;30/04/1978;0000;23;0.943333;3.6;168.3;;;248.8;4.033333;4;38.7;;955.24;;;18.053333;62.841667;;
83623;31/05/1978;0000;0;1.558065;5.8;124.8;;;217.2;4.55914;10;152.4;;955.847312;;;15.777419;67.677419;;
83623;30/06/1978;0000;0;1.62;4;141.8;;;239.9;3.811111;2;31.3;;958.915556;;;15.65;63.191667;;
83623;31/07/1978;0000;0;1.851613;5;177.5;;;241.5;4.333333;7;130.5;;957.391398;;;16.474194;60.16129;;
83623;31/08/1978;0000;0;2;6;259;;;264.2;3.301075;0;0;;959.355914;;;14.670968;48.193548;;
83623;30/09/1978;0000;0;2.43;5.6;196.8;;;202.3;5.177778;7;31.3;;956.844444;;;17.003333;55.591667;;
83623;31/10/1978;0000;18;1.846237;5.5;250.9;;;228.5;5.397849;9;109;;953.641935;;;19.667742;56.572581;;
83623;30/11/1978;0000;0;2.108889;6.3;127.5;;;227.4;7.055556;11;186.2;;953.157778;;;20.23;69.925;;
83623;31/12/1978;0000;9;2.121505;5.3;141.6;;;207.9;6.645161;16;370.5;;952.922581;;;20.603226;72.201613;;
83623;31/01/1979;0000;0;1.37957;3.8;123.5;;;189.6;7.301075;13;264.6;;952.041935;29.274194;24.131613;20.003226;75.919355;;
83623;28/02/1979;0000;0;1.497333;5;;;;;6.08;9;74.1;;946.566667;30.7;25.4888;21.328;71.19;;
83623;31/03/1979;0000;0;1.188889;3.8;;;;;4.805556;5;20.1;;947.9625;30.458333;24.494167;19.541667;69.25;;
83623;30/04/1979;0000;0;;3.8;;;;;3.981818;2;73;;949.02;29.168;24.294444;17.612;;;
83623;31/05/1979;0000;0;1.436;5.3;125.2;;;162.6;5.293333;4;42.8;;950.349333;27.485185;22.076;17.318519;67.58;;
83623;30/06/1979;0000;0;1.4875;4.6;181;;;199.8;2.7;;0;;954.92375;27.02963;20.287407;14.462963;55.481481;;
83623;31/07/1979;0000;9;2.904444;6.5;;;;;3.222222;1;0.7;;959.737778;27.39375;20.521333;15.7;;;
83623;31/08/1979;0000;9;;5;;;;;2.891304;1;36.4;;957.452174;30.347059;23.504;17.817647;;;
83623;30/09/1979;0000;;;;;;;;;3;32.2;;;;;;;;
83623;31/10/1979;0000;23;;5.3;;;;;6.658537;5;50.1;;953.709756;32.345455;;20.781818;;;
83623;30/11/1979;0000;0;;5.3;;;;;6.064516;3;45.8;;952.36129;31.694737;;20.115789;;;
83623;31/12/1979;0000;32;1.77234;5;;;;;8.765957;13;152.4;;951.87234;29.86;24.47625;20.8;;;
83623;31/01/1980;0000;27;2.168333;5;;;;;6.433333;10;192;;950.578333;29.745;24.335;20.285;;;
83623;29/02/1980;0000;36;2.782456;8.8;;;;;7.385965;14;59.1;;950.129825;29.305263;24.212632;20.694737;;;
83623;31/03/1980;0000;0;1.310909;3.5;;;;;5.109091;6;32.1;;953.229091;31.566667;25.928889;21.411111;;;
83623;30/04/1980;0000;0;;5;;;;;5.888889;4;15.6;;953.004444;29.146667;23.866667;20.146667;;;
83623;31/05/1980;0000;23;;5;;;;;4.090909;;0;;955.322727;30.146667;23.666667;18.733333;;;
83623;30/06/1980;0000;;;;;;;;;;0;;;;;;;;
83623;31/08/1980;0000;18;2.1;5.8;;;;;5.106061;3;2.4;;955.590909;30.440909;23.791818;18.259091;;;
83623;30/09/1980;0000;0;2.493548;6.8;;;;;4.903226;5;24.2;;954.483871;28.795238;21.32381;15.138095;;;
83623;31/10/1980;0000;14;2.465;5.5;;;;;5.55;6;54.1;;953.168333;32.155;25.227;19.7;;;
83623;30/11/1980;0000;0;2.181034;5.5;;;;;6.258621;6;39.5;;950.756897;31.431579;25.185263;20.094737;;;
83623;31/12/1980;0000;0;2.06;6.6;;;;;7.446154;10;107.5;;948.695385;30.945455;25.445455;21.245455;;;
83623;31/01/1981;0000;0;1.895;5.1;;;;146.8;7.9;13;173.6;;953.471667;29.625;25.076;21.458333;;;
83623;28/02/1981;0000;0;;4.1;;;;;6.775;7;31.8;;954.11;32.209091;;21.536364;;;
83623;31/03/1981;0000;;;;;;;191;;12;142.6;;;30.490909;;21.009091;;;
83623;30/04/1981;0000;0;;6;;;;221.7;4.372093;3;53.2;;954.918605;29.121739;;17.782609;;;
83623;31/05/1981;0000;0;;5;;;;;3.368421;;0;;957.626316;28.776471;;17.847059;;;
83623;31/07/1981;0000;18;2.962264;6.6;;;;;3.54717;;0;;960.798113;25.721053;19.015556;13.678947;;;
83623;31/08/1981;0000;0;2.371795;6.6;;;;205.7;2.423077;1;0.2;;957.032051;30.419231;22.9024;16.025;45.980769;;
