--------------------
BDMEP - INMET
--------------------
Estação           : PEIXE - TO (OMM: 83228)
Latitude  (graus) : -12.01
Longitude (graus) : -48.35
Altitude  (metros): 242.49
Estação Operante
Inicio de operação: 01/05/1975
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83228;31/05/1975;0000;0;1.076087;5;142.5;;;286.1;4.130435;;33.7;;;31.190323;24.592258;19.990323;72.56129;;
83228;30/06/1975;0000;0;1.366667;8;178.4;;;305.9;3.244444;;0;;;31.856667;23.380667;17.066667;66.39;;
83228;31/07/1975;0000;0;1.397849;8;59.6;;;307.6;3.580645;;7.2;;;31.880645;23.212258;16.567742;63.512903;;
83228;31/08/1975;0000;0;1.532609;5;171.1;;;318.4;3.880435;;0;;;34.76;24.308276;16.251613;53.941379;;
83228;30/09/1975;0000;0;1.544444;14;289.3;;;288.2;4.733333;;0.3;;;35.94;26.19;17.686667;50.06;;
83228;31/10/1975;0000;0;1.086022;6;137.7;;;185;5.956989;;205.9;;;32.967742;26.183226;20.903226;71.116129;;
83228;30/11/1975;0000;0;1.088889;6;86.7;;;182;5.511111;;272.2;;;30.913333;25.344667;21.393333;80.663333;;
83228;31/12/1975;0000;0;0.892473;8;89.9;;;194;5.580645;;244.8;;;31.448387;25.398065;20.751613;81.064516;;
83228;31/01/1976;0000;0;0.905376;7;86.3;;;224.2;4.139785;;76;;;31.590323;25.250968;20.63871;80.590323;;
83228;29/02/1976;0000;0;0.873563;7;71.7;;;162.9;6.011494;;368.4;;;30.696552;24.99931;21.213793;82.958621;;
83228;31/03/1976;0000;0;0.892473;6;70.1;;;207.7;3.677419;;121.8;;;31.296774;25.214194;21.003333;82.770968;;
83228;30/04/1976;0000;0;1.077778;8;89.6;;;184.1;3.588889;;56.1;;;31.653333;25.561333;20.773333;79.21;;
83228;31/05/1976;0000;0;1.152688;5;94.1;;;193.7;3.591398;;26.3;;;30.851613;24.645806;19.893548;79.106452;;
83228;30/06/1976;0000;0;1.444444;5;171;;;300;2.588889;;0;;;32.7;22.661333;15.01;66.26;;
