--------------------
BDMEP - INMET
--------------------
Estação           : TAGUATINGA - TO (OMM: 83235)
Latitude  (graus) : -12.4
Longitude (graus) : -46.41
Altitude  (metros): 603.59
Estação Operante
Inicio de operação: 22/12/1915
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83235;31/01/1961;0000;0;0.26087;3;;;;;8.858696;21;256.1;;943.881522;29.777419;23.452258;18.703226;80.879032;;
83235;28/02/1961;0000;0;0.345238;5;;;;;7.285714;19;207.8;;944.529762;30.414286;24.018571;18.807143;78.285714;;
83235;31/03/1961;0000;0;0.537634;5;;;;;6.784946;12;87.4;;944.122581;30.996774;24.558065;19.129032;74.782258;;
83235;30/04/1961;0000;0;0.755556;5;;;;;5.344444;6;43.2;;944.131111;32.296667;25.228667;19.32;68.2;;
83235;31/05/1961;0000;0;0.913978;5;;;;;4.311828;2;5.8;;945.92043;32.048387;24.631613;18.354839;61.080645;;
83235;30/06/1961;0000;0;1.455556;7;;;;;2.344444;1;0.3;;947.263333;30.92;23.557333;17.633333;55.008333;;
83235;31/07/1961;0000;0;1.526882;5;;;;;1.709677;0;0;;947.767742;30.583871;22.854839;16.612903;47.024194;;
83235;31/08/1961;0000;0;1.623656;5;;;;;0.956989;;0;;947.14086;32.125806;24.129677;17.767742;42.145161;;
83235;30/09/1961;0000;0;1.577778;7;;;;;0.9;0;0;;943.922222;36.1;27.954667;21.426667;35.625;;
83235;31/10/1961;0000;0;1.827957;7;;;;;5.053763;5;45;;943.289247;33.651613;26.824516;21.070968;50.322581;;
83235;30/11/1961;0000;0;1.033333;7;;;;;5;8;45.2;;942.467778;34.02;26.549333;20.626667;56.991667;;
83235;31/01/1962;0000;;0.358696;;;;;;;21;217.8;;;29.829032;23.998065;19.36129;81.129032;;
83235;28/02/1962;0000;;0.327381;;;;;;;20;224.1;;;30.985714;24.531429;19.378571;79.473214;;
