Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82807,30/06/1969,0000,,,,,,,137.1,,9,77.8,,,,,21.721053,,,
82807,31/07/1969,0000,,,,55,,,0,4.752688,0,0,,,,,19.318182,,,
82807,31/08/1969,0000,,,,,,,227.5,5.677419,8,67.3,,1008.17957,31.610345,22.812414,13.093548,,,
82807,30/09/1969,0000,,,,,,,147.9,6.611111,9,92.4,,,31.203448,23.697931,15.623333,,,
82807,31/10/1969,0000,,,6.7,,,,164.4,6,19,237.1,,996.998925,,,19.080645,,,
82807,30/11/1969,0000,0,0.103333,9.3,52.9,,,140.3,5.833333,8,86.6,,994.656667,31.983333,26.216,22.323333,82.9,,
82807,31/12/1969,0000,0,0,0,54.1,,,141.5,6.354839,21,224.3,,,31.335484,26.144,22.29,88.766129,,
82807,31/01/1970,0000,,0,0,56.2,,,,6.473118,19,272.5,,996.468132,31.225806,26.005806,22.551613,88.733871,,
82807,28/02/1970,0000,,0,0,45.2,,,,5.988095,18,160.8,,994.524096,31.410714,25.655714,22.542857,89.410714,,
82807,31/03/1970,0000,,0,0,50.7,,,118.1,5.763441,25,407.6,,995.712903,30.574194,25.189032,22.635484,92.5,,
82807,30/04/1970,0000,,0,0,45.5,,,120.4,6.233333,23,318.9,,996.238889,30.682759,25.251724,22.623333,91.533333,,
82807,31/05/1970,0000,,0.097849,6.7,47.9,,,158.5,6.634409,18,80.1,,997.043333,30.826667,24.81,21.731034,88.870968,,
82807,30/06/1970,0000,,0.151111,4.4,53.9,,,188.4,6,11,95.7,,999.206667,30.37,23.897333,20.606667,89.475,,
82807,31/07/1970,0000,,,,61.9,,,211.9,5.774194,10,47.7,,,29.86129,22.872903,18.770968,86.419355,,
82807,31/08/1970,0000,0,0,0,80.7,,,250.5,5.344086,9,60.7,,997.967391,32.548387,24.152903,19.854839,85.620968,,
82807,30/09/1970,0000,,,,67.7,,,211.2,5.5,17,72.4,,997.21,32.743333,25.072,21.233333,86.05,,
82807,31/10/1970,0000,,,,70.3,,,190.7,6.11828,20,283,,995.436559,32.609677,25.407097,22.070968,87.637097,,
82807,30/11/1970,0000,,,,71.7,,,145.9,6.011111,12,272.4,,994.681111,32.296667,25.721333,21.98,86.166667,,
82807,31/12/1970,0000,,,,50,,,130.5,6.139785,20,317.7,,995.096774,31,25.180645,22.493548,90.258065,,
82807,31/01/1971,0000,,,,47.5,,,113.4,7.075269,22,280.9,,995.637634,30.825806,24.804516,22.354839,89.951613,,
82807,28/02/1971,0000,0,0.16988,9.3,43.6,,,,7.297619,26,337.8,,995.959524,29.757143,24.285714,21.967857,89.196429,,
82807,31/03/1971,0000,0,0.246237,9.3,46.6,,,123.4,6.548387,24,170.3,,995.921505,30.73871,24.840645,22.490323,89.758065,,
82807,30/04/1971,0000,,,,45.9,,,,6.333333,21,170.1,,996.875556,30.046667,24.368667,21.603333,89.891667,,
82807,31/05/1971,0000,0,1.558696,9.3,43.5,,,139.9,5.967742,21,169.3,,998.716129,29.329032,23.670323,21.106452,90.693548,,
82807,30/06/1971,0000,0,0.734444,6.7,46.6,,,124.5,5.922222,21,48.4,,999.321111,29.09,22.933333,19.836667,90.625,,
82807,31/07/1971,0000,0,0.511828,9.3,63.8,,,199.2,4.806452,11,99.1,,999.708602,30.716129,23.570968,19.883871,87.524194,,
82807,31/08/1971,0000,0,0.129032,2.4,60.9,,,188,5.419355,17,121.5,,999.411828,30.929032,23.520645,20.119355,90.33871,,
82807,30/09/1971,0000,0,0.283333,6.7,58.8,,,164,6.2,23,169.1,,998.067778,31.833333,24.524667,21.39,87.758333,,
82807,31/10/1971,0000,0,0.281522,6.7,58.2,,,151.5,6.645161,20,125,,997.517204,30.887097,24.905161,22.029032,88.758065,,
82807,30/11/1971,0000,0,0.883333,6.7,54.2,,,151.2,6.344444,15,166.8,,995.974444,31.23,25.296,22.293333,89.058333,,
82807,31/12/1971,0000,0,1.47957,9.3,53.8,,,169.4,5.860215,23,300,,995.635484,31.193548,25.094194,21.954839,88.870968,,
82807,31/01/1972,0000,0,1.609677,9.3,43.8,,,114.7,6.913978,26,282,,995.717204,30.116129,24.491613,21.748387,91.572581,,
82807,29/02/1972,0000,0,1.808046,12.3,48.2,,,131.7,6.574713,21,397,,995.743678,30.462069,24.990345,22.082759,90.724138,,
82807,31/03/1972,0000,0,1.277419,4.4,49,,,139.1,6.107527,21,371.8,,995.545161,30.522581,24.81871,21.958065,90.774194,,
82807,30/04/1972,0000,0,1.491111,9.3,43.6,,,109.3,6.322222,22,195.2,,996.107778,29.886667,24.525333,21.633333,90.533333,,
82807,31/05/1972,0000,0,1.134409,6.7,46.3,,,169.9,5.526882,18,159.9,,995.746237,30.770968,24.767742,21.367742,91.169355,,
82807,30/06/1972,0000,0,1.13,9.3,49.5,,,198.9,5.222222,17,76.5,,996.165556,31.1,24.404667,20.793333,88.916667,,
82807,31/07/1972,0000,0,1.455914,9.3,57.2,,,185.2,5.075269,9,120,,996.313978,29.929032,23.18,19.048387,88.903226,,
82807,31/08/1972,0000,0,1.093548,4.4,59.2,,,205.1,4.967742,13,76.4,,994.554839,30.993548,24.083226,20.090323,87.314516,,
82807,30/09/1972,0000,0,0.461111,9.3,66.2,,,176,4.666667,15,136.3,,994.1,31.896667,24.803333,20.723333,85.091667,,
82807,31/10/1972,0000,0,0.583871,6.7,68.5,,,178.5,4.666667,18,111,,992.986022,31.906452,25.392903,21.519355,88.435484,,
82807,30/11/1972,0000,0,0.848889,4.4,54.9,,,109.9,5.7,17,125.6,,991.552222,31.26,25.327333,21.83,88.775,,
82807,31/12/1972,0000,0,0.531183,4.4,62,,,151.8,4.774194,19,155.9,,991.580435,31.929032,25.94,21.993548,87.653226,,
82807,31/01/1973,0000,0,0.993548,6.7,46,,,105.1,6.215054,24,238.3,,993.148387,31.390323,25.589032,22.519355,89.927419,,
