Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82992,28/02/1961,0000,,,,,,,,,1.2,,,,,,,,
82992,31/03/1961,0000,5,5,,,,,7.311828,13,151.2,,,,,21.712903,81.209677,,
82992,30/04/1961,0000,0,3,,,,,7.188889,16,81.7,,,,,21.36,83.658333,,
82992,31/05/1961,0000,0,3,,,,,7.688172,16,110.3,,,,,20.583871,86.282258,,
82992,30/06/1961,0000,9,5,,,,,7.6,23,176.3,,,,,19.846667,89.15,,
82992,31/07/1961,0000,0,5,,,,,7.139785,19,144,,,,,18.564516,90.169355,,
82992,31/08/1961,0000,0,3,,,,,7.666667,14,38.8,,,,,18.76129,89.177419,,
82992,30/09/1961,0000,9,5,,,,,5.911111,4,10,,,,,19.416667,79.383333,,
82992,31/10/1961,0000,5,5,,,,,6.72043,8,16,,,,,20.048387,80.008065,,
82992,30/11/1961,0000,5,5,,,,,5.244444,3,12.8,,,,,20.246667,74.916667,,
82992,31/12/1961,0000,5,5,,,,,5.72043,1,22.8,,,,,21.419355,71.629032,,
82992,31/01/1962,0000,5,5,,,,,4.27957,1,16,,,,,21.8,67.443548,,
82992,28/02/1962,0000,5,5,,,,,5.154762,1,1.2,,,,,21.960714,70.107143,,
82992,31/03/1962,0000,5,3,,,,,6.473118,3,13.8,,,,,21.551613,73.217742,,
82992,30/04/1962,0000,9,5,,,,,5.877778,7,20.3,,,,,21.53,77.366667,,
82992,31/05/1962,0000,0,5,,,,,7.247312,20,148.6,,,,,20.503226,85.024194,,
82992,30/06/1962,0000,0,3,,,,,8.433333,21,195.4,,,,,19.12,89.333333,,
82992,31/07/1962,0000,14,3,,,,,6.784946,16,145.3,,,,,18.790323,86.120968,,
82992,31/08/1962,0000,9,5,,,,,6.397849,9,23.8,,,,,18.8,81.241935,,
82992,30/09/1962,0000,5,3,,,,,5.944444,8,32,,,,,19.186667,78.525,,
82992,31/10/1962,0000,5,5,,,,,4.849462,1,1.4,,,,,20.23871,70.596774,,
82992,30/11/1962,0000,5,5,,,,,4.688889,1,0.8,,,,,21.22,74.616667,,
82992,31/12/1962,0000,5,5,,,,,5.731183,1,5.4,,,,,21.354839,71.959677,,
82992,31/01/1963,0000,5,5,,,,,4.774194,3,20,,,,,21.451613,69.185484,,
82992,28/02/1963,0000,5,7,,,,,5.416667,1,5.6,,,,,22.332143,70.446429,,
82992,31/03/1963,0000,0,3,,,,,6.774194,11,86,,,,,21.4,79.822581,,
82992,30/04/1963,0000,0,3,,,,,6.633333,9,70.4,,,,,21.296667,78.891667,,
82992,31/05/1963,0000,0,3,,,,,7.236559,18,111.6,,,,,20.1,84.693548,,
82992,30/06/1963,0000,0,3,,,,,7.488889,23,165.4,,,,,19.053333,90.1,,
82992,31/07/1963,0000,14,3,,,,,8.021505,20,64.9,,,,,18.125806,90.491935,,
82992,31/08/1963,0000,0,3,,,,,7.333333,15,51.9,,,,,18.33871,87.677419,,
82992,30/09/1963,0000,5,3,,,,,7.244444,10,46.7,,,,,19.03,81.466667,,
82992,31/10/1963,0000,5,5,,,,,5.032258,0,0,,,,,20.080645,70.612903,,
82992,30/11/1963,0000,5,5,,,,,5.488889,3,37.6,,,,,21.503333,71.266667,,
82992,31/12/1963,0000,5,7,,,,,7.215054,12,267.7,,,,,21.277419,77.58871,,
