Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82996,31/01/1961,0000,14,4,,,,,5.98913,11,170.7,,,29.229032,26.02,22.06129,77.822581,,
82996,28/02/1961,0000,14,4,,,,,5.5,6,73.4,,,29.128571,25.878571,21.303571,76.553571,,
82996,31/03/1961,0000,14,5,,,,,6.27957,19,285.2,,,28.925806,25.964516,21.835484,81.758065,,
82996,30/04/1961,0000,14,4,,,,,6.222222,18,255.6,,,28.373333,25.711333,21.853333,82.175,,
82996,31/05/1961,0000,14,7,,,,,6.548387,20,294.9,,,27.558065,24.797419,20.9,82.919355,,
82996,30/06/1961,0000,14,6,,,,,6.422222,25,228.1,,,26.653333,24.289333,20.803333,83.4,,
82996,31/07/1961,0000,14,7,,,,,6.666667,23,289.3,,,25.809677,23.430968,19.470968,83.016129,,
82996,31/08/1961,0000,14,7,,,,,6.064516,22,189.3,,1016.31828,26.016129,23.622581,20.235484,81.758065,,
82996,30/09/1961,0000,14,5,,,,,5.655556,12,52.4,,,27,24.436,21.09,79.958333,,
82996,31/10/1961,0000,14,6,,,,,6.462366,20,58.8,,,27.358065,24.698065,21.370968,82.185484,,
82996,30/11/1961,0000,14,6,,,,,5.244444,15,45,,1012.25,28.293333,25.149333,20.7,77.408333,,
82996,31/12/1961,0000,14,4,,,,,5.344086,8,35.8,,,28.932258,25.694194,21.648387,79.846774,,
82996,31/01/1962,0000,5,4,,,,,4.344086,0,0,,,29.912903,26.110968,20.983871,76.540323,,
82996,28/02/1962,0000,9,3,,,,,5,5,122.6,,,29.653571,26.272857,21.878571,78.196429,,
82996,31/03/1962,0000,14,4,,,,,5.806452,16,116.2,,,28.906452,26.033548,21.951613,78.41129,,
82996,30/04/1962,0000,14,5,,,,,6.055556,16,176.4,,,28.316667,25.318,20.856667,79.8,,
82996,31/05/1962,0000,14,5,,,,,6.225806,19,282.5,,,27.645161,24.825806,20.683871,81.508065,,
82996,30/06/1962,0000,14,5,,,,,7.555556,27,482.9,,,26.106667,23.681333,20.57,85.016667,,
82996,31/07/1962,0000,14,5,,,,,6.16129,20,199.8,,,25.983871,23.516774,19.590323,80.693548,,
82996,31/08/1962,0000,14,5,,,,,5.860215,18,78.1,,,26.370968,23.854194,20.135484,75.935484,,
