Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82067,31/01/1961,0000,0,1.032258,4,39.1,,,134.8,5.247312,21,383.6,,995.688172,30.732258,25.323226,22.396774,92.193548,,
82067,28/02/1961,0000,0,1.166667,4,50.9,,,174.1,5.083333,11,174.7,,996.541667,31.839286,25.658571,21.617857,88.660714,,
82067,31/03/1961,0000,0,1.182796,4,43.7,,,145,4.537634,16,308.2,,995.666667,31.564516,25.749032,22.490323,90.540323,,
82067,30/04/1961,0000,0,1.166667,8,33,,,128.5,4.344444,19,422,,996.191111,30.5,25.342667,22.273333,92.2,,
82067,31/05/1961,0000,0,0.931183,4,33.7,,,164.4,4.623656,24,437.8,,997.911828,30.277419,25.24129,22.280645,92.766129,,
82067,30/06/1961,0000,0,0.944444,5,28.4,,,96.3,4.488889,20,346.2,,998.333333,28.366667,23.826,21.193333,93.475,,
82067,31/07/1961,0000,0,0.913978,4,33.4,,,125.1,4.956989,22,360.9,,999.052688,28.967742,24.215484,21.209677,92.25,,
82067,31/08/1961,0000,36,1.129032,4,46.3,,,146.4,5.129032,22,422.7,,998.901075,30.341935,24.912903,21.387097,91.120968,,
82067,30/09/1961,0000,36,1.133333,7,52.6,,,144.2,5.277778,17,326.5,,1019.45,31.106667,25.024667,21.306667,90.466667,,
82067,31/10/1961,0000,0,0.875269,6,44.4,,,142.4,5.182796,16,412.4,,995.930108,30.487097,25.108387,21.645161,91.66129,,
82067,30/11/1961,0000,0,0.911111,4,40.2,,,155.8,5.488889,15,331.5,,995.878889,30.35,24.895333,21.513333,92.375,,
82067,31/12/1961,0000,0,0.924731,4,38.6,,,136.3,4.817204,23,353.9,,996.188172,29.96129,24.803871,21.470968,92.620968,,
82067,31/01/1962,0000,0,1.032258,6,44.4,,,120.7,4.989247,17,327.1,,997.002151,30.493548,25.205161,21.96129,91.774194,,
82067,28/02/1962,0000,0,0.952381,5,46.5,,,126,4.880952,19,232.4,,996.591667,30.728571,25.312857,21.792857,91.383929,,
82067,31/03/1962,0000,0,1.107527,6,46.6,,,123,5.075269,19,378.1,,996.434409,30.590323,25.347742,22.187097,91.935484,,
82067,30/04/1962,0000,0,0.922222,4,38.5,,,144.9,4.844444,20,501.2,,996.596667,30.533333,25.172667,22.046667,93.325,,
82067,31/05/1962,0000,0,0.860215,4,31.4,,,119.5,4.709677,27,624.7,,997.644086,29.096774,24.754839,22.083871,94.274194,,
82067,30/06/1962,0000,0,0.755556,5,32,,,133.3,4.711111,24,654.9,,998.723333,28.606667,24.092667,21.27,94.058333,,
82067,31/07/1962,0000,0,0.849462,4,28.2,,,104.1,4.924731,25,453.4,,999.88172,28.229032,23.76129,21.122581,94.258065,,
82067,31/08/1962,0000,0,0.913978,4,41.5,,,161.9,5.053763,21,364.6,,998.762366,29.925806,24.650323,21.23871,92.822581,,
82067,30/09/1962,0000,0,0.988889,5,55.3,,,172,4.566667,16,196.2,,997.271111,31.766667,25.598,21.71,90.533333,,
82067,31/10/1962,0000,0,0.827957,4,50.5,,,181.1,4.365591,14,268.5,,,31.364516,25.412258,21.822581,91.741935,,
82067,30/11/1962,0000,0,0.922222,3,43.2,,,166.6,5.9,16,274.3,,996.024444,31.07,25.611333,22.173333,92.208333,,
82067,31/12/1962,0000,0,0.989247,4,60.7,,,201.7,4.827957,13,208.9,,995.5,31.693548,25.90129,22.032258,90.733871,,
82067,31/01/1963,0000,0,0.763441,4,60.2,,,202.5,4.505376,12,185,,995.786022,31.66129,25.7,21.780645,89.935484,,
82067,28/02/1963,0000,0,1.107143,4,43.5,,,117.9,5.666667,15,241.8,,,30.921429,25.509286,21.9,91.017857,,
82067,31/03/1963,0000,9,1.462366,9,41.4,,,103.9,5.397849,27,405.2,,997.166667,30.741935,25.225161,21.896774,93.016129,,
82067,30/04/1963,0000,9,1.233333,3,37.5,,,126.7,5.444444,24,479.3,,996.863333,30.333333,25.2,22.143333,92.908333,,
82067,31/05/1963,0000,0,0.956989,2,28.6,,,129.1,5.247312,26,587.2,,,29.370968,24.790323,21.925806,93.604839,,
82067,30/06/1963,0000,36,1.011111,2,29.5,,,104.8,5.555556,28,479.3,,989.683333,28.38,24.437333,21.51,93.625,,
82067,31/07/1963,0000,9,1.064516,2,34,,,142.6,5.709677,25,400.5,,999.346237,28.996774,24.414839,21.283871,92.548387,,
82067,31/08/1963,0000,32,1.258065,7,39.2,,,185.4,5.924731,19,317.9,,998.108602,30.603226,25.169677,21.519355,92.129032,,
82067,30/09/1963,0000,36,1.044444,3,50.3,,,187,6.433333,18,299.4,,997.247778,31.663333,25.742667,21.536667,90.083333,,
82067,31/10/1963,0000,0,1.049383,4,56.5,,,175.2,6.148148,11,205.9,,997.296296,32.118519,25.854074,21.918519,88.759259,,
82067,30/11/1963,0000,36,0.922222,2,43.1,,,148.2,5.622222,17,431.3,,996.673333,30.57,25.238667,21.62,91.316667,,
82067,31/12/1963,0000,36,0.860215,4,39.7,,,157.6,5.419355,18,378.8,,996.863441,30.625806,25.520645,22.154839,92.153226,,
82067,31/01/1964,0000,36,0.967742,2,55.4,,,200.3,5.526882,8,180.4,,996.18172,31.977419,26.333548,22.487097,89.620968,,
