Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82533,31/01/1961,0000,0,0.891304,3,,,,,2.51087,,,,,,,,,,
82533,28/02/1961,0000,0,1.202381,5,,,,,2.690476,,,,,,,,,,
82533,31/03/1961,0000,0,0.83871,3,,,,,2.408602,,,,,,,,,,
82533,30/04/1961,0000,0,0.777778,3,,,,,2.855556,,,,,,,,,,
82533,31/05/1961,0000,0,0.946237,3,,,,,2.88172,,,,,,,,,,
82533,30/06/1961,0000,0,1.266667,3,,,,,2.822222,,,,1003.75,,,,,,
82533,31/07/1961,0000,0,1.11828,5,,,,,3.365591,,,,,,,,,,
82533,31/08/1961,0000,0,1.494624,5,,,,,3.483871,,,,,,,,,,
82533,30/09/1961,0000,0,1.4,3,,,,,3.433333,,,,,,,,,,
82533,31/10/1961,0000,5,1.892473,12,,,,,3.152174,,,,,,,,,,
82533,30/11/1961,0000,5,1.533333,3,,,,,3.111111,,,,,,,,,,
82533,31/01/1962,0000,0,1.434783,3,,,,,2.717391,,,,,,,,,,
82533,28/02/1962,0000,5,1.321429,3,,,,,2.297619,,,,,,,,,,
82533,31/03/1962,0000,0,1.247312,7,,,,,2.709677,,,,,,,,,,
82533,30/04/1962,0000,5,1.266667,3,,,,,2.966667,,,,,,,,,,
82533,31/05/1962,0000,23,1.193548,3,,,,,2.784946,,,,1003.26129,,,,,,
82533,30/06/1962,0000,0,1.277778,3,,,,,3.466667,,,,1003.39,,,,,,
82533,31/07/1962,0000,0,1.344086,3,,,,,3.354839,,,,,,,,,,
82533,31/08/1962,0000,5,1.473118,3,,,,,3.397849,,,,,,,,,,
82533,30/09/1962,0000,0,1.422222,3,,,,,3.166667,,,,,,,,,,
82533,31/10/1962,0000,0,1.462366,3,,,,,3.129032,,,,,,,,,,
82533,30/11/1962,0000,0,1.411111,3,,,,,2.911111,,,,,,,,,,
82533,31/01/1963,0000,0,1.271739,3,,,,,2.75,,,,,,,,,,
