Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82106,31/01/1961,0000,0,0.516129,3,40.2,,,160.5,5.053763,18,150.7,,999.592473,30.490323,25.902581,22.987097,89.201613,,
82106,28/02/1961,0000,0,0.452381,5,52.9,,,,4.02381,11,152.6,,,31.478571,25.933571,22.314286,84.375,,
82106,31/03/1961,0000,0,0.314607,3,59.6,,,152.5,4.204545,14,186.2,,999.723596,31.437931,26.244138,23.016667,85.844828,,
82106,30/04/1961,0000,0,0.366667,3,47.9,,,144.8,4.544444,13,235.6,,999.921111,30.66,26.219333,22.973333,87.7,,
82106,31/05/1961,0000,0,0.505747,8,37.5,,,144,4.930233,17,214.7,,1002.04023,30,25.407857,22.557143,90.818966,,
82106,30/06/1961,0000,0,0.366667,4,30.9,,,115.5,3.944444,20,222.9,,,27.933333,24.168667,21.46,93.525,,
82106,31/07/1961,0000,0,0.322581,3,36.6,,,160.7,3.913978,22,314.1,,,28.883871,24.373548,21.396774,90.677419,,
82106,31/08/1961,0000,0,0.408602,3,42.8,,,189.3,4.580645,16,146.7,,1002.63871,30.045161,25.003226,21.487097,88.991935,,
82106,30/09/1961,0000,0,0.588889,3,62.1,,,216.3,3.7,17,298.2,,1000.74,31.326667,25.677333,21.79,85.1,,
82106,31/10/1961,0000,0,0.387097,3,51.3,,,,4.236559,18,262,,999.924731,30.703226,25.672258,22.316129,88.201613,,
82106,30/11/1961,0000,0,0.311111,5,42.5,,,,4.066667,18,232.7,,999.792222,29.88,25.278667,22.156667,89.191667,,
82106,31/12/1961,0000,0,0.526882,5,40,,,,4.634409,21,251.1,,,29.858065,25.325161,22.229032,90.16129,,
82106,31/01/1962,0000,0,0.526882,5,42.1,,,189.7,4.709677,26,233,,,30.564516,25.385806,22.232258,89.41129,,
82106,28/02/1962,0000,0,0.52381,3,36.1,,,160.6,4.821429,19,373.3,,,30.460714,25.717143,22.692857,88.339286,,
82106,31/03/1962,0000,0,0.731183,5,39.5,,,169.1,4.516129,21,182.4,,,30.648387,25.681935,22.616129,88,,
82106,30/04/1962,0000,0,0.6,5,42.2,,,154.7,4.577778,22,170.4,,,30.16,25.653333,22.78,88.666667,,
82106,31/05/1962,0000,0,0.462366,3,39.2,,,157.7,4.591398,26,345.4,,,29.303226,25.150323,22.545161,91.919355,,
82106,30/06/1962,0000,0,0.4,3,31.6,,,152.4,4.244444,23,270.8,,,28.563333,24.428,21.826667,90.95,,
82106,31/07/1962,0000,0,0.548387,3,32,,,145.9,4.591398,26,287,,,27.945161,23.98,21.380645,92.040323,,
82106,31/08/1962,0000,0,0.27957,3,46.5,,,208,4.258065,18,154.8,,,30.306452,25.06,21.735484,88.08871,,
82106,30/09/1962,0000,0,0.644444,12,56.5,,,218.8,4.333333,16,189.3,,,31.74,25.84,22.16,86.183333,,
82106,31/10/1962,0000,0,0.569892,5,57.2,,,214,4.860215,14,111.7,,,31.467742,25.883226,22.441935,86.354839,,
82106,30/11/1962,0000,0,0.688889,5,49.4,,,187.8,4.277778,11,196.4,,999.767778,30.793333,25.791333,22.473333,87.083333,,
82106,31/12/1962,0000,0,0.548387,3,49.9,,,197.6,4.72043,17,194.6,,999.529032,30.93871,26.028387,22.864516,88.58871,,
82106,31/01/1963,0000,0,0.569892,7,49,,,181.2,4.419355,19,268.1,,,30.4,25.265806,22.093548,88.629032,,
82106,28/02/1963,0000,0,0.5,3,39.7,,,142.8,4.511905,16,343.1,,,30.060714,25.077143,21.889286,88.75,,
82106,31/03/1963,0000,0,0.677419,5,51.2,,,165.1,4.096774,14,110.5,,1000.7,30.529032,25.592903,22.535484,87.66129,,
82106,30/04/1963,0000,0,0.3,3,40.8,,,141.8,4.177778,17,404.1,,,29.85,25.036667,21.903333,90.683333,,
82106,31/05/1963,0000,0,0.344086,3,33.5,,,139.1,4.268817,26,303.7,,,28.774194,24.851613,22.358065,92.024194,,
82106,30/06/1963,0000,0,0.466667,5,31.7,,,144.6,4.122222,25,175.7,,,28.676667,24.351333,21.903333,92.008333,,
82106,31/07/1963,0000,0,0.709677,7,38.6,,,158.7,4.096774,18,225.5,,,28.832258,24.572258,21.780645,90.975806,,
82106,31/08/1963,0000,0,0.569892,9,47.7,,,,3.860215,18,141.6,,,30.632258,25.489032,22.2,89.766129,,
