Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82317,30/09/1969,0000,,,,62.4,,,240.6,5.816667,10,78.1,,,31.223333,28.079333,25.656667,82.033333,,
82317,28/02/1970,0000,,,,,,,139.4,7.192771,18,301.4,,,31.269231,26.251538,23.221429,87.232143,,
82317,31/03/1970,0000,,,,55.4,,,132,7.247312,24,243.8,,1005.74086,31.116129,25.985806,23.154839,88.282258,,
82317,30/04/1970,0000,,,,54.2,,,138.1,7.266667,18,341.4,,,30.95,25.968667,22.973333,88.408333,,
82317,31/05/1970,0000,,,,69.1,,,198.5,5.473118,14,141,,,31.945161,26.704516,23.183871,85.685484,,
82317,30/06/1970,0000,9,4.120225,12.3,70.3,,,177.5,5.122222,13,116,,,30.931034,25.697931,22.59,88.691667,,
82317,31/07/1970,0000,18,3.979348,12.3,73.3,,,180.1,4.870968,8,71,,,30.558065,25.543871,21.980645,83.685484,,
82317,31/08/1970,0000,9,3.14086,12.3,69,,,229.3,3.892473,11,72,,,32.090323,26.300645,22.529032,79.548387,,
82317,30/09/1970,0000,9,2.747778,12.3,68.9,,,194.7,4.677778,16,100,,,31.973333,26.206,22.463333,81.841667,,
82317,31/10/1970,0000,18,2.980645,9.3,79.9,,,203.8,3.989247,8,70,,,33.058065,27.033548,22.954839,79.959677,,
82317,30/11/1970,0000,9,3.48764,12.3,72.8,,,195.8,4.833333,11,222.8,,,32.453333,26.677333,22.893333,82.225,,
82317,31/12/1970,0000,9,3.017391,12.3,63.6,,,188.2,4.709677,15,163,,,31.335484,26.203871,22.854839,84.677419,,
82317,31/01/1971,0000,9,3.227473,9.3,49.5,,,142.6,5.354839,18,251,,,30.077419,25.409032,22.709677,87.064516,,
82317,28/02/1971,0000,9,3.516867,12.3,41.5,,,97.4,6.214286,,159,,,29.564286,24.907857,22.267857,88.598214,,
82317,31/03/1971,0000,9,2.242857,9.3,50.9,,,140,6.032258,19,224,,,30.948387,25.670968,22.787097,88.040323,,
82317,30/04/1971,0000,18,2.487778,12.3,58.4,,,129.6,5.7,14,360,,,30.406667,25.456,22.5,86.583333,,
82317,31/05/1971,0000,18,3.050538,9.3,57.9,,,139.5,5.634409,17,220,,,30.645161,25.529032,22.693548,87.120968,,
82317,30/06/1971,0000,18,2.653333,6.7,49.3,,,125.8,5.244444,15,253,,,30.086667,25.026667,22.343333,89.158333,,
82317,31/07/1971,0000,18,2.665591,9.3,80.8,,,202.7,4.548387,,197,,,31.406452,25.59871,22.216129,84.41129,,
82317,31/08/1971,0000,18,2.706452,9.3,79.1,,,205.6,4.505376,,94,,,31.222581,25.570968,22.019355,84.935484,,
82317,30/09/1971,0000,18,2.813333,12.3,80.8,,,199.4,4.444444,,71,,,32.346667,26.266,22.516667,82.433333,,
82317,31/10/1971,0000,18,2.798913,12.3,82,,,185.6,5.010753,,152,,,31.829032,26.063871,22.535484,83.395161,,
82317,30/11/1971,0000,18,2.684444,12.3,61.3,,,136.4,5.422222,,122,,,30.933333,25.754,22.643333,85.658333,,
82317,31/12/1971,0000,18,2.796774,12.3,80.2,,,216.8,4.752688,,172,,,32.232258,26.174194,22.464516,84.733871,,
82317,31/01/1972,0000,9,2.506452,12.3,67,,,149,5.516129,17,220.4,,,30.348387,25.328387,22.545161,87.282258,,
82317,29/02/1972,0000,9,3.062791,12.3,74.1,,,150,5.643678,18,276,,,30.62069,25.608966,22.741379,85.913793,,
82317,31/03/1972,0000,18,3.051613,9.3,72.3,,,143.7,5.645161,,295,,,30.63871,25.810323,22.974194,85.782258,,
82317,30/04/1972,0000,18,2.253333,6.7,63.7,,,126.7,6.1,16,284,,,30.85,25.918,22.92,86.583333,,
82317,31/05/1972,0000,18,2.636559,12.3,70.5,,,162.3,5.569892,17,294,,,31.274194,26.02,22.993548,87.120968,,
82317,30/06/1972,0000,18,2.753333,9.3,67.7,,,178.2,4.577778,,152,,,31.303333,25.998667,22.936667,86.466667,,
82317,31/07/1972,0000,18,3.021505,12.3,67.8,,,195.5,4.494624,,126,,1007.025,31.729032,25.997419,22.677419,84.653226,,
82317,31/08/1972,0000,18,3.109677,9.3,88.8,,,233.5,4.365591,,130,,,31.903226,25.939355,22.63871,84.475806,,
82317,30/09/1972,0000,18,2.534444,9.3,86.3,,,173.2,4.677778,,115,,,32.016667,26.342667,22.75,82.883333,,
82317,31/10/1972,0000,18,2.851613,9.3,110.9,,,214.2,4.494624,,127,,,32.941935,27.054839,23.364516,81.508065,,
82317,30/11/1972,0000,18,3.238889,9.3,83.3,,,156.5,5.556818,,191,,,32.013333,26.49,23.303333,84.066667,,
82317,31/12/1972,0000,18,2.83913,9.3,79.5,,,160.9,5.623656,,144,,,31.780645,26.389032,23.248387,85.951613,,
82317,31/01/1973,0000,9,3.132609,12.3,101.3,,,181.8,4.978261,,190,,,32.174194,26.703226,23.651613,83.814516,,
82317,28/02/1973,0000,5,2.352381,12.3,78.4,,,130.8,4.583333,,177,,,32.146429,27.082143,23.971429,83.303571,,
82317,31/03/1973,0000,18,2.927957,12.3,71.9,,,162.1,3.677419,19,306,,,32,26.676129,23.522581,84.516129,,
82317,30/04/1973,0000,18,2.431111,12.3,62.4,,,149.7,3.696629,20,210,,,31.72,26.447333,23.65,87.05,,
82317,31/05/1973,0000,18,2.765591,9.3,55.7,,,126.1,3.698925,21,282.3,,,31.051613,26.128387,23.190323,87.306452,,
82317,30/06/1973,0000,,2.764444,6.7,,,,144.4,,,,,,,,,,,
82317,31/07/1973,0000,18,2.778495,6.7,63.1,,,150.3,3.423913,18,214,,,30.812903,25.587097,22.464516,86.274194,,
82317,31/08/1973,0000,18,2.96129,9.3,78.8,,,232.5,3.354839,,142,,,32.290323,26.602581,22.987097,83.008065,,
82317,30/09/1973,0000,18,3.405618,9.3,81.8,,,202,3.366667,15,183,,,32.42,26.728667,22.87,80.925,,
82317,31/10/1973,0000,5,2.909677,9.3,103.3,,,216.3,3.268817,,163,,1005.35914,33.2,27.378065,23.477419,80.435484,,
82317,30/11/1973,0000,18,2.552222,6.7,66.2,,,145.8,3.7,,174,,,32.163333,26.605333,23.443333,85.133333,,
