Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83179,31/01/1977,0000,5,2.671739,6.6,163.8,,,143.2,6.576087,11,145.4,,,31.290323,,,70.943548,,
83179,28/02/1977,0000,5,2.363095,7,121.1,,,230.2,5.309524,8,28.3,,,31.396429,,,69.125,,
83179,31/03/1977,0000,5,2.463441,5.8,213.3,,,292.1,3.129032,5,14,,,35.041935,,,53.830645,,
83179,30/04/1977,0000,5,2.511111,7.6,170.5,,,214.3,5.988889,7,63.6,,,33.156667,,,64.141667,,
83179,31/05/1977,0000,5,2.031183,4.8,162.8,,,224,5.55914,2,11.2,,,31.711765,,,63.427419,,
83179,30/06/1977,0000,5,2.876667,6,227.6,,,275.9,2.988889,0,0,,,,,,53.166667,,
83179,31/07/1977,0000,5,2.944086,6.3,270.4,,,309.2,1.924731,0,0,,,,,,47.629032,,
83179,31/08/1977,0000,5,3.180488,8,315.6,,,308,1.483871,0,0,,,,,,41.25,,
83179,30/09/1977,0000,5,3.638889,7.5,309.5,,,247.5,4.377778,5,80.6,,966.898889,33.686667,26.962667,20.766667,47.591667,,
83179,31/10/1977,0000,5,2.552688,6.3,210.8,,,228.3,5.322581,6,57.7,,966.124731,32.267742,26.616129,21.522581,59.564516,,
83179,30/11/1977,0000,5,2.967778,7.5,249.6,,,248.5,5.488889,8,119.6,,964.107778,34.826667,27.777333,21.806667,55.183333,,
83179,31/12/1977,0000,5,2.247312,7,122,,,176.1,6.537634,15,196.3,,964.324731,30.674194,25.345161,20.390323,72.862903,,
83179,31/01/1978,0000,5,2.018478,9.1,105.8,,,250.7,4.72043,8,72.3,,965.834409,31,24.880645,19.167742,73.862903,,
83179,28/02/1978,0000,5,2.327381,9,94.6,,,151.1,6.25,10,241.5,,964.936905,30.3,24.972857,20.285714,78.0625,,
83179,31/03/1978,0000,5,2.103226,6.6,78.8,,,198.6,6.225806,12,216,,966.08172,29.512903,24.29871,19.687097,78.951613,,
83179,30/04/1978,0000,5,1.862222,4.6,90.9,,,221.6,4.544444,9,148.1,,965.442222,30.126667,24.372,19.15,77.091667,,
83179,31/05/1978,0000,5,1.837634,4.8,103.6,,,231.5,4.365591,4,13.4,,966.07957,30.4,24.122581,18.735484,75.548387,,
83179,30/06/1978,0000,14,1.918889,7,121.5,,,231.3,3.411111,5,15,,969.033333,29.616667,22.66,16.26,70.016667,,
83179,31/07/1978,0000,14,1.884946,6.3,159.3,,,267.6,3.129032,1,1,,967.387097,31.396774,23.627742,15.53871,60.572581,,
83179,31/08/1978,0000,5,2.41828,5.8,232.7,,,304.3,2.268817,0,0,,968.519355,32.354839,23.890968,15.345161,50.653226,,
83179,30/09/1978,0000,5,3.187778,8.8,284.2,,,274.2,3.522222,0,0,,966.884444,33.476667,26.13,18.163333,46.55,,
83179,31/10/1978,0000,5,3.245161,8.3,273.3,,,231.1,5.322581,6,34.2,,964.834409,34.122581,27.325161,20.412903,49.717742,,
83179,30/11/1978,0000,5,2.974444,6.6,253.6,,,192.1,5.533333,8,100.9,,964.05,34.14,27.466667,20.936667,52.083333,,
83179,31/12/1978,0000,5,1.951613,6.6,108.8,,,237,5.623656,15,135.9,,964.945161,30.435484,24.91871,20.312903,74.887097,,
83179,31/01/1979,0000,5,1.878889,5.1,87.1,,,137.5,5.903226,9,141.2,,963.778495,30.393548,24.958667,20.545161,76,,
83179,28/02/1979,0000,,,4,,,,,,11,111.1,,964.454167,29.5875,24.998667,21.7125,81.95,,
83179,31/03/1979,0000,,,,,,,,,2,20.8,,,,,,,,
83179,30/04/1979,0000,5,1.644828,5.3,124.9,,,212.5,3.944444,8,83.9,,965.502222,30.7,25.544,20.936667,,,
83179,31/05/1979,0000,5,1.511828,5.6,128.6,,,298.3,2.27957,2,3.1,,966.13871,30.903226,,,,,
83179,30/06/1979,0000,,,5,,,,,2.220588,,0,,,30,22.005,15.31875,52.875,,
83179,31/07/1979,0000,5,0.544086,2.8,187.6,,,301.5,2.387097,0,0,,,30.629032,22.892258,15.429032,56.354839,,
83179,31/08/1979,0000,5,1.75914,6.3,211.9,,,303.9,2.139785,1,5.3,,,32.483871,24.648387,17.280645,53.443548,,
83179,30/09/1979,0000,5,2.588506,5.6,207.1,,,290.4,1.988889,0,0,,,33.73,26.533333,19.15,47.4,,
83179,31/10/1979,0000,5,2.736559,6.5,230,,,231.2,3.108696,2,29.4,,,34.641935,27.460645,21.445161,52.491935,,
83179,30/11/1979,0000,5,2.104444,5.3,135.4,,,214.6,5.555556,10,111.7,,964.312281,32.243333,26.142,20.906667,68.058333,,
83179,31/12/1979,0000,5,2.33871,7,159.3,,,237,3.763441,8,47.4,,965.224731,33.022581,26.59871,20.725806,63.459677,,
83179,31/01/1980,0000,5,2.083146,5.3,116.4,,,192.6,4.152174,15,255.8,,965.883871,29.864516,25.055484,20.945161,76.854839,,
83179,29/02/1980,0000,5,2.165116,6.1,76.6,,,105.5,5.945205,19,356.7,,964.6525,,,21.827586,83.8125,,
83179,31/03/1980,0000,5,1.507527,4.6,138.2,,,275,2.644444,3,3.8,,966.237209,,,19.903226,65.315217,,
83179,30/04/1980,0000,14,1.571111,4.5,136.7,,,236.4,3.204545,3,63.3,,966.503333,,,19.64,67.058333,,
83179,31/05/1980,0000,5,1.475556,3.8,148,,,304.7,3,1,0.6,,967.326882,,,17.116129,60.717742,,
83179,30/06/1980,0000,5,1.922222,5,156.1,,,294.1,2.377778,0,0,,968.1,31.253333,23.667333,16.73,59.441667,,
83179,31/07/1980,0000,5,2.001087,5,190.1,,,305.7,2.55914,0,0,,968.8,31.512903,23.426452,15.922581,53.41129,,
83179,31/08/1980,0000,5,2.531183,6.1,229.3,,,302.5,2.741935,0,0,,968.151613,32.306452,24.304516,16.032258,45.685484,,
83179,30/09/1980,0000,5,3.327778,7.3,269.4,,,250.3,3.166667,1,2,,967.045556,33.843333,26.529333,19.28,45.233333,,
83179,31/10/1980,0000,5,3.196774,6.8,312.5,,,276.8,3.282609,1,1.3,,965.906452,34.9,27.947097,21.293548,40.669355,,
83179,30/11/1980,0000,5,2.368889,9,148.3,,,177.9,6.25,13,164,,965.444444,31.656667,25.981333,21.73,71.258333,,
83179,31/12/1980,0000,5,2.167742,5.5,112.6,,,196.6,4.8875,14,118.7,,964.73871,30.693548,25.314194,21.1,74.314516,,
83179,31/01/1986,0000,5,2.023913,6.6,148.9,,,248.4,4.847826,7,43.3,,964.916304,31.006452,25.29871,20.332258,73.225806,,
83179,28/02/1986,0000,5,1.830952,8,94.6,,,222.5,5.27381,12,201.4,,964.744048,31.053571,25.452857,20.65,74.964286,,
83179,31/03/1986,0000,5,1.696774,7,62,,,246.6,5.032609,12,102,,964.904301,30.732258,25.389677,20.564516,75.967742,,
83179,30/04/1986,0000,5,1.486667,4.6,79.9,,,234,3.647059,8,122.3,,964.292222,31.516667,25.604667,20.863333,74.066667,,
83179,31/05/1986,0000,5,1.775269,4.6,208.4,,,286.7,2.326087,0,0,,965.734409,31.787097,24.547742,18.064516,66.919355,,
83179,31/07/1986,0000,5,2.221111,5.8,200.5,,,287.4,2.359551,1,0.5,,969.11087,31.822581,24.034194,16.183871,54.177419,,
83179,31/08/1986,0000,5,2.726087,6.3,247.6,,,291,2.16129,2,3.9,,966.413978,32.822581,25.107097,17.419355,51.225806,,
83179,31/10/1986,0000,5,2.786957,6.3,221.7,,,227.6,4.826087,8,47.3,,965.147826,33.283871,26.601935,20.683871,57.58871,,
83179,31/12/1986,0000,5,2.955435,7.3,216.2,,,221.6,4.715909,8,87,,964.659783,34.490323,27.330323,21.322581,63.201613,,
83179,31/01/1987,0000,5,2.291398,8.3,180.7,,,270.1,3.651685,8,33.3,,964.450538,34.064516,26.867097,20.387097,69.008065,,
83179,28/02/1987,0000,5,2.946429,7.5,255.5,,,214.4,3.304878,2,15.6,,964.314286,35.553571,28.362857,21.742857,59.642857,,
83179,31/03/1987,0000,5,2.344086,9,121.5,,,179.4,6.301075,16,117.6,,963.902151,31.629032,25.991613,21.745161,77.540323,,
83179,30/04/1987,0000,5,2.158621,6.5,131.7,,,243.7,4.155556,7,86.5,,965.358889,31.953333,25.756667,20.223333,73.55,,
83179,31/05/1987,0000,5,2.313978,5.8,199.3,,,295,2.304348,1,6.3,,965.404301,32.948387,25.887742,19.454839,64.427419,,
