Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83288,30/09/1969,0000,,,5,,,,,,1,0.6,,959.90339,34.31,26.456,18.12,37.5625,,
83288,31/10/1969,0000,0,1.634409,7,253.4,,,265.5,4.795699,5,28.5,,959.124731,34.8,27.290968,20.180645,43.653226,,
83288,30/11/1969,0000,0,1.622222,5,195.4,,,254.4,5.788889,11,73.4,,959.558889,34.04,26.618667,21.096667,54.616667,,
83288,31/12/1969,0000,0,1.032258,5,74.8,,,132,8.021505,21,350.8,,959.06129,28.454839,23.54,20.190323,79.354839,,
83288,31/01/1970,0000,0,0.849462,4,86.3,,,226.4,6.268817,15,192.8,,961.105376,30.029032,24.228387,20.267742,78.427419,,
83288,28/02/1970,0000,0,1.142857,5,100.1,,,216.6,6.168675,6,133.4,,961.716667,30.360714,24.373571,20.121429,73.616071,,
83288,31/03/1970,0000,0,0.763441,5,103,,,293.4,4,6,69.8,,961.511828,30.903226,24.147742,18.725806,72.903226,,
83288,30/04/1970,0000,0,1.044444,7,102.9,,,228.5,5.855556,8,44.8,,961.957778,30.756667,24.040667,19.603333,73.741667,,
83288,31/05/1970,0000,0,1.592473,9,141.3,,,285.7,3.010753,0,0,,962.639785,31.212903,23.26129,16.967742,62.693548,,
83288,30/06/1970,0000,0,1.744444,7,129.4,,,265,2.877778,0,0,,964.583333,30.766667,22.43,15.426667,57.091667,,
83288,31/07/1970,0000,18,2.698925,8,214.5,,,299.3,2.870968,0,0,,966.036559,30.216129,22.434194,15.622581,52.427419,,
83288,31/08/1970,0000,0,2.096774,9,277.8,,,322.1,2.634409,0,0,,964.055914,31.770968,23.529032,15.516129,43.201613,,
83288,30/09/1970,0000,0,1.912222,7,239.8,,,289.9,3.377778,2,3.8,,961.52,34.44,26.297333,17.876667,42.266667,,
83288,31/10/1970,0000,0,1.505376,7,118.6,,,212.4,6.301075,10,151.4,,960.402151,32.435484,25.689677,20.687097,65.112903,,
83288,30/11/1970,0000,0,1.288889,7,39.5,,,204.5,6.733333,8,229.3,,959.44,30.206667,24.252667,19.643333,75.341667,,
83288,31/12/1970,0000,0,0.645161,5,105.4,,,280.9,4.827957,8,118.8,,959.784946,32.129032,25.094194,19.741935,68.975806,,
83288,31/01/1973,0000,0,0.826087,7,99.7,,,307.4,4.054348,9,82.8,,961.406522,32.9,25.879355,20.190323,69.693548,,
83288,28/02/1973,0000,0,1.902439,7,131.8,,,224,5.95122,4,34.7,,960.77561,33.532143,26.543571,20.807143,68.288462,,
83288,31/03/1973,0000,0,1.344086,7,121.2,,,226.1,5.967742,12,112.2,,960.480645,32.86129,25.816774,20.341935,73.379032,,
83288,30/04/1973,0000,0,1.177778,5,117.3,,,275.2,3.944444,10,54.5,,961.266667,32.963333,25.604,19.16,64.458333,,
83288,31/05/1973,0000,0,1.641304,7,161.8,,,265.6,4.430108,5,15.9,,962.529348,32.546667,25.290667,18.774194,58.425,,
83288,30/06/1973,0000,0,1.777778,6,188.5,,,282.9,2.611111,0,0,,962.796667,33.06,24.975556,16.988889,50.916667,,
83288,31/07/1973,0000,0,1.849462,8,250.3,,,301.8,3.172043,0,0,,963.976344,32.26,,,46.691667,,
83288,31/08/1973,0000,0,2.044444,8,271.8,,,287.5,2,,0,,963.04,33.803571,,,41.169643,,
83288,30/09/1973,0000,9,2.621111,6.1,,,,232.2,2.977778,3,3.9,,962.775556,34.311538,26.6256,19.072,43.72,,
83288,31/10/1973,0000,18,1.991398,6.6,134,,,201.5,6.655914,16,105,,960.208602,31.493548,25.529677,21.048387,64.645161,,
83288,30/11/1973,0000,9,2.044828,4.1,155.9,,,213.1,6.827586,9,138.1,,960.025287,32.753333,26.026667,21.406667,69.231481,,
83288,31/12/1973,0000,18,1.631183,4.6,114,,,265.4,4.827957,14,117.9,,960.354839,31.777419,25.02129,20.180645,73.822581,,
83288,31/01/1974,0000,9,1.916129,6.1,114,,,253.7,4.989247,14,138.5,,959.752688,31.329032,24.721935,19.645161,72.532258,,
83288,28/02/1974,0000,9,1.83494,4,128.5,,,227.7,5.771084,13,41.7,,959.513253,32.8,25.746429,19.85,64.537037,,
83288,31/03/1974,0000,36,1.864516,5.5,89,,,142.5,7.641304,20,235.1,,959.921505,30.151613,24.500645,21.074194,80.024194,,
83288,30/04/1974,0000,18,1.8,9.3,100.1,,,253.3,4.677778,9,37,,961.207778,,,19.75,74.125,,
83288,31/05/1974,0000,14,1.872043,5.6,136.2,,,268.3,4.376344,4,6.7,,963.301075,,,18.433333,67.572581,,
83288,30/06/1974,0000,18,1.998889,4.6,180.1,,,302.2,2.022222,1,6.7,,963.624444,30.74,22.1512,14.95,54.641667,,
83288,31/07/1974,0000,14,2.672043,5.3,238.5,,,314.6,2.311828,0,0,,966.27957,29.983871,22.073548,14.506452,46.145161,,
83288,31/08/1974,0000,9,2.316129,4.8,266.5,,,311.9,2.462366,2,1.4,,963.831183,32.406452,24.211613,15.954839,42.645161,,
83288,30/09/1974,0000,14,2.502222,6.8,316.2,,,270.6,2.855556,0,0,,962.502222,33.956667,25.826667,17.28,37.9,,
83288,31/10/1974,0000,18,1.984946,6.6,190.6,,,180.9,5.817204,11,98.1,,960.568817,32.364516,25.514194,20.112903,63.112903,,
83288,30/11/1974,0000,9,1.816667,4.6,95.7,,,186.6,6.966667,17,235.9,,960.444444,29.6,24.013333,19.62,75.591667,,
83288,31/12/1974,0000,23,1.71828,4.8,106.9,,,244,6.096774,8,140.4,,960.234409,31.419355,24.516774,19.274194,72.5,,
83288,31/01/1975,0000,9,2.017391,4.6,166.9,,,268.4,5.217391,11,129,,960.398913,32.946667,25.426667,19.33871,64.675,,
83288,28/02/1975,0000,36,1.716667,5.1,113.2,,,212.7,5.261905,14,35.8,,960.884524,32.432143,25.152143,19.746429,70.901786,,
83288,31/03/1975,0000,14,2.029032,4.5,186.8,,,248,5.408602,14,92.3,,960.976344,33.635484,26.29871,20.33871,63.064516,,
83288,30/04/1975,0000,18,1.783333,3.5,90,,,220.2,4.977778,13,180.6,,961.183333,30.213333,24.086,19.98,78.208333,,
83288,31/05/1975,0000,18,2.15914,4.1,163,,,313.1,2.806452,1,3.8,,963.110753,30.409677,23.027742,17.119355,63.395161,,
83288,30/06/1975,0000,14,2.274444,4.3,171.4,,,256.6,3.222222,0,0,,965.151111,30.476667,22.241333,15.64,55.233333,,
83288,31/07/1975,0000,14,2.632258,6.6,234.3,,,265.8,3.430108,0,0,,965.205376,29.990323,22.619355,15.93871,49.790323,,
83288,31/08/1975,0000,9,2.655435,6.6,297.1,,,310.1,2.23913,1,11.4,,964.806522,31.89,24.300667,16.26129,40.458333,,
83288,30/09/1975,0000,14,2.781111,6.8,309.6,,,298.9,1.922222,3,6.6,,963.58,33.533333,25.654,17.163333,38.375,,
83288,31/10/1975,0000,9,2.135484,6.5,198.5,,,176.3,6.580645,16,108.3,,960.5,32.932258,26.056774,20.658065,60.66129,,
83288,30/11/1975,0000,14,1.762222,4,128.3,,,230.4,6.044444,11,121.5,,960.297778,31.83,24.964667,20.226667,69.783333,,
83288,31/12/1975,0000,14,2.050538,4.8,183.4,,,268.5,5.139785,9,40.2,,959.625806,33.016129,25.580645,19.606452,60.895161,,
83288,31/01/1976,0000,14,2.216129,4.5,264.2,,,305.2,5.032258,10,32.3,,959.048387,35.483871,27.247742,20.174194,49.419355,,
83288,29/02/1976,0000,14,1.784884,4.5,125.9,,,201.9,6.05814,14,138.3,,960.07907,31.741379,25.232414,20.431034,71.723214,,
83288,31/03/1976,0000,14,2.127957,4.1,228.3,,,303.3,5,6,20.7,,959.444086,34.480645,27.132903,20.645161,52.830645,,
83288,30/04/1976,0000,14,2.331111,5,254.6,,,282.1,4.144444,4,23.1,,960.872222,34.55,26.843333,19.743333,46.458333,,
83288,31/05/1976,0000,14,2.243011,4.3,252.6,,,220.3,5,1,0.1,,962.267742,33.180645,26.254194,19.916129,46.282258,,
83288,30/06/1976,0000,14,2.254444,4.5,269.9,,,301.7,1.488889,1,1.5,,963.765556,32.363333,24.05,16.06,40.95,,
83288,31/07/1976,0000,14,2.604301,5.8,291.3,,,293.9,2.612903,0,0,,966.013978,31.374194,23.694194,16.541935,42.233871,,
83288,31/08/1976,0000,14,2.501075,5.1,320.3,,,319.9,1.387097,0,0,,964.003226,33.1,24.88,16.625806,37.040323,,
83288,30/09/1976,0000,14,2.302222,6.6,287.3,,,226.2,4.033333,7,21,,961.722222,34.396667,27.009333,19.96,42.725,,
83288,31/10/1976,0000,14,2.217204,7,164,,,213.3,6.354839,15,178.1,,961.245161,30.890323,24.848387,19.870968,64.306452,,
83288,30/11/1976,0000,18,1.827778,3.8,94.5,,,180.7,7.477778,14,174.3,,960.727778,29.863333,24.449333,20.966667,77.766667,,
83288,31/12/1976,0000,18,1.705376,4.6,122.3,,,251.5,6.236559,11,112.3,,960.245161,31.683871,24.965806,20.093548,71.032258,,
83288,31/01/1977,0000,14,2.219355,5.1,112.2,,,179.3,6.784946,21,227.6,,960.876344,29.86129,24.156774,20.193548,78.048387,,
83288,28/02/1977,0000,14,2.042857,4.6,103.1,,,232.6,5.166667,12,59.9,,962.965476,29.921429,24.126429,19.557143,76.214286,,
83288,31/03/1977,0000,14,2.222581,5.8,214.3,,,295.6,3.344086,1,0.3,,960.717204,34.183871,26.052903,19.412903,59.548387,,
83288,30/04/1977,0000,14,2.153333,4.5,153.4,,,218.8,5.355556,12,103.2,,961.336667,32.36,25.595333,20.556667,65.366667,,
83288,31/05/1977,0000,14,2.064835,4.1,141.5,,,256.2,3.857143,4,60.1,,963.238462,30.170968,23.612667,18.493548,65.175,,
83288,30/06/1977,0000,14,2.33,4.8,181.7,,,252.8,3.444444,2,0.7,,964.604444,30.67,23.634667,17.68,59.541667,,
83288,31/07/1977,0000,14,2.394565,5,238.6,,,309.7,1.75,0,0,,965.033696,31.273333,23.512,15.990323,49.283333,,
83288,31/08/1977,0000,14,2.493548,6.6,289.2,,,312.6,1.365591,0,0,,963.321505,33.796774,25.007097,16.796774,37.16129,,
83288,30/09/1977,0000,14,2.484444,4.8,265.6,,,208.4,3.911111,6,42.7,,963.18,33.29,26.228667,19.546667,47.466667,,
83288,31/10/1977,0000,9,1.950538,4.6,184.6,,,219,5.612903,9,46.5,,962.191398,32.316129,25.712903,20.283871,59.225806,,
83288,30/11/1977,0000,14,2.044444,5.5,161.9,,,181.2,6.355556,16,151.6,,960.371111,32.553333,26.078,21.346667,64.808333,,
83288,31/12/1977,0000,9,1.874194,6.1,114.9,,,212.3,6.075269,16,369.8,,960.789247,31.06129,25.129032,20.548387,72.967742,,
83288,31/01/1978,0000,9,1.943011,5,95.4,,,257.1,5.698925,13,219.2,,962.064516,30.7,24.773548,20.309677,76.387097,,
83288,28/02/1978,0000,23,1.72381,4.1,63.5,,,142.9,6.797619,16,243.5,,961.260714,29.110714,24.233571,20.871429,84.473214,,
83288,31/03/1978,0000,14,1.845161,5.3,75.2,,,200.8,6,13,143.1,,962.303226,29.212903,23.757419,19.845161,81.153226,,
83288,30/04/1978,0000,18,1.786517,5,70.9,,,203.1,5.011111,11,117,,961.885556,29.156667,23.542667,19.386667,79.483333,,
83288,31/05/1978,0000,14,1.672043,3.6,79,,,244,4.204301,5,70.3,,962.525806,29.193548,22.625161,17.967742,81.419355,,
