Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83339,31/01/1961,0000,14,2.521739,12,42.3,,,174.7,6.543478,14,155.7,,915.207609,27.512903,21.995484,17.577419,80.064516,,
83339,28/02/1961,0000,14,2.928571,14,76.9,,,263,3.5,2,2.4,,916.091667,29.064286,22.259286,16.921429,67.714286,,
83339,31/03/1961,0000,14,4,14,92.1,,,262.7,4.44086,3,58.8,,915.927957,29.632258,23.046452,17.809677,68.790323,,
83339,30/04/1961,0000,14,5.411111,14,117.7,,,240.1,4.511111,7,39.7,,916.514444,29.36,22.294667,17.163333,71.225,,
83339,31/05/1961,0000,14,5.05914,14,94.7,,,264.3,3.645161,1,3.3,,917.687097,28.354839,21.49871,16.170968,62.612903,,
83339,30/06/1961,0000,14,6.911111,14,124.1,,,219.8,4.611111,6,56.3,,919.373333,24.896667,19.252,14.476667,69.875,,
83339,31/07/1961,0000,14,5.172043,14,114,,,,3.924731,6,24.4,,919.565591,24.458065,18.366452,13.551613,64.943548,,
83339,31/08/1961,0000,14,6.903226,14,169.6,,,,2.634409,2,4.7,,919.691398,26.077419,19.210323,12.983871,57.169355,,
83339,30/09/1961,0000,14,6.155556,14,206.7,,,286.9,1.666667,0,0,,917.125556,29.916667,22.382667,14.586667,46.816667,,
83339,31/10/1961,0000,14,6.548387,14,228.5,,,261.6,3.526882,3,8.7,,916.44086,28.954839,22.503226,16.26129,54.467742,,
83339,30/11/1961,0000,14,4.333333,14,235.5,,,296.2,2.755556,2,30.8,,914.704444,31.736667,24.575333,17.503333,50.05,,
