Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83498,31/01/1961,0000,5,3.591304,7.2,81.9,,,178.1,7.869565,10,45.6,,,29.848387,25.96129,23.03871,80.548387,,
83498,28/02/1961,0000,5,2.779762,7.2,94.8,,,239.9,5.416667,6,14.1,,,31.107143,26.257857,22.289286,75.660714,,
83498,31/03/1961,0000,5,3.333333,8.2,112.4,,,224.1,6.483871,13,32.4,,,30.609677,26.237419,22.570968,78.080645,,
83498,30/04/1961,0000,9,2.788889,7.2,87.7,,,196.1,6.7,18,157.8,,,29.176667,25.184667,21.976667,83.15,,
83498,31/05/1961,0000,14,2.423656,6.1,63.7,,,209,6.258065,16,123.2,,,27.393548,23.486452,20.348387,84.717742,,
83498,30/06/1961,0000,9,2.617778,8.5,68.1,,,207.8,6.488889,18,135.9,,,26.2,22.619333,19.733333,84.65,,
83498,31/07/1961,0000,14,1.729032,5.5,70.4,,,152.4,7.225806,24,218.4,,,25.170968,21.212258,18.009677,83.806452,,
83498,31/08/1961,0000,0,1.733333,6,76,,,,4.731183,7,17.1,,1019.41828,26.112903,21.156129,16.751613,80.241935,,
83498,30/09/1961,0000,5,3.52,7.2,90.5,,,252.5,3.844444,2,5.3,,,27.82,23.294667,18.976667,76.1,,
83498,31/10/1961,0000,9,3.617204,8.2,101.2,,,,6.795699,14,42.5,,,27.751613,24.048387,21.006452,77.516129,,
83498,30/11/1961,0000,5,4.111111,8.2,120.5,,,231.9,6.577778,9,27.2,,,28.87,25.053333,21.546667,74.3,,
83498,31/12/1961,0000,5,3.433333,6.4,94.4,,,254.1,7.096774,16,95.4,,,29.012903,25.266452,22.003226,77.782258,,
83498,31/01/1962,0000,5,3.664516,7.2,85.1,,,228.3,7.311828,13,227.6,,,29.935484,26.019355,22.86129,81.129032,,
83498,28/02/1962,0000,5,3.85,8.2,82.2,,,,6.107143,6,26.2,,,30.232143,26.170714,22.621429,77.267857,,
83498,31/03/1962,0000,9,2.544086,5.5,85.4,,,,6.430108,17,79.5,,,29.693548,25.737419,22.519355,80.032258,,
83498,30/04/1962,0000,14,2.326667,6,81.9,,,221.5,6.277778,16,90.3,,,28.903333,24.904,21.553333,79.383333,,
83498,31/05/1962,0000,14,3.066667,8.2,94.5,,,205.1,6.913978,16,35.1,,,27.087097,23.503871,20.316129,79.58871,,
83498,30/06/1962,0000,14,2.77,6,84.1,,,179.9,6.377778,15,22.6,,1018.94,25.343333,21.584,18.186667,79.275,,
83498,31/07/1962,0000,14,2.180645,8.8,74.7,,,206.8,6.849462,19,62.4,,1019.97957,25.106452,21.134839,17.667742,81.685484,,
83498,31/08/1962,0000,14,3.353763,6,103.9,,,215.8,6.741935,9,9.9,,,26.387097,22.216774,18.409677,75.943548,,
83498,30/09/1962,0000,5,3.251111,6,86.3,,,179.5,7.155556,20,85.3,,,26.45,22.714667,19.61,79.766667,,
83498,31/10/1962,0000,5,4.237634,8.8,101.3,,,191.4,7.591398,16,92.3,,,27.4,24.141935,21.164516,77.112903,,
83498,30/11/1962,0000,5,3.584444,8.2,96.6,,,210.4,6.811111,12,194.5,,,28.556667,24.878667,21.773333,77.541667,,
83498,31/12/1962,0000,5,3.4,6.4,69.2,,,174.5,7.88172,19,191.5,,,28.754839,25.344516,22.409677,82.830645,,
83498,31/01/1963,0000,5,2.822581,6.4,99.2,,,291,4.83871,13,42.9,,1012.01828,30.487097,26.107097,22.258065,78.185484,,
83498,28/02/1963,0000,9,3.036905,6,102.3,,,210,6.380952,13,41.7,,,30.217857,26.074286,22.532143,77.142857,,
83498,31/03/1963,0000,14,2.670968,5.7,131.2,,,289.3,5.032258,10,9.3,,,31.316129,26.337419,22.232258,74.443548,,
83498,30/04/1963,0000,14,3.195556,8.8,101.9,,,194.1,6.733333,12,87.6,,,29.446667,25.555333,22.27,78.608333,,
83498,31/05/1963,0000,14,3.162366,8.2,93.7,,,225.1,6.096774,18,104.6,,,26.587097,22.879355,19.425806,79.491935,,
